,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255,P256,P257,P258,P259,P260,P261,P262,P263,P264,P265,P266,P267,P268,P269,P270,P271,P272,P273,P274,P275,P276,P277,P278,P279,P280,P281,P282,P283,P284,P285,P286,P287,P288,P289,P290,P291,P292,P293,P294,P295,P296,P297,P298,P299,P300,P301,P302,P303,P304,P305
XH01,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,555789.4737,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,303157.8947,0,0,0,0,0,0,0,0,0,0,555789.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,50526.31579,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303157.8947,0,101052.6316,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353684.2105,202105.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010526.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13541052.63,8185263.158,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353684.2105,0,0
XH02,23319.83806,0,0,0,0,0,0,10364.37247,0,0,23319.83806,0,0,0,0,0,0,2591.093117,0,0,0,0,0,0,0,0,0,0,12955.46559,0,0,0,0,0,20728.74494,0,0,0,0,0,5182.186235,0,0,0,0,0,36275.30364,0,0,33684.21053,49230.76923,0,0,0,0,0,0,137327.9352,0,0,126963.5628,0,0,0,0,10364.37247,36275.30364,0,0,0,0,0,0,0,0,0,0,0,0,0,427530.3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15546.5587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591.093117,0,0,0,0,0,0,0,20728.74494,0,2591.093117,0,0,0,2591.093117,0,2591.093117,0,0,0,0,0,0,0,0,0,0,28502.02429,0,0,0,0,0,0,12955.46559,7773.279352,5182.186235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591.093117,0,2591.093117,0,0,0,0,5182.186235,41457.48988,0,0,0,15546.5587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51821.86235,0,0,0,0,0,38866.39676,0,0,0,0,0,5182.186235,0,0,77732.79352,20728.74494,0,0,0,0,0,0,0,0,0,0,0,0,0,31093.11741,0,0,10364.37247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15546.5587,7773.279352,10364.37247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XH03,0,0,0,0,0,0,0,0,0,0,202105.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606315.7895,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606315.7895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010526.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303157.8947,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,0,0,0,0,0,101052.6316,0,101052.6316,0,0,0,0,0,0,0,0,0,0,1111578.947,0,202105.2632,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404210.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941052.632,1616842.105,0,0,0,0,0,0,0,0,0,808421.0526,0,0,0,24252631.58,15157894.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XH04,0,0,0,0,0,0,0,28872.18045,0,0,28872.18045,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,259849.6241,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,433082.7068,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,230977.4436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144360.9023,0,28872.18045,28872.18045,0,0,0,0,0,0,0,0,0,173233.0827,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115488.7218,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86616.54135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154887.218,837293.2331,0,0,0,0,0,0,0,0,0,0,0,0,0,5745563.91,4388571.429,0,519699.2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XH05,0,0,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,606315.7895,0,0,0,0,0,0,0,0,0,0,0,336842.1053,0,0,0,0,0,0,0,0,0,0,741052.6316,67368.42105,67368.42105,538947.3684,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,0,0,0,0,0,0,0,0,0,0,0,269473.6842,0,0,0,0,0,0,0,0,471578.9474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,67368.42105,0,0,0,0,0,0,0,471578.9474,0,67368.42105,0,0,0,0,134736.8421,0,134736.8421,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,269473.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336842.1053,0,0,0,0,0,0,0,0,0,0,0,1818947.368,1347368.421,875789.4737,0,0,0,0,0,0,0,0,0,0,0,0,18256842.11,16168421.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQH01,0,0,0,0,0,0,0,22456.14035,0,0,0,0,89824.5614,0,0,0,0,0,44912.2807,0,0,0,0,0,67368.42105,0,0,44912.2807,0,0,0,22456.14035,0,0,89824.5614,44912.2807,0,0,0,0,0,0,0,0,0,0,112280.7018,0,0,0,224561.4035,0,0,0,0,0,0,0,0,0,426666.6667,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920701.7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,247017.5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,89824.5614,0,0,0,0,0,0,112280.7018,0,0,22456.14035,0,0,0,0,67368.42105,0,0,22456.14035,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,22456.14035,89824.5614,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,247017.5439,336842.1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,67368.42105,0,0,0,0,0,0,0,0,0,269473.6842,0,0,224561.4035,0,157192.9825,0,0,0,0,44912.2807,0,0,0,0,67368.42105,0,0,6242807.018,1145263.158,0,0,0,0,0,0,0,0,0,0,0,112280.7018,0,0,0,0,0,44912.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0
DQH02,0,0,0,0,40421.05263,60631.57895,0,40421.05263,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,181894.7368,0,0,0,0,0,40421.05263,0,0,0,0,80842.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121263.1579,0,0,0,0,0,0,0,40421.05263,0,404210.5263,0,0,0,0,0,40421.05263,0,141473.6842,0,0,0,0,0,0,0,0,0,0,181894.7368,687157.8947,0,0,363789.4737,0,60631.57895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,60631.57895,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,202105.2632,0,20210.52632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,202105.2632,60631.57895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,101052.6316,0,0,0,0,0,0,0,80842.10526,4587789.474,141473.6842,0,0,1333894.737,0,0,0,0,0,0,0,0,80842.10526,60631.57895,0,101052.6316,0,0,0,0,0,0,60631.57895,0,0,101052.6316,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0
DQH03,0,0,0,0,0,0,0,56140.35088,0,0,145964.9123,0,44912.2807,0,0,0,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,33684.21053,0,0,22456.14035,0,0,0,0,0,0,0,33684.21053,0,0,0,11228.07018,0,0,0,0,0,0,0,0,0,606315.7895,0,0,0,0,0,123508.7719,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,640000,0,0,0,0,11228.07018,0,0,0,0,0,0,0,0,33684.21053,0,0,0,11228.07018,0,0,0,0,0,0,0,0,0,0,22456.14035,0,56140.35088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,145964.9123,0,22456.14035,0,0,0,0,179649.1228,0,0,22456.14035,0,0,0,22456.14035,0,0,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,33684.21053,0,0,0,0,0,0,11228.07018,0,33684.21053,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78596.49123,67368.42105,0,0,0,0,0,0,0,0,0,0,0,538947.3684,0,0,101052.6316,0,11228.07018,67368.42105,0,0,190877.193,0,0,0,0,157192.9825,0,0,0,1246315.789,0,0,0,404210.5263,0,0,0,0,0,0,0,0,67368.42105,0,0,11228.07018,0,0,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,11228.07018,56140.35088,0,0,0,0,0
DQH04,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,0,0,242526.3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,2223157.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374315.789,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,161684.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,202105.2632,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,525473.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,121263.1579,0,121263.1579,0,0,0,0,0,0,0,0,0,0,0,0,121263.1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121263.1579,565894.7368,0,0,242526.3158,0,0,0,0,0,161684.2105,0,0,0,0,0,404210.5263,80842.10526,40421.05263,0,0,0,161684.2105,0,0,0,0,2708210.526,0,0,0,8245894.737,0,0,0,3274105.263,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,40421.05263,40421.05263,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0
DQH05,0,0,0,0,0,0,0,121263.1579,0,0,768000,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,0,40421.05263,0,0,0,0,0,0,0,0,0,1131789.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848842.1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,40421.05263,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,282947.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,363789.4737,525473.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565894.7368,0,0,0,121263.1579,0,0,0,0,0,0,0,0,202105.2632,0,0,0,121263.1579,121263.1579,0,0,0,202105.2632,0,0,0,40421.05263,2223157.895,0,0,0,8650105.263,0,0,0,4567578.947,0,0,0,0,0,0,0,0,202105.2632,0,0,0,0,0,0,0,0,0,282947.3684,121263.1579,444631.5789,0,0,0,0,0,0,0,0,0,202105.2632,0,0,0,323368.4211,0,0
