,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92
XH01,7.090909091,8.545454545,0,0.545454545,0.181818182,0,15.09090909,0,0,0,0,0,0,0,0,0,0,0.363636364,1.272727273,0,0,0,0.181818182,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,8.909090909,0.909090909,0,0,0,4.363636364,0,0,0,0,0,0,0,0.363636364,0,0,0,0,0,0,0,0,1.818181818,0,0.727272727,0,0,0,0.181818182,0,0,0,0,0,2,0,0,0,1.090909091,0,0.181818182,26.18181818,0,0,0,0,0,0,0,0,0.545454545,0,0,0
XH02,0,0.37037037,0,0,0.185185185,0,5.37037037,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0.37037037,0,0,0,1.666666667,0,0,0,0,4.62962963,0,0,0,0,3.703703704,0,0.740740741,0.185185185,2.592592593,0,0.555555556,0,0,11.66666667,0,0,0,0,0,0,0,2.592592593,0,1.851851852,0,0,0,2.592592593,0,0,0,0,0,0,0,0,0,6.851851852,0,0.37037037,6.666666667,0,0,0,0,0,0,0,0,3.518518519,0,0,0
XH03,0,8.333333333,0,0,6.481481481,0,15.37037037,0,0,0,0,0,0,0,0,0.37037037,0,0,1.851851852,0,0,0.185185185,0,0,0,0.740740741,0,0,0.185185185,0,0,0,0,0,0,0.185185185,0,0,0,0,1.666666667,0.185185185,0,1.481481481,0,0.185185185,0,0,0,0.185185185,0,0.185185185,2.407407407,0,0,0,0,0,0,0,0.555555556,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,1.481481481,0,0.185185185,5.740740741,0,0,0,0,0,0,0,0,0.555555556,0,0,0.185185185
XH04,0.185185185,6.111111111,0,0,1.759259259,0,21.75925926,0,0.185185185,0,0,0,0,0,0,0,0,0,0.092592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0.185185185,0,0.092592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0.092592593,7.222222222,0,0,0,0,0,0,0,0,0.37037037,0,0,0
XH05,0,5.277777778,0,0,4.62962963,0,14.25925926,0,0.092592593,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092592593,0,0.185185185,0,0,0,0,0.092592593,0,0,0,0,0,0,0,0,2.87037037,0,0.092592593,11.57407407,0,0,0,0,0,0,0,0,0.37037037,0,0,0
DQH01,1.074074074,0,0.148148148,0,0,0,5.259259259,0,0.148148148,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,1.62962963,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,3.962962963,0,0,10.48148148,0,0,0,0,0,0,0,0,1.444444444,0,0,0
DQH02,0.555555556,0,0,0,0.555555556,0.092592593,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.314814815,0,0,20.55555556,0,0,0,0,0,0,0,0,0.092592593,0,0,0
DQH03,0.296296296,0,0,0,0,0,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,31.40740741,0,0,42.07407407,0,0,0,0,0,0,0,0,0.148148148,0,0,0
DQH04,0.148148148,0,0.148148148,0,0.592592593,0.296296296,7.555555556,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,6.962962963,0,0,30.22222222,0,0,0,0,0,0.592592593,0,0,0.148148148,0,0,2.518518519
DQH05,4.37037037,0,0,0,2.037037037,0,17.85185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44444444,0,0,20.2962963,0,0,0,0,0,0,0,0,2.259259259,0,0,0
