"","Date","Station","K001","K002","K003","K178","K005","K215","K216","K006","K009","K010","K181","K182","K004","K011","K007","K012","K013","K183","K223","K031","K184","K188","K032","K033","K185","K186","K034","K035","K036","K187","K037","K038","K039","K023","K024","K017","K026","K027","K028","K029","K014","K019","K191","K016","K021","K018","K022","K015","K225","K040","K041","K221","K042","K043","K044","K045","K046","K047","K049","K053","K054","K055","K057","K056","K058","K059","K060","K061","K062","K063","K064","K208","K065","K066","K067","K068","K069","K070","K071","K072","K073","K074","K075","K200","K076","K077","K078","K214","K079","K080","K081","K082","K083","K084","K085","K211","K086","K087","K088","K089","K090.3","K090.1","K090.2","K091","K092","K093","K094","K095","K096","K097","K098","K099","K100","K101","K102","K103","K104","K105","K106","K226","K138","K130","K118","K110","K132","K113","K114","K119","K115","K120","K174","K121","K133","K131","K149","K150","K153","K134","K154","K155","K167","K107","K108","K156","K157","K158","K122K175","K123","K135","K171","K151","K143","K152","K139","K141","K172","K116","K124","K125","K202","K159","K111","K144","K142","K126","K173","K145","K146","K168","K177","K140","K148","K169","K117","K160","K147","K109","K127","K217","K128","K161","K112","K212","K136","K137","K176","K162","K163","K129","K166","K164","K170","K205","K165"
"165","1984/11/07",3,0,0,0,0,0,0,0,0,0,3102765,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314862,0,0,0,0,0,0,3934515,0,0,3171106,0,819231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41252,0,0,0,0,0,0,0,0,0,15710,0,0,0
"167","1984/12/05",3,0,0,0,0,0,0,0,0,0,3577294,0,0,0,25492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223022,0,0,0,0,0,0,15167170,0,0,3260440,0,1085216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358627,0,0,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23147,0,0,0,0,0,0,0,16467,0,0,0,0,0,0,0,0,0,32693,0,0,0,0,0,0,0,19870,0,0,0,0,0
"169","1985/01/09",3,0,0,0,0,0,0,0,0,0,61107,0,0,0,159436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306093,0,0,0,0,0,0,0,0,0,96167,0,7417576,0,0,50846,0,0,0,0,0,0,0,0,0,0,140676,0,0,0,0,300770,0,0,0,0,0,0,0,0,0,0,0,120912,0,0,0,0,350787,0,484725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,576572,0,0,0,0,16467,0,0,0,0,0,0,0,0,0,56050,0,0,0,0,0,0,0,0,0,47112,0,0,0
"170","1985/02/06",3,0,0,0,0,0,0,0,0,0,82461,0,0,0,63775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87455,0,0,0,0,0,0,0,0,0,383349,0,7900539,0,0,127202,0,0,0,0,0,0,0,0,0,0,70580,0,0,0,0,4960288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3163516,0,645560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7378,0,0,0,0,6386294,0,0,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721210,0,54255,0,0,16467,0,0,0,0,0,0,0,0,0,46713,0,0,0,0,0,0,0,0,0,20922,0,0,0
"171","1985/03/06",3,0,0,0,0,0,0,0,0,0,25954,0,0,0,44677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297323,0,0,0,0,0,0,563176,0,0,0,0,10976422,0,0,0,0,0,0,0,0,0,0,0,0,0,1407725,0,0,0,0,10772642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928586,0,322780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18457,0,0,0,0,2037941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,0,0,0,0,0,36632,0,0,0
"174","1985/05/08",3,0,0,0,0,0,0,0,0,0,113014,0,0,0,95662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6037441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87455,0,0,0,0,0,0,0,0,0,0,0,3316950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18538965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585717,0,2018762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434508,0,0,0,0,0,0,0,0,0,0,162257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93427,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","1985/06/12",3,0,0,0,0,0,0,0,0,0,239170,0,0,0,44677,249737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664682,0,0,0,0,0,0,563176,0,0,96167,0,120948,0,0,0,0,0,0,0,0,0,0,0,0,0,563187,0,0,0,0,501053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4360304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14756,0,0,0,0,2037941,0,0,0,0,0,0,0,0,0,0,65081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,0,0,0,0,0,10461,0,0,0
"180","1985/07/10",3,0,0,0,0,0,0,0,0,0,1633844,0,0,0,0,93652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80499,0,0,0,0,0,0,0,0,0,0,0,0,282462,0,0,0,0,0,0,0,0,0,118088,0,0,0,0,0,0,1126351,0,0,2421094,0,2146342,0,0,0,0,0,0,0,0,0,0,0,0,0,985214,0,0,0,0,1353119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117465,0,4199468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,0,0,0,9935,0,20940,0,0,0
"185","1985/08/07",3,0,0,0,0,0,0,0,0,0,12484127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17479,0,0,0,0,0,0,1126351,0,0,162267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23357,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","1985/09/10",3,0,0,0,0,0,0,0,0,0,6351595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10106303,0,0,1342379,5822941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28062,0,0,0,0,0,0,0,0,0,5231,0,0,0
