"","Date","Station","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023.1","Z023.2","Z023.3","Z024","Z025","Z026","Z027","Z028","Z030","Z032","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"118","1984/11/07",3,0,5.5,0,4.5,0,13,0,0,0,1.5,0,125,171,0,65,0,20.5,0,180,0,0,0,0,3.5,0,0,0,0,0,0,0,0,9.5,1,0,0.5,0,0.5,0,0,0,0,0,0,8.5,0,0,0,7,0,1165.5,0,0,84,0,0,0,0,0,0,0,0,112.5,0,220,0,3,0
"122","1984/12/05",3,0,3.8,0,0.6,0,6,0,0,0,0,0,32,193,0.3,0.6,0,0,0,2.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,1.5,0,0,0,0,0,0,0,0,7.3,0,1.3,0,0,0
"124","1985/01/09",3,0,0,1,0,0,0,0,0,0,0,0,24,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
"125","1985/02/06",3,0,0,2,0,0,0,0,0,0,0,0,23,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
"126","1985/03/06",3,0,0,0,0,0,0.5,0,0,0,0,0,30.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"130","1985/05/08",3,0,0,0,1,0,0,0,0,0,0,0,30.5,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","1985/06/12",3,0,0,0,0,0,0,0,0,0,0,0,2,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","1985/07/10",3,0,0,0,0,0,0,0,0,0,0,0,127,156.5,0,1,0,0,0,0,0,0,0,0,79,0,0,0,0,60,0,0,0,42,21.5,0.5,37.5,0,4.5,0,0,0,0,0,0,0,0,0,0,11.5,0,72.5,0,0,114,0,0,0,0,0,0,0,0,95,0,9.5,0,0,0
"141","1985/08/07",3,0,0,0,1,0,0,0,0,0,0,0,68.5,98.5,0,45.5,0,0,0,3.5,0,0,0,0,24.5,0,0,0,0,4.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0.5,13,0,0,7,1,0,0,0,0,0,0,0,3.5,0,0,0,3,0
"145","1985/09/10",3,0,17,0,46,0,0,0,0,0,0,0,75,266,0,281,0,171,0,54,0,0,0,0,96,0,0,0,0,7,0,0,0,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,21,4,15,0,0,22,0,0,0,0,0,0,0,0,20,0,0,0,50,0
"148","1985/10/02",3,0,1.5,0,11.5,0,0,0,0,0,0,0,37,292.5,0,300.5,0,25.5,0,61,0,0,0,0,32,0,0,0,0,4,0,0,0,0.5,0,0,21,0,0,2,0,0,0.5,0,0,0,0,18,0,2,8,4,0,0,21,0,0,0,0,0,0,0,0,9.5,0,0,0,8,0
"150","1985/11/06",3,0,11,0,16,0,0,0,0,0,0,0,75,67,0,279,0,13,0,29,0,0,0,0,5,0,0,0,0,7,0,0,0,31,1,0,5,0,0,1,0,0,0,0,0,18,0,0,0,1,0,9,0,0,8,0,0,0,0,0,0,0,0,1,0,4,0,1,0
"153","1985/12/12",3,0,1,0,0,0,0,0,0,0,1,0,16,97,0,54,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,20,0,0,0,0,0,0,0,0,331,0,27,0,0,0
"154","1986/01/08",3,0,0,0,0,0,0,0,0,0,0,0,30.5,91.3,0,5.8,0,0,0,1,5.8,0,0,0,0.3,0,0,0,0,0,0,0,0,0,297,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,7,0,0,1.5,0,0,0,0,0,0,0,0,75.3,0,0.5,0,0,0
