ID,Phylum
Z002,Copepod
Z003,Copepod
Z004,Copepod
Z005,Copepod
Z006,Copepod
Z007,Copepod
Z008,Copepod
Z009,Copepod
Z011,Copepod
Z010,Copepod
Z080,Copepod
Z012,Copepod
Z013,nauplius
Z014,Cladocera
Z015,Cladocera
Z018,Cladocera
Z019,Cladocera
Z020,Cladocera
Z021,Cladocera
Z022,Cladocera
Z023_1,Cladocera
Z023_2,Cladocera
Z023_3,Cladocera
Z024,Cladocera
Z025,Cladocera
Z026,Cladocera
Z027,Cladocera
Z028,Cladocera
Z030,Cladocera
Z032,Cladocera
Z036,Rotifer
Z034,Rotifer
Z035,Rotifer
Z037,Rotifer
Z038,Rotifer
Z039,Rotifer
Z074,Rotifer
Z067,Rotifer
Z040,Rotifer
Z041,Rotifer
Z042,Rotifer
Z043,Rotifer
Z044,Rotifer
Z045,Rotifer
Z046,Rotifer
Z047,Rotifer
Z048,Rotifer
Z077,Rotifer
Z049,Rotifer
Z051,Rotifer
Z052,Rotifer
Z054,Rotifer
Z055,Rotifer
Z056,Rotifer
Z057,Rotifer
Z058,Rotifer
Z076,Rotifer
Z078,Rotifer
Z059,Rotifer
Z060,Rotifer
Z061,Rotifer
Z062,Rotifer
Z063,Rotifer
Z065,Rotifer
Z068,Rotifer
Z079,Rotifer
Z069,Rotifer
Z071,Rotifer
