Taxa,Achnanthes_sp.,Amphora_ovalis,Attheya_zochariasi,Cocconeis_placentula,Coscinodiscus_sp.,Cyclotella_sp.,Cymatopleura_sp.,Cymbella_sp.,Diatoma_vulgare,Diploneis_ovalis,Eunotia_pectinalis,Eunotia_valida,Fragilaria_capucina,Fragilaria_sp.,Frustulia_sp.,Gomphonema_sp.,Gyrosigma_spenceri,Melosira_granulata,Navicula_sp.,Navicula_viridula,Nitzschia_linearis,Nitzschia_sp.,Pinnularia_nobilis,Rhizosolenia_longiseta,Stauroneis_acuta,Surirella_sp.,Synedra_acus,Synedra_sp.,Synedra_ulna,Tabellaria_sp.,?Tetraedron_enorme,Actinastrum_fluviatile,Ankistrodesmus_acicularis,Ankistrodesmus_convolutus,Ankistrodesmus_falcatus,Ankistrodesmus_falcatus_var._mirabilis,Ankistrodesmus_spiralis,Botryococcus_braunii,Chlamydomonas_sp.,Chlorella_sp.,Chlorogonium_elongatum,Chodatella_cilliata,Chodatella_longiseta,Chodatella_wratislaviensis,Closteriopsis_sp.,Closterium_kutzingii,Closterium_parvulum,Closterium_sp.,Coelastrum_microporum,Coelastrum_reticulatum,Coelastrum_sphaericum,Cosmarium_angulosum,Cosmarium_bioculatum,Cosmarium_circulare,Cosmarium_connatum,Cosmarium_depressum,Cosmarium_formosulum,Cosmarium_globosum,Cosmarium_obsoletum,Cosmarium_obtusatum,Cosmarium_quadrum,Cosmarium_sp.,Cosmarium_trilobulatum,Cosmarium_turgidum,Crucigenia_apiculata,Crucigenia_lauterbornei,Crucigenia_quadrata,Crucigenia_rectangularis,Crucigenia_tetrapedia,Dictyosphaeria_cavernosa,Dictyosphaerium_pulchellum,Echinosphaerella_limnetica,Elakatothrix_gelatinosa,Euastrum_elegans,Eudorina_elegans,Gloeocystis_sp.,Golenkinia_paucispina,Gonatozygon_kinahani,Gonium_pectorale,Kirchneriella_contorta,Kirchneriella_lunaris_,Kirchneriella_obesa,Micractinium_pusillum,Mougeotia_sp.,Nephrocytium_agardhianum,Oedogonium_sp.,Oocystis_lacustris,Pediastrum_biradiatum,Pediastrum_duplex,Pediastrum_simplex,Pediastrum_tetras_var._tetraodon,Platrotaenium_trabecula,Pleodorina_californica,Pteromonas_sp.,Quadrigula_sp.,Radiococcus_sp.,Raphidonema_nivale,Scenedesmus_acuminatus,Scenedesmus_arcuatus,Scenedesmus_armatus,Scenedesmus_bicaudatus,Scenedesmus_bijuga,Scenedesmus_denticulatus,Scenedesmus_dimorphus,Scenedesmus_javaensis,Scenedesmus_obliquus,Scenedesmus_perforatas,Scenedesmus_quadricauda,Schroederia_nitzschioides,Schroederia_robusta,Schroederia_setigera,Schroederia_spiralis,Scotiella_sinica,Selenastrum_bibraianum,Selenastrum_minutum,Sphaerocystis_schroeteri,Spondylosium_sp.,Staurastrum_aristiferum,Staurastrum_bifidum,Staurastrum_brevispinum,Staurastrum_connatum,Staurastrum_crenulatum,Staurastrum_gracile,Staurastrum_leptodermum,Staurastrum_paradoxum,Staurastrum_sp.,Staurodesmus_sp.,Tetrachlorella_sp.,Tetradesmus_wisconsinense,Tetraedron_bifurcatum,Tetraedron_caudatum,Tetraedron_hastatum,Tetraedron_hastatum_var._palatinum,Tetraedron_minimum,Tetraedron_trigonum,Tetraedron_trilobulatum,Tetraedron_tumidulum,Tetrallantos_lagerkeimii,Tetrastrum_staurogeniaeforme,Treubaria_crassispina,Treubaria_triappendiculata,Westella_botryoides,Westella_linearis,Xanthidium_cristatum,Dinobryon_cylindricum,Mallomonas_acaroides,Mallomonas_elongata,Mallomonas_oviformis,Synura_sp.,Chroomonas_caudata,Cryptomonas_erosa,Cryptomonas_marssonii,Cryptomonas_ovata,Cryptomonas_rostrata,Anabaena_sp.,Anabaenopsis_circularis,Aphanizomenon_sp.,Aphanocapsa_sp.,Aphanothece_sp.,Chroococcus_sp.,Coelosphaerium_kutzingianum,Cylindrospermopsis_raciborskii,Gomphosphaeria_sp.,Lyngbya_sp.,Merismopedia_elegans,Merismopedia_punctata,Merismopedia_tenuissima,Microcystis_aeruginosa,Microcystis_flosaquae,Microcystis_ichthyoblabe,Microcystis_novacekii,Microcystis_wesenbergii,Pseudanabaena_sp.,Raphidiopsis_sp.,Rhabdogloea_sp.,Spirulina_major,Ceratium_hirundinella,Glenodinium_pulvisculus,Gymnodinium_gyomnodinium,Peridiniopsis_cunningtonii,Peridinium_sp.,Euglena_amoeboides,Euglena_caudata,Euglena_clara,Euglena_deses,Euglena_interrupta,Euglena_oxyuris,Euglena_pisciformis,Lepocinclis_texta,Phacus_acuminatus,Phacus_longicauda,Phacus_pleuronectes,Strombomonas_ensifera,Trachelomonas_granulata,Trachelomonas_oblonga,Trachelomonas_reticulata
FJ2015024,14676.6792,,,72180.35714,,49082.66917,,4812.02381,,,,,48120.2381,,,9864.655388,,198255.5388,28872.14286,,,58706.71679,4812.02381,4812.02381,,,167939.7494,,10105.26316,,,,,,19248.09524,,,,,753563.2707,,,,,5052.631579,,,9864.655388,14436.07143,,,,14436.07143,,,,,,,,,,,,,,4812.02381,,9624.047619,,,,29112.75063,35368.42105,4812.02381,,,,,96000,,,,,,0,,,,,,,,,,,20210.52632,45233.07644,,202105.2632,309894.6491,,4812.02381,4812.02381,,,110917.287,24781.94236,,,,5052.631579,,,,,,,,,,,,,,,,10105.26316,,,,,,4812.02381,,,,101052.6316,,,4812.02381,,,,,,,30315.78947,,2029713.59,57744.28571,57744.28571,160481.1717,20210.52632,,,,0,192480.9524,155909.7556,,4812.02381,,,,19248.09524,,,,,,,2260691.391,347187.6692,,,,125112.619,,,,,,,,,,,9624.047619,,,10105.26316,,,4812.02381,
FJ2015031,138947.1875,,,37894.6875,,94736.71875,,12631.5625,,,,,18947.34375,,,,,202105,37894.6875,,,50526.25,6315.78125,,6315.78125,,25263.125,,,,,,290525.9375,,,,,,,498946.7188,,,,,,,,,,,,,25263.125,,,,,,,,,,,,,,6315.78125,,6315.78125,,6315.78125,,82105.15625,6315.78125,,,,,,,,,,,,0,,,,,,,,,,6315.78125,,12631.5625,,12631.5625,189473.4375,,6315.78125,,6315.78125,,6315.78125,6315.78125,,,,,,,,,,,,,,,,,,,,,,,,,,6315.78125,12631.5625,,,,,,18947.34375,,,,,,,,,719999.0625,,,,,,,,0,101052.5,25263.125,,,,,,25263.125,,,,,,,574736.0938,,,,,6315.78125,,,,,,,,,,,,,,,,,18947.34375,
FJ2015041,210189.2,,,16168.4,,64673.6,,24252.6,,,,,40421,8084.2,8084.2,16168.4,,105094.6,48505.2,,,8084.2,,,24252.6,,113178.8,,,,,,218273.4,,16168.4,,,,,573978.2,,,,,,,,,,,,,16168.4,,,,,,,,,,,,,,16168.4,,,,,,8084.2,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,40421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8084.2,,,,,,,,,,,,,420378.4,,,32336.8,,,,,0,129347.2,,,,,,,,,,,,,,1810860.8,32336.8,,97010.4,,16168.4,,,,,,,,,,,16168.4,,,,,,16168.4,
FJ2015042,40421,8084.2,,16168.4,,72757.8,,8084.2,,,,,,72757.8,8084.2,8084.2,,48505.2,24252.6,,,8084.2,32336.8,,,,40421,,,,,,56589.4,80842,,,,,8084.2,1794692.4,,,,,,,,,16168.4,,,,72757.8,,,,,,,,,,,,,,,64673.6,,,,,16168.4,0,,,,,,,,,8084.2,,,0,8084.2,,,,,,,,,,,,16168.4,,48505.2,,8084.2,,,,121263,16168.4,,16168.4,,,,8084.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420378.4,,,,,,,,0,388041.6,32336.8,,,,,,56589.4,24252.6,,,,,,590146.6,40421,,97010.4,,16168.4,,,,,,,,,,,,,,,8084.2,,8084.2,
FJ2015043,25263.125,,,5052.625,,25263.125,,,,,,,,25263.125,,,,50526.25,,,,10105.25,,,,,95999.875,,,,,5052.625,10105.25,40421,,,,,,1227787.875,,,,,5052.625,,,,,,,,5052.625,,,,,,,,,,,,,,,40421,,,,,,0,,,,,,,,,,,,0,30315.75,,5052.625,,,,,,,25263.125,,,5052.625,,70736.75,,10105.25,,,,15157.875,25263.125,176841.875,,5052.625,,,40421,,,,,,,,,,,,,,,,15157.875,5052.625,,,,,,,,,,20210.5,,,,,,,,,85894.625,,,,,,,,0,0,25263.125,,,,,,,15157.875,,,,,,111157.75,,,257683.875,,20210.5,,,,,,,,,,,25263.125,,,,,,,
FJ2015044,22456.11111,,,22456.11111,,78596.38889,,,,,,,,325613.6111,,,,44912.22222,,,,,,,,,67368.33333,370525.8333,,,,11228.05556,101052.5,,,,,,22456.11111,1324910.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,44912.22222,,,,,,0,,,,11228.05556,,,,,22456.11111,,,0,11228.05556,,11228.05556,,,,,,,11228.05556,11228.05556,,11228.05556,,235789.1667,,,,,,,22456.11111,,381753.8889,,,,11228.05556,,,,,,,,,,,,,,,,44912.22222,,,11228.05556,33684.16667,11228.05556,,,,,,,,,,,,,,,550174.7222,,,,,,,,0,89824.44444,56140.27778,,,,,,,33684.16667,,,,,,842104.1667,,,830876.1111,,11228.05556,,,,,,,,,,,,,,,,,,
FJ2015045,47157.83333,6736.833333,,20210.5,,26947.33333,,,,,,,168420.8333,6736.833333,,,,26947.33333,,,,20210.5,,,,,208841.8333,80842,,6736.833333,,,74105.16667,,,,,,6736.833333,1165472.167,,13473.66667,,,,,,,,,,,26947.33333,,13473.66667,,,,,,,,20210.5,,,,13473.66667,20210.5,,,,,,0,,,,13473.66667,,,,,,,,0,26947.33333,,26947.33333,,,,,,,6736.833333,,6736.833333,,,80842,,,,,,,6736.833333,,47157.83333,13473.66667,,,13473.66667,,,,,,,,,,,,,,,,6736.833333,,,,,13473.66667,,,,,,6736.833333,,,,,,,,,154947.1667,,,,,,,,134736.6667,53894.66667,80842,,,,,,,60631.5,,,,,,148210.3333,,,673683.3333,,6736.833333,,,,,,,,,,,6736.833333,,,,,,,
FJ2015046,76350.77778,,,35929.77778,,13473.66667,,,,,,,22456.11111,,,,,,,,,4491.222222,,,,,17964.88889,,,,,,4491.222222,,,,,,,1127296.778,,,,,,,,,,,,,53894.66667,,4491.222222,,,,,,8982.444444,,197613.7778,,,,,22456.11111,,,,,,0,,,,4491.222222,,,,,,,,13473.66667,8982.444444,,,,,,,,,,,,,4491.222222,,,,,,,,,,4491.222222,,,,13473.66667,,,,,,,,8982.444444,,,,,,,,,,,4491.222222,4491.222222,40421,,,,,,,,,,,,,,,71859.55556,13473.66667,,,,,,,0,143719.1111,8982.444444,,,,,,,8982.444444,,,,,,85333.22222,8982.444444,,350315.3333,,,,,,,,,,,,,,,,,,,,
FJ2015047,309473.2813,,,31578.90625,,18947.34375,,,,,,,25263.125,,,,,12631.5625,,,,,,,,,63157.8125,,,,,,18947.34375,,,,,,6315.78125,1073682.813,,,,,,,,,6315.78125,,,,18947.34375,,6315.78125,,,,,,,,6315.78125,,,,,6315.78125,,,,,,0,,,,,,,,,,,,0,6315.78125,,,,,,,,,,,6315.78125,,6315.78125,,,18947.34375,,,6315.78125,,,,,,,,,,,,,,,,37894.6875,,,,,,,,,,,,12631.5625,82105.15625,,,,,,,,,,,,,,6315.78125,6315.78125,,,,,,,,0,50526.25,50526.25,,,,,,,6315.78125,,,,,,6315.78125,,,1301050.938,,,,,,,,,,,,,,,,6315.78125,,,12631.5625,
FJ2015048,34887.17262,,,14436.07143,,26466.13095,,1203.005952,,,,,,7218.035714,1203.005952,,,30075.14881,,,,1203.005952,,,,,6015.029762,,,,,,15639.07738,,,,,,,249022.2321,,,,,1203.005952,,,,,7218.035714,,,1203.005952,,,,,1203.005952,,,,,2406.011905,1203.005952,,,,6015.029762,,,,,,0,,,,,,,1203.005952,,,,,0,7218.035714,,,1203.005952,,,2406.011905,,,1203.005952,,1203.005952,,,6015.029762,,,,,,1203.005952,2406.011905,,,,,2406.011905,,,,,,1203.005952,,,,,,,,,,,,3609.017857,,,3609.017857,6015.029762,,,,,,,,,,,,,,,6015.029762,,,,,,,,0,0,22857.1131,,,,,,9624.047619,,,,,,,26466.13095,79398.39286,,,,,,,,,,,,,,,,3609.017857,,,,,,4812.02381
