,Sample ID,Water depth,Transparency,Water temperature (WT),pH,DO,Chla,Turbidity,EC,ORP,TC,TOC,TN,NH4-N,NO3-N,NO2-N,TP,PO4-P
1,FJ2015024,10.5,95,20.4,8.21,9.56,15.8,8.5,39.5,404,4.758,1.815,1.58012,0.04749,1.13331,0.02492,0.06324,0.00812
2,FJ2015031,10.9,87,21.67,8.21,9.19,7.48,11.7,40,427,4.631,1.406,1.21051,0.02004,0.95654,0.01654,0.05149,0.00416
3,FJ2015041,10.9,61,26.75,8.13,9.07,9.44,16.1,38.5,403,5.917,2.294,1.15917,0.05846,0.71511,0.01486,0.05541,0.00416
4,FJ2015042,11.7,66,25.92,8.62,10.76,13.89,9.4,45.9,406,6.161,2.901,1.64685,0.03925,1.08373,0.01486,0.0652,0.00515
5,FJ2015043,17.2,39,23.93,7.35,5.88,3.98,45.2,36.3,469,8.398,5.944,1.71359,0.09963,1.08373,0.08189,0.11612,0.01603
6,FJ2015044,20.3,104,27.96,7.43,9.84,5.5,9.8,33.5,393,11.22,5.348,1.75979,0.05297,1.31224,0.00928,0.04757,0.00119
7,FJ2015045,21,159,29.33,7.94,9.04,4.5,5.3,28.1,393,10.72,4.9885,1.61092,0.06395,1.25619,0.01053,0.03386,2.00E-04
8,FJ2015046,21,168,30.58,7.76,8.91,4.65,4.3,32.3,410,11.495,4.335,1.38504,0.07493,1.07511,0.01053,0.02994,0.00317
9,FJ2015047,22,182,31.34,7.93,8.84,3.77,4.7,31.9,325,5.871,2.211,1.30291,0.07218,1.01044,0.01151,0.03386,0.00416
10,FJ2015048,22,243,30.73,7.68,8.64,2.57,4.1,31.2,373,6.4825,2.5365,1.22591,0.06395,0.94145,0.00816,0.02994,0.00416
11,FJ2015051,31.7,97,28.44,8.88,9.04,4.21,10.8,24.7,316,4.882,1.743,1.44665,0.03102,1.03846,0.00509,0.03974,0.00218
12,FJ2015061,31.5,173,30.23,7.5,8.91,3.04,5.6,24.4,404,5.192,2.309,1.33884,0.07493,0.91128,0.00606,0.03386,0.00317
13,FJ2015069,32.5,175,28.93,7.64,8.46,4.88,5.6,21,418,4.941,1.932,1.0257,0.09688,0.8811,0.00662,0.02799,0.00218
14,FJ2015070,32.5,178,30.16,7.82,9.55,5.76,5.2,22.4,358,5.2645,2.2555,0.90763,0.07767,0.76684,0.00821,0.02603,0.00713
15,FJ2015071,32.5,162,28.37,8.14,8.8,14.42,4.7,18.8,361,5.998,3.138,1.0411,0.08316,0.75391,0.0055,0.02603,0.00317
16,FJ2015073,31.5,128,29.18,8.27,10.23,15.68,5,21,350,7.6235,4.457,0.98463,0.00632,0.57499,0.00942,0.02211,0.00119
17,FJ2015074,31.7,128,27.89,8.34,9.4,26.6,4.7,19.5,371,7.2955,3.7505,0.88196,0.00358,0.51031,0.00886,0.02603,0.00119
18,FJ2015075,27.9,209,28.19,8.45,8.99,4.71,4.5,19.1,338,5.785,1.5355,0.91276,0.02004,0.74529,0.00914,0.02994,0.00317
19,FJ2015090,33.5,205,26.98,7.33,7.48,4.46,4.6,17.5,479,5.4315,1.2455,0.98976,0.03925,0.74744,0.00718,0.02407,0.00515
20,FJ2015094,33,279,25.1,8.42,7.12,2.56,3.6,17.2,412,4.831,0.6959,1.04623,0.00358,0.76684,0.00369,0.01232,0.00218
21,FJ2015095,33.1,279,24.77,7.33,7.48,2.91,4.4,17,476,4.4175,1.0014,1.06163,0.02828,0.82289,0.00257,0.02211,0.00218
22,FJ2015096,33.1,258,24.55,7.45,8.03,3.64,4.1,17.3,448,5.9635,2.4235,1.05137,0.01455,1.02337,0.00341,0.01428,2.00E-04
23,FJ2015097,32.8,248,24.85,8.09,9.2,4.14,2.9,17.9,406,4.528,1.332,1.03083,0.0173,0.72157,0.00313,0.02015,2.00E-04
24,FJ2015098,32.3,178,23.12,7.28,6.18,2.57,5.2,18.7,506,5.046,0.9579,0.93843,0.05297,0.77762,0.00243,0.02015,0.00317
25,FJ2015099,32.6,258,21.29,7.32,7.11,2.53,5.7,18.2,520,7.5585,2.7335,1.12324,0.01455,0.82289,0.00523,0.02994,0.00713
26,FJ20150100,32.6,248,19.92,7.63,8.2,3.81,4.5,17.4,483,8.188,3.228,1.18997,0.00907,0.91559,0.00732,0.02407,0.00713
27,FJ2016001,32.5,213,19.29,7.48,8.07,2.83,5.8,17.6,492,6.926,3.605,1.15917,8.33E-04,0.9005,0.00104,0.02407,0.00515
28,FJ2016016,31.9,242,19.09,7.43,9.6,4.39,4.8,16.6,506,4.422,1.626,1.07703,0.03376,0.86385,0.00215,0.02407,0.00218
29,FJ2016017,30.5,178,18.19,7.21,8.57,3.81,6.8,17.2,463,4.331,1.269,1.13864,0.03651,0.85307,0.00816,0.0319,0.00614
