Taxa,Algal groups
Achnanthes_sp.,Bacillariophyta
Amphora_ovalis,Bacillariophyta
Attheya_zochariasi,Bacillariophyta
Cocconeis_placentula,Bacillariophyta
Coscinodiscus_sp.,Bacillariophyta
Cyclotella_sp.,Bacillariophyta
Cymatopleura_sp.,Bacillariophyta
Cymbella_sp.,Bacillariophyta
Diatoma_vulgare,Bacillariophyta
Diploneis_ovalis,Bacillariophyta
Eunotia_pectinalis,Bacillariophyta
Eunotia_valida,Bacillariophyta
Fragilaria_capucina,Bacillariophyta
Fragilaria_sp.,Bacillariophyta
Frustulia_sp.,Bacillariophyta
Gomphonema_sp.,Bacillariophyta
Gyrosigma_spenceri,Bacillariophyta
Melosira_granulata,Bacillariophyta
Navicula_sp.,Bacillariophyta
Navicula_viridula,Bacillariophyta
Nitzschia_linearis,Bacillariophyta
Nitzschia_sp.,Bacillariophyta
Pinnularia_nobilis,Bacillariophyta
Rhizosolenia_longiseta,Bacillariophyta
Stauroneis_acuta,Bacillariophyta
Surirella_sp.,Bacillariophyta
Synedra_acus,Bacillariophyta
Synedra_sp.,Bacillariophyta
Synedra_ulna,Bacillariophyta
Tabellaria_sp.,Bacillariophyta
Tetraedron_enorme,Chlorophyta
Actinastrum_fluviatile,Chlorophyta
Ankistrodesmus_acicularis,Chlorophyta
Ankistrodesmus_convolutus,Chlorophyta
Ankistrodesmus_falcatus,Chlorophyta
Ankistrodesmus_falcatus_var._mirabilis,Chlorophyta
Ankistrodesmus_spiralis,Chlorophyta
Botryococcus_braunii,Chlorophyta
Chlamydomonas_sp.,Chlorophyta
Chlorella_sp.,Chlorophyta
Chlorogonium_elongatum,Chlorophyta
Chodatella_cilliata,Chlorophyta
Chodatella_longiseta,Chlorophyta
Chodatella_wratislaviensis,Chlorophyta
Closteriopsis_sp.,Chlorophyta
Closterium_kutzingii,Chlorophyta
Closterium_parvulum,Chlorophyta
Closterium_sp.,Chlorophyta
Coelastrum_microporum,Chlorophyta
Coelastrum_reticulatum,Chlorophyta
Coelastrum_sphaericum,Chlorophyta
Cosmarium_angulosum,Chlorophyta
Cosmarium_bioculatum,Chlorophyta
Cosmarium_circulare,Chlorophyta
Cosmarium_connatum,Chlorophyta
Cosmarium_depressum,Chlorophyta
Cosmarium_formosulum,Chlorophyta
Cosmarium_globosum,Chlorophyta
Cosmarium_obsoletum,Chlorophyta
Cosmarium_obtusatum,Chlorophyta
Cosmarium_quadrum,Chlorophyta
Cosmarium_sp.,Chlorophyta
Cosmarium_trilobulatum,Chlorophyta
Cosmarium_turgidum,Chlorophyta
Crucigenia_apiculata,Chlorophyta
Crucigenia_lauterbornei,Chlorophyta
Crucigenia_quadrata,Chlorophyta
Crucigenia_rectangularis,Chlorophyta
Crucigenia_tetrapedia,Chlorophyta
Dictyosphaeria_cavernosa,Chlorophyta
Dictyosphaerium_pulchellum,Chlorophyta
Echinosphaerella_limnetica,Chlorophyta
Elakatothrix_gelatinosa,Chlorophyta
Euastrum_elegans,Chlorophyta
Eudorina_elegans,Chlorophyta
Gloeocystis_sp.,Chlorophyta
Golenkinia_paucispina,Chlorophyta
Gonatozygon_kinahani,Chlorophyta
Gonium_pectorale,Chlorophyta
Kirchneriella_contorta,Chlorophyta
Kirchneriella_lunaris_,Chlorophyta
Kirchneriella_obesa,Chlorophyta
Micractinium_pusillum,Chlorophyta
Mougeotia_sp.,Chlorophyta
Nephrocytium_agardhianum,Chlorophyta
Oedogonium_sp.,Chlorophyta
Oocystis_lacustris,Chlorophyta
Pediastrum_biradiatum,Chlorophyta
Pediastrum_duplex,Chlorophyta
Pediastrum_simplex,Chlorophyta
Pediastrum_tetras_var._tetraodon,Chlorophyta
Platrotaenium_trabecula,Chlorophyta
Pleodorina_californica,Chlorophyta
Pteromonas_sp.,Chlorophyta
Quadrigula_sp.,Chlorophyta
Radiococcus_sp.,Chlorophyta
Raphidonema_nivale,Chlorophyta
Scenedesmus_acuminatus,Chlorophyta
Scenedesmus_arcuatus,Chlorophyta
Scenedesmus_armatus,Chlorophyta
Scenedesmus_bicaudatus,Chlorophyta
Scenedesmus_bijuga,Chlorophyta
Scenedesmus_denticulatus,Chlorophyta
Scenedesmus_dimorphus,Chlorophyta
Scenedesmus_javaensis,Chlorophyta
Scenedesmus_obliquus,Chlorophyta
Scenedesmus_perforatas,Chlorophyta
Scenedesmus_quadricauda,Chlorophyta
Schroederia_nitzschioides,Chlorophyta
Schroederia_robusta,Chlorophyta
Schroederia_setigera,Chlorophyta
Schroederia_spiralis,Chlorophyta
Scotiella_sinica,Chlorophyta
Selenastrum_bibraianum,Chlorophyta
Selenastrum_minutum,Chlorophyta
Sphaerocystis_schroeteri,Chlorophyta
Spondylosium_sp.,Chlorophyta
Staurastrum_aristiferum,Chlorophyta
Staurastrum_bifidum,Chlorophyta
Staurastrum_brevispinum,Chlorophyta
Staurastrum_connatum,Chlorophyta
Staurastrum_crenulatum,Chlorophyta
Staurastrum_gracile,Chlorophyta
Staurastrum_leptodermum,Chlorophyta
Staurastrum_paradoxum,Chlorophyta
Staurastrum_sp.,Chlorophyta
Staurodesmus_sp.,Chlorophyta
Tetrachlorella_sp.,Chlorophyta
Tetradesmus_wisconsinense,Chlorophyta
Tetraedron_bifurcatum,Chlorophyta
Tetraedron_caudatum,Chlorophyta
Tetraedron_hastatum,Chlorophyta
Tetraedron_hastatum_var._palatinum,Chlorophyta
Tetraedron_minimum,Chlorophyta
Tetraedron_trigonum,Chlorophyta
Tetraedron_trilobulatum,Chlorophyta
Tetraedron_tumidulum,Chlorophyta
Tetrallantos_lagerkeimii,Chlorophyta
Tetrastrum_staurogeniaeforme,Chlorophyta
Treubaria_crassispina,Chlorophyta
Treubaria_triappendiculata,Chlorophyta
Westella_botryoides,Chlorophyta
Westella_linearis,Chlorophyta
Xanthidium_cristatum,Chlorophyta
