Taxa,Algal groups
Anuraeopsis_fissa,Rotifer
Asplanchna_priodonta,Rotifer
Brachionus_angularis,Rotifer
Brachionus_calyciflorus,Rotifer
Brachionus_diversicornis,Rotifer
Brachionus_falcatus,Rotifer
Brachionus_forficula,Rotifer
Brachionus_donneri_bifurcus_,Rotifer
Conochilus_univornis,Rotifer
Diurella_stylata,Rotifer
Euchlanis_triquetra,Rotifer
Fillnia_longiseta,Rotifer
Hexarthra_mira,Rotifer
Keratella_cochlearis,Rotifer
Keratella_valga,Rotifer
Notholca_fujianensis,Rotifer
Ploesoma_hudsoni,Rotifer
Ploesoma_truncatum,Rotifer
Polyarthra_trigla,Rotifer
Polyarthra_euryptera,Rotifer
Synchaeta_stylata,Rotifer
Trichocerca_capucina,Rotifer
Trichocerca_longiseta,Rotifer
Trichocerca_similis,Rotifer
Trichocerca_cylindrica,Rotifer
Lecane_sp.,Rotifer
Fillnia_opoliensis,Rotifer
Brachionus_caudatus,Rotifer
Lepadella_patella,Rotifer
Bosmina_longirostris,Cladocera 
Bosminopsis_deitersi,Cladocera 
Ceriodaphnia_cornuta,Cladocera 
Ceriodaphnia_quadrangula,Cladocera 
Chydorus_sphaericus,Cladocera 
Diaphanosoma_dubia,Cladocera 
Moina_macrocopa,Cladocera 
Moina_micrura,Cladocera 
Moina_rectirostris,Cladocera 
Alona_quadrangularis,Cladocera 
Daphnia_pulex,Cladocera 
Nauplii,Copepod
Tropocyclops_parvus,Copepod
Tropocyclops_bopingi,Copepod
Mesocyclops_thermocyclopoides,Copepod
Thermocyclops_taihokuensis,Copepod
Phyllodiaptomus_tunguidus_,Copepod
Neodiaptomus_schmackeri,Copepod
Onychocamptus_sp.,Copepod
