"","Phylum","species_name","species_code"
"1","Bacillariophyta","Bacillariophyta_Eunotia_sp.","P1"
"2","Bacillariophyta","Bacillariophyta_Tabellaria_fenestrata","P2"
"3","Chlorophyta","Chlorophyta_Oocystis_pusilla","P3"
"4","Chlorophyta","Chlorophyta_Planktosphaeria_gelatinosa","P4"
"5","Chlorophyta","Chlorophyta_Kirchneriella_lunaris","P5"
"6","Chlorophyta","Chlorophyta_unknown_sp.5to10microns","P6"
"7","Chlorophyta","Chlorophyta_unknown_sp.colonial_coccoid","P7"
"8","Cyanobacteria","Cyanobacteria_Chroococcus_sp.","P8"
"9","Cyanobacteria","Cyanobacteria_Merismopedia_tenuissima","P9"
"10","Dinophyta","Dinophyta_Gymnodinium_sp.","P10"
"11","Cryptophyta","Cryptophyta_Cryptomonas_erosa","P11"
"12","Cyanobacteria","Cyanobacteria_Chroococcus_dispersus","P12"
"13","Cyanobacteria","Cyanobacteria_Aphanocapsa_sp.","P13"
"14","Chlorophyta","Chlorophyta_unknown_sp.3to5microns","P14"
"15","Dinophyta","Dinophyta_Parvodinium_inconspicuum","P15"
"16","Ochrophyta","Ochrophyta_Dinobryon_bavaricum","P16"
"17","Bacillariophyta","Bacillariophyta_Cyclotella_sp.","P17"
"18","Chlorophyta","Chlorophyta_unknown_sp.under10microns","P18"
"19","Cryptophyta","Cryptophyta_Cryptomonas_ovata","P19"
"20","Cyanobacteria","Cyanobacteria_Pseudanabaena_limnetica","P20"
"21","Bacillariophyta","Bacillariophyta_Fragilaria_sp.","P21"
"22","Chlorophyta","Chlorophyta_Oocystis_parva","P22"
"23","Dinophyta","Dinophyta_Peridinium_wisconsinense","P23"
"24","Ochrophyta","Ochrophyta_Gonyostomum_semen","P24"
"25","Ochrophyta","Ochrophyta_Mallomonas_caudata","P25"
"26","Ochrophyta","Ochrophyta_Mallomonas_pseudocoronata","P26"
"27","Ochrophyta","Ochrophyta_Mallomonas_sp.1","P27"
"28","Ochrophyta","Ochrophyta_Synura_sp.","P28"
"29","Chlorophyta","Chlorophyta_Sphaerocystis_schroeteri","P29"
"30","Ochrophyta","Ochrophyta_Chrysococcus_rufescens","P30"
"31","Bacillariophyta","Bacillariophyta_Cymbella_sp.","P31"
"32","Bacillariophyta","Bacillariophyta_Stenopterobia_sp.","P32"
"33","Bacillariophyta","Bacillariophyta_Tabellaria_flocculosa","P33"
"34","Bacillariophyta","Bacillariophyta_unknown_sp.pennate1","P34"
"35","Cryptophyta","Cryptophyta_Rhodomonas_acustris_var._nannoplanctica","P35"
"36","Ochrophyta","Ochrophyta_Dinobryon_sertularia","P36"
"37","Ochrophyta","Ochrophyta_Mallomonas_sp.4","P37"
"38","Bacillariophyta","Bacillariophyta_Fragilaria_crotonensis","P38"
"39","Bacillariophyta","Bacillariophyta_Asterionella_formosa","P39"
"40","Chlorophyta","Chlorophyta_Tetradesmus_bernardii","P40"
"41","Chlorophyta","Chlorophyta_Mucidosphaerium_pulchellum","P41"
"42","Ochrophyta","Ochrophyta_Mallomonas_sp.3","P42"
"43","Bacillariophyta","Bacillariophyta_Actinella_punctata","P43"
"44","Chlorophyta","Chlorophyta_Chlamydomonas_sp.","P44"
"45","Chlorophyta","Chlorophyta_Oocystis_sp.","P45"
"46","Chlorophyta","Chlorophyta_Tetradesmus_obliquus","P46"
"47","Chlorophyta","Chlorophyta_Willea_truncata","P47"
"48","Chlorophyta","Chlorophyta_Quadrigula_chodatii","P48"
"49","Dinophyta","Dinophyta_Ceratium_carolinianum","P49"
"50","Ochrophyta","Ochrophyta_Dinobryon_divergens","P50"
"51","Bacillariophyta","Bacillariophyta_Stauroneis_sp.","P51"
"52","Chlorophyta","Chlorophyta_Oedogonium_sp.","P52"
"53","Chlorophyta","Chlorophyta_Oocystis_solitaria","P53"
"54","Cyanobacteria","Cyanobacteria_unknown_sp.coccoid3to5microns","P54"
"55","Ochrophyta","Ochrophyta_Kephyrion_sp.","P55"
"56","Ochrophyta","Ochrophyta_unknown_sp.2","P56"
"57","Ochrophyta","Ochrophyta_unknown_sp.1","P57"
"58","Ochrophyta","Ochrophyta_Mallomonas_sp.2","P58"
"59","Cryptophyta","Cryptophyta_unknown_sp.1","P59"
"60","Cyanobacteria","Cyanobacteria_unknown_sp.coccoid5to10microns","P60"
"61","Ochrophyta","Ochrophyta_Dinobryon_sp.","P61"
"62","Chlorophyta","Chlorophyta_unknown_unknown","P62"
"63","Bacillariophyta","Bacillariophyta_Nitzschia_sigmoidea","P63"
"64","Chlorophyta","Chlorophyta_Scenedesmus_sp.","P64"
"65","Cyanobacteria","Cyanobacteria_Chroococcus_minutus","P65"
"66","Chlorophyta","Chlorophyta_Bulbochaete_sp.","P66"
"67","Chlorophyta","Chlorophyta_Dispora_crucigenioides","P67"
"68","Bacillariophyta","Bacillariophyta_Frustulia_sp.","P68"
"69","Bacillariophyta","Bacillariophyta_Aulacoseira_ambigua","P69"
