"","Group","species_name","species_code"
"1","Cladoceran","Cladoceran_Alona_unknown","Z1"
"2","Cladoceran","Cladoceran_Bosmina_longirostris","Z2"
"3","Cladoceran","Cladoceran_Bosmina_unknown","Z3"
"4","Cladoceran","Cladoceran_Ceriodaphnia_quadrangula","Z4"
"5","Cladoceran","Cladoceran_Chydorus_unknown","Z5"
"6","Cladoceran","Cladoceran_Daphnia_ambigua","Z6"
"7","Cladoceran","Cladoceran_Daphnia_catawba","Z7"
"8","Cladoceran","Cladoceran_Daphnia_dubia","Z8"
"9","Cladoceran","Cladoceran_Daphnia_mendotae","Z9"
"10","Cladoceran","Cladoceran_Daphnia_parvula","Z10"
"11","Cladoceran","Cladoceran_Daphnia_pulex","Z11"
"12","Cladoceran","Cladoceran_Daphnia_pulicaria","Z12"
"13","Cladoceran","Cladoceran_Daphnia_retrocurva","Z13"
"14","Cladoceran","Cladoceran_Diaphanosoma_birgei","Z14"
"15","Cladoceran","Cladoceran_Diaphanosoma_brachyurum","Z15"
"16","Cladoceran","Cladoceran_Holopedium_giberum","Z16"
"17","Cladoceran","Cladoceran_Sida_crystallina","Z17"
"18","Cladoceran","Cladoceran_Leptodora_kindti","Z18"
"19","Cladoceran","Cladoceran_Polyphemus_pediculus","Z19"
"20","Copepod","Copepod_Aglaodiaptomus_leptpus","Z20"
"21","Copepod","Copepod_Epischura_lacustris","Z21"
"22","Copepod","Copepod_Leptodiaptomus_minutus","Z22"
"23","Copepod","Copepod_Skistodiaptomus_oregonensis","Z23"
"24","Copepod","Copepod_Cyclops_scutifer","Z24"
"25","Copepod","Copepod_Mesocyclops_edax","Z25"
"26","Copepod","Copepod_Orthocyclops_modestus","Z26"
"27","Copepod","Copepod_Tropocyclops_extensus","Z27"
"28","Copepod","Copepod_unknown_unknown","Z28"
"29","Rotifera","Rotifera_Asplanchna_herricki","Z29"
"30","Rotifera","Rotifera_Asplanchna_priodonta","Z30"
"31","Rotifera","Rotifera_Anuraeopsis_fissa","Z31"
"32","Rotifera","Rotifera_Anuraeopsis_navicula","Z32"
"33","Rotifera","Rotifera_Kellicottia_bostonensis","Z33"
"34","Rotifera","Rotifera_Kellicottia_longispina","Z34"
"35","Rotifera","Rotifera_Keratella_cochlearis","Z35"
"36","Rotifera","Rotifera_Keratella_crassa","Z36"
"37","Rotifera","Rotifera_Keratella_earlinae","Z37"
"38","Rotifera","Rotifera_Keratella_hiemalis","Z38"
"39","Rotifera","Rotifera_Keratella_serrulata","Z39"
"40","Rotifera","Rotifera_Keratella_taurocephala","Z40"
"41","Rotifera","Rotifera_Keratella_tecta","Z41"
"42","Rotifera","Rotifera_Collotheca_mutabilis","Z42"
"43","Rotifera","Rotifera_Conochilus_dossaurius","Z43"
"44","Rotifera","Rotifera_Conochilus_unicornis","Z44"
"45","Rotifera","Rotifera_Encentrum_unknown","Z45"
"46","Rotifera","Rotifera_Beauchampiella_eudactylota","Z46"
"47","Rotifera","Rotifera_Euchlanis_pellucida","Z47"
"48","Rotifera","Rotifera_Ascomorpha_ecaudis","Z48"
"49","Rotifera","Rotifera_Ascomorpha_ovalis","Z49"
"50","Rotifera","Rotifera_Ascomorpha_saltans","Z50"
"51","Rotifera","Rotifera_Gastropus_stylifer","Z51"
"52","Rotifera","Rotifera_Hexarthra_mira","Z52"
"53","Rotifera","Rotifera_Lecane_crepida","Z53"
"54","Rotifera","Rotifera_Lecane_flexilis","Z54"
"55","Rotifera","Rotifera_Lecane_luna","Z55"
"56","Rotifera","Rotifera_Lecane_mira","Z56"
"57","Rotifera","Rotifera_Lecane_mucronata","Z57"
"58","Rotifera","Rotifera_Lecane_tenuisetta","Z58"
"59","Rotifera","Rotifera_Lecane_unknown","Z59"
"60","Rotifera","Rotifera_Monostyla_closterocerca","Z60"
"61","Rotifera","Rotifera_Monostyla_copeis","Z61"
"62","Rotifera","Rotifera_Monostyla_lunaris","Z62"
"63","Rotifera","Rotifera_Monostyla_obtusa","Z63"
"64","Rotifera","Rotifera_Collurella_ucinata","Z64"
"65","Rotifera","Rotifera_Lepadella_unknown","Z65"
"66","Rotifera","Rotifera_Microcodon_clavus","Z66"
"67","Rotifera","Rotifera_Cephalodella_gibba","Z67"
"68","Rotifera","Rotifera_Ploesoma_truncatum","Z68"
"69","Rotifera","Rotifera_Polyarthra_euryptera","Z69"
"70","Rotifera","Rotifera_Polyarthra_major","Z70"
"71","Rotifera","Rotifera_Polyarthra_remata","Z71"
"72","Rotifera","Rotifera_Polyarthra_vulgaris","Z72"
"73","Rotifera","Rotifera_Synchaeta_pectinata","Z73"
"74","Rotifera","Rotifera_Trichocerca_cyclindrica","Z74"
"75","Rotifera","Rotifera_Trichocerca_elongata","Z75"
"76","Rotifera","Rotifera_Trichocerca_insignis","Z76"
"77","Rotifera","Rotifera_Trichocerca_multicrinis","Z77"
"78","Rotifera","Rotifera_Trichocerca_porcellus","Z78"
"79","Rotifera","Rotifera_Trichocerca_pusilla","Z79"
"80","Rotifera","Rotifera_Trichocerca_rousseleti","Z80"
"81","Rotifera","Rotifera_Trichocerca_unknown","Z81"
"82","Rotifera","Rotifera_Trichotria_tetractis_tetractis","Z82"
"83","Rotifera","Rotifera_Filinia_terminalis","Z83"
"84","Rotifera","Rotifera_unknown_unknown","Z84"
