,lake.name,date,PERMANENT_ID,year,month,day,Z.max,sample.depth,sample.layer,TotalP.ug.L,MRP.ug.L,TFP.ug.L,TotalN,chl.a.ug.L,Fe,secchi_m,TSIc,FID
1,Big Moose,1994/6/30,131843856,1994,6,30,22.8,6,Ye,5.5,3.2,2.4,0.66,0.82,0.2,3.8,32.26262068,S1
2,Big Moose,1994/7/25,131843856,1994,7,25,23,6,Ye,4.8,1.6,0.5,0.57,0.94,0.14,5.2,31.32376048,S2
3,Big Moose,1994/8/30,131843856,1994,8,30,22.4,9,Ye,1.5,1.6,3.8,0.43,1.88,0.05,6.1,31.57851859,S3
4,Big Moose,1995/8/7,131843856,1995,8,7,22,7,Ye,1.2,2.49,7.7,0.7,1.24,0.17,5,29.70049645,S4
5,Big Moose,1995/9/12,131843856,1995,9,12,22.8,10,Ye,1.3,1.79,4.12,0.42,0.48,0.13,5.8,24.22577082,S5
6,Big Moose,1996/6/26,131843856,1996,6,26,18.6,3,Ye,8.43,1.81,0.5,0.46,1.28,0.16,3.3,36.22915605,S6
7,Big Moose,1996/7/23,131843856,1996,7,23,22,6,Ye,5.13,0.5,0.5,0.59,0.45,0.2,3.2,29.65566784,S7
8,Big Moose,1996/8/20,131843856,1996,8,20,21.8,5,Ye,7.71,0.5,0.5,0.62,0.43,0.12,4.5,28.91335493,S8
9,Big Moose,1997/7/9,131843856,1997,7,9,22,5,Ye,5,1.07,0.5,0.51,1.23,0.13,8.5,30.74101533,S9
10,Big Moose,1997/8/19,131843856,1997,8,19,21.3,6,Ye,5.4,1.2,1.7,0.49,1.6,0.14,5.3,34.33665889,S10
11,Big Moose,1998/7/14,131843856,1998,7,14,21,4,Ye,6.25,1.63,2.25,0.54,1.43,0.15,3,36.52079611,S11
12,Big Moose,1998/8/17,131843856,1998,8,17,22.5,6,Ye,6,2.39,5.3,0.39,3.35,0.21,3.7,40.03689195,S12
13,Big Moose,1999/6/30,131843856,1999,6,30,18,4,Ye,5.17,2.24,1.48,0.41,1.01,0.17,6.2,31.1260161,S13
14,Big Moose,1999/8/24,131843856,1999,8,24,19,6,Ye,3.25,2.29,0.5,0.47,1.58,0.16,5.2,33.15811408,S14
15,Big Moose,2000/7/19,131843856,2000,7,19,21.6,7,Ye,3.99,3.22,2.26,0.39,1.71,0.24,3.5,35.75347855,S15
16,Big Moose,2001/8/8,131843856,2001,8,8,21.3,4,Ye,4.07,0.5,1.7,0.39,1.61,0.13,6.5,32.83157686,S16
17,Big Moose,2002/8/14,131843856,2002,8,14,21.2,6,Ye,3.7,3.92,1.77,0.35,0.98,0.13,6.2,30.17996081,S17
18,Big Moose,2002/9/17,131843856,2002,9,17,21.3,9,Ye,3.4,1.35,1.41,0.35,1.45,0.13,7,31.53715811,S18
19,Big Moose,2003/7/16,131843856,2003,7,16,22,6,Ye,5.1,1.11,0.5,0.49,1.53,0.19,4.8,34.38941267,S19
20,Big Moose,2003/9/5,131843856,2003,9,5,20,7,Ye,3.01,0.5,1.44,0.37,3.12,0.13,4.3,37.39553581,S20
21,Big Moose,2004/7/7,131843856,2004,7,7,22.5,6,Ye,6.04,0.5,1.39,0.35,1.41,0.13,4.7,34.4444472,S21
22,Big Moose,2004/8/10,131843856,2004,8,10,24,6,Ye,1.61,1.64,1.57,0.37,3.31,0.13,4.5,36.04342741,S22
23,Big Moose,2005/7/20,131843856,2005,7,20,23.3,4,Ye,2.32,0.5,1.27,0.41,3.15,0.34,4.1,37.03807004,S23
24,Big Moose,2005/8/17,131843856,2005,8,17,23.2,5,Ye,3.34,2.48,2.93,0.23,4.74,0.26,4.9,39.29642611,S24
25,Big Moose,2006/7/17,131843856,2006,7,17,22.6,4,Ye,5.85,3.31,1.77,0.38,4.3,0.44,3.95,41.02008097,S25
26,Big Moose,2006/8/16,131843856,2006,8,16,20.5,6,Ye,7.81,3.84,1.1,0.31,4.05,0.13,4.1,41.22246024,S26
27,Big Moose,2007/7/12,131843856,2007,7,12,21,5,Ye,3.7,4.81,2.35,0.24,1.78,0.13,4.9,34.34862444,S27
