,Date,K001,K002,K003,K006,K009,K010,K004,K011,K007,K012,K013,K032,K033,K034,K035,K036,K037,K039,K024,K017,K026,K028,K014,K016,K021,K022,K040,K042,K043,K046,K047,K049,K053,K054,K055,K057,K056,K058,K059,K060,K061,K062,K063,K064,K066,K067,K068,K072,K073,K076,K078,K079,K080,K081,K082,K083,K084,K085,K086,K090.1,K091,K093,K094,K095,K097,K099,K101,K102,K103,K104,K105,K130,K118,K110,K113,K114,K119,K120,K121,K133,K131,K149,K150,K153,K134,K154,K155,K108,K156,K157,K122K175,K123,K135,K143,K152,K139,K141,K124,K125,K144,K142,K126,K173,K146,K140,K169,K117,K147,K109,K128,K161,K112,K137,K162,K163,K129,K164,K170,K165,Z002,Z003,Z004,Z005,Z006,Z007,Z009,Z010,Z012,Z013,Z014,Z015,Z019,Z021,Z022,Z023.1,Z024,Z030,Z036,Z034,Z035,Z037,Z039,Z067,Z040,Z043,Z044,Z046,Z047,Z048,Z049,Z051,Z052,Z054,Z055,Z056,Z057,Z061,Z063,Z065,Z068,Z069
165,1984/11/7,0,0,0,0,0,3102765,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314862,0,0,0,0,3934515,0,0,3171106,0,819231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41252,0,0,0,0,0,15710,0,0,0,5.5,0,4.5,0,13,0,1.5,125,171,0,65,20.5,180,0,0,3.5,0,0,0,9.5,1,0.5,0.5,0,0,0,8.5,0,0,7,0,1165.5,0,0,84,0,0,112.5,0,220,3
167,1984/12/5,0,0,0,0,0,3577294,0,25492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223022,0,0,0,0,15167170,0,0,3260440,0,1085216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358627,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23147,0,0,0,0,16467,0,0,0,0,0,32693,0,0,0,0,19870,0,0,0,0,3.8,0,0.6,0,6,0,0,32,193,0.3,0.6,0,2.6,0.8,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,10.3,0,0,1.5,0,0,7.3,0,1.3,0
169,1985/1/9,0,0,0,0,0,61107,0,159436,0,0,0,0,0,0,0,0,64399,0,0,0,0,0,0,0,0,0,0,0,306093,0,0,0,0,0,0,0,96167,0,7417576,0,0,50846,0,0,0,0,0,140676,0,300770,0,0,0,0,0,0,0,0,120912,350787,484725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,576572,0,16467,0,0,0,0,0,56050,0,0,0,0,0,47112,0,0,0,0,1,0,0,0,0,0,24,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,56,0,0,0
170,1985/2/6,0,0,0,0,0,82461,0,63775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87455,0,0,0,0,0,0,0,383349,0,7900539,0,0,127202,0,0,0,0,0,70580,0,4960288,0,0,0,0,0,0,0,0,0,3163516,645560,0,0,0,0,0,0,0,0,0,0,7378,0,0,0,6386294,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721210,54255,16467,0,0,0,0,0,46713,0,0,0,0,0,20922,0,0,0,0,2,0,0,0,0,0,23,122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,0,0,0
171,1985/3/6,0,0,0,0,0,25954,0,44677,0,0,0,0,0,0,0,0,64399,0,0,0,0,0,0,0,0,0,0,0,297323,0,0,0,0,563176,0,0,0,0,10976422,0,0,0,0,0,0,0,0,1407725,0,10772642,0,0,0,0,0,0,0,0,0,2928586,322780,0,0,0,0,0,0,0,0,0,0,18457,0,0,0,2037941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,0,36632,0,0,0,0,0,0,0,0.5,0,0,30.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0.5,0,0,0
174,1985/5/8,0,0,0,0,0,113014,0,95662,0,0,0,0,0,0,0,0,6037441,0,0,0,0,0,0,0,0,0,0,0,87455,0,0,0,0,0,0,0,0,0,3316950,0,0,0,0,0,0,0,0,0,0,18538965,0,0,0,0,0,0,0,0,0,585717,2018762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434508,0,0,0,0,0,0,0,0,162257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.5,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
176,1985/6/12,0,0,0,0,0,239170,0,44677,249737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664682,0,0,0,0,563176,0,0,96167,0,120948,0,0,0,0,0,0,0,0,563187,0,501053,0,0,0,0,0,0,0,0,0,0,4360304,0,0,0,0,0,0,0,0,0,0,14756,0,0,0,2037941,0,0,0,0,0,0,0,0,65081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,0,10461,0,0,0,0,0,0,0,0,0,0,2,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1985/7/10,0,0,0,0,0,1633844,0,0,93652,0,0,0,0,0,0,0,80499,0,0,0,0,0,0,282462,0,0,0,0,118088,0,0,0,0,1126351,0,0,2421094,0,2146342,0,0,0,0,0,0,0,0,985214,0,1353119,0,0,0,0,0,0,0,0,0,117465,4199468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,9935,20940,0,0,0,0,0,0,0,0,0,0,127,156.5,0,1,0,0,0,0,79,60,0,0,42,21.5,37.5,4.5,0,0,0,0,0,0,11.5,0,72.5,0,0,114,0,0,95,0,9.5,0
185,1985/8/7,0,0,0,0,0,12484127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17479,0,0,0,0,1126351,0,0,162267,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,0,0,0,0,0,0,0,0,241808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68.5,98.5,0,45.5,0,3.5,0,0,24.5,4.5,0,0,0,1,0,0,0,0,0,0,0,0,10.5,0.5,13,0,0,7,1,0,3.5,0,0,3
188,1985/9/10,0,0,0,0,0,6351595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10106303,0,0,1342379,5822941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,0,0,0,0,0,0,0,0,28062,0,0,0,0,0,5231,0,0,0,17,0,46,0,0,0,0,75,266,0,281,171,54,0,0,96,7,0,0,0,0,16,0,12,0,0,0,0,0,21,4,15,0,0,22,0,0,20,0,0,50
190,1985/10/2,0,0,0,0,0,2336240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13477643,0,0,2685417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,11.5,0,0,0,0,37,292.5,0,300.5,25.5,61,0,0,32,4,0,0,0.5,0,21,0,2,0.5,0,0,0,18,2,8,4,0,0,21,0,0,9.5,0,0,8
192,1985/11/6,0,0,0,0,0,1460117,0,0,62434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389163,0,0,0,0,1681812,0,0,5178501,648969,120948,0,0,0,0,0,0,0,0,281352,0,0,0,0,0,0,0,0,0,0,0,0,484725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29613,0,0,0,0,0,0,0,0,31538,0,0,0,0,9935,35338,0,11343,0,11,0,16,0,0,0,0,75,67,0,279,13,29,0,0,5,7,0,0,31,1,5,0,1,0,0,18,0,0,1,0,9,0,0,8,0,0,1,0,4,1
194,1985/12/12,0,0,0,0,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78685,0,0,0,0,1126351,0,0,7096562,0,361186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117465,1211257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813683,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24666,0,0,0,0,0,0,0,0,32693,45391,0,0,0,0,26171,0,0,0,1,0,0,0,0,0,1,16,97,0,54,0,4,3,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,1,0,19,0,0,20,0,0,331,0,27,0
195,1986/1/8,0,0,0,0,0,0,0,95662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306093,0,0,0,0,0,0,0,0,0,1568179,0,0,0,0,0,0,0,0,0,0,100486,0,0,0,0,0,0,0,0,0,0,322780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,0,0,0,0,0,0,0,18689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,91.3,0,5.8,0,1,5.8,0,0.3,0,0,0,0,297,1.8,0,0,0,0,0,0,0,1.8,0,7,0,0,1.5,0,0,75.3,0,0.5,0
196,1986/2/5,0,0,0,0,0,0,0,102057,0,0,0,0,0,0,0,0,16100,0,0,0,0,0,0,0,0,0,0,0,56822,0,0,0,0,563176,0,0,0,0,60474,0,0,0,0,0,0,0,0,0,0,50243,0,0,0,0,0,0,0,0,0,0,161945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,158.5,0,0.5,0,0,1.5,0,0,0,0,0,1,6.5,0,0,0,0,0,0,0,0,0.5,0,3.5,0,0,0,0,0,21.5,0,0,0
197,1986/3/5,0,0,0,0,0,0,0,223211,0,0,0,0,0,0,0,0,32200,0,0,0,0,0,0,0,0,0,0,0,231732,0,0,0,0,0,0,0,0,0,1688298,0,0,0,0,0,0,0,0,0,0,2505266,0,0,0,0,0,0,0,0,0,0,241808,0,0,0,0,0,0,21984,0,0,0,0,0,0,0,951785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10461,0,0,0,0,0,0.3,0,0,0,0,29.5,279.3,0,0,0,0,0.3,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,2,0,0,0.3,0,0,5.5,0,0,0
