
Call:
manyglm(formula = phyto_zoo_select ~ X, family = "negative.binomial")

Pairwise associations:
       K00    K00    K00    K00    K00    K01    K00    K01    K00    K01    K01    K03    K03    K03    K03    K03    K03    K03    K02    K01    K02    K02    K01    K01    K02    K02    K04    K04    K04    K04    K04    K04    K05    K05    K05    K05    K05    K05    K05    K06    K06    K06    K06    K06    K06    K06    K06    K07    K07    K07    K07    K07    K08    K08    K08    K08    K08    K08    K08    K09    K09    K09    K09    K09    K09    K09    K10    K10    K10    K10    K10    K13    K11    K11    K11    K11    K11    K12    K12    K13    K13    K14    K15    K15    K13    K15    K15    K10    K15    K15    K12    K12    K13    K14    K15    K13    K14    K12    K12    K14    K14    K12    K17    K14    K14    K16    K11    K14    K10    K12    K16    K11    K13    K16    K16    K12    K16    K17    K16    Z00    Z00    Z00    Z00    Z00    Z00    Z00    Z01    Z01    Z01    Z01    Z01    Z01    Z02    Z02    Z02    Z02    Z03    Z03    Z03    Z03    Z03    Z03    Z06    Z04    Z04    Z04    Z04    Z04    Z04    Z04    Z05    Z05    Z05    Z05    Z05    Z05    Z06    Z06    Z06    Z06    Z06
K00  0.000  0.021  0.038 -0.013  0.103  0.035  0.033  0.022  0.095 -0.012  0.018  0.012  0.110 -0.017  0.036  0.052  0.097  0.043  0.008  0.051  0.064  0.058 -0.040  0.025 -0.028  0.023  0.079  0.050 -0.064 -0.037  0.034  0.022 -0.014 -0.023 -0.076 -0.001  0.010 -0.032  0.031  0.014 -0.004  0.020 -0.013 -0.031  0.022 -0.002 -0.005 -0.016 -0.053 -0.068  0.002 -0.033 -0.007  0.019 -0.012  0.011 -0.003 -0.005  0.066 -0.040 -0.007  0.021  0.021 -0.003  0.034  0.019 -0.009 -0.006 -0.001 -0.021 -0.015  0.033  0.021 -0.076  0.010  0.019  0.043  0.008 -0.013  0.038 -0.048 -0.007 -0.012  0.019  0.011 -0.005  0.000  0.021 -0.032 -0.061  0.042  0.059 -0.004 -0.016  0.077  0.009 -0.001  0.012  0.053  0.017  0.042 -0.015  0.042  0.021 -0.010  0.016  0.027  0.047  0.010 -0.030 -0.017  0.035  0.012 -0.023  0.000  0.009  0.100  0.053  0.027  0.027 -0.043 -0.001 -0.001 -0.003 -0.041 -0.025 -0.013  0.001 -0.004  0.001  0.004 -0.007 -0.014  0.010  0.058  0.033  0.008 -0.017  0.037 -0.010  0.021  0.004 -0.002 -0.006 -0.011  0.008 -0.011 -0.017 -0.026  0.036 -0.021  0.003 -0.028  0.037 -0.016 -0.014 -0.007 -0.002 -0.045 -0.011  0.051
K00  0.021  0.000  0.001 -0.040  0.044 -0.006  0.014  0.020  0.042 -0.026 -0.028 -0.030  0.020  0.027  0.008  0.009  0.011  0.001 -0.006 -0.009  0.031 -0.007 -0.002  0.001 -0.002  0.028 -0.007  0.002 -0.003 -0.027  0.006 -0.023  0.006  0.021  0.024 -0.020 -0.044  0.017 -0.044 -0.002 -0.043  0.061 -0.003  0.017  0.011  0.014  0.010  0.018 -0.013  0.000  0.021 -0.020  0.018  0.025  0.007  0.004 -0.011  0.016 -0.016  0.027  0.000  0.005 -0.009 -0.006 -0.006 -0.023  0.010  0.021  0.014 -0.006  0.006 -0.005  0.002  0.025 -0.027  0.004  0.040 -0.007  0.004  0.009 -0.036  0.000 -0.027 -0.006  0.015  0.037  0.018  0.027  0.032 -0.017  0.028  0.011  0.000 -0.004 -0.017  0.018  0.017  0.018 -0.037 -0.005 -0.020 -0.014  0.018 -0.019 -0.002 -0.011  0.010  0.016 -0.011  0.000  0.025 -0.044  0.030  0.022  0.035 -0.025 -0.018 -0.007 -0.016 -0.003 -0.008 -0.005 -0.021  0.011  0.015  0.005 -0.001 -0.058  0.086  0.001 -0.017  0.015  0.021  0.001  0.009 -0.022 -0.024  0.003  0.005  0.005  0.012  0.008 -0.008  0.012  0.004 -0.005 -0.006  0.005 -0.007 -0.018 -0.014 -0.010  0.012  0.012  0.016  0.007 -0.005 -0.006  0.001  0.023  0.038
K00  0.038  0.001  0.000  0.016  0.040  0.036  0.025  0.023  0.031  0.026  0.001  0.016  0.132 -0.007 -0.010 -0.036  0.095 -0.035 -0.006 -0.015 -0.047  0.022  0.004  0.068  0.010 -0.010 -0.011  0.026  0.059 -0.008 -0.031 -0.005 -0.007  0.002  0.025 -0.047  0.037  0.040 -0.049 -0.026  0.021 -0.037  0.005 -0.011 -0.023 -0.012  0.040 -0.051 -0.024 -0.052 -0.031 -0.040 -0.076  0.097 -0.002 -0.028  0.074 -0.092  0.118  0.008  0.049 -0.049  0.019  0.037  0.002 -0.009  0.025  0.011  0.016 -0.012  0.001 -0.069 -0.046  0.001  0.022  0.033  0.056 -0.001  0.023 -0.019  0.024 -0.002  0.012  0.043  0.003  0.021 -0.027  0.024  0.017  0.020 -0.041  0.004  0.013  0.014  0.020  0.052 -0.056  0.005  0.105  0.051  0.033  0.133 -0.004 -0.016  0.023 -0.002 -0.008 -0.026 -0.026  0.036  0.042  0.015  0.002  0.001  0.004  0.010 -0.070 -0.022 -0.002  0.009 -0.043 -0.012  0.029  0.013 -0.026  0.007 -0.007 -0.038  0.071  0.002  0.004  0.010 -0.010  0.002 -0.008 -0.038 -0.024 -0.017  0.047  0.003 -0.041  0.045  0.001 -0.024  0.016 -0.013 -0.017 -0.016 -0.006 -0.027 -0.023 -0.005 -0.041 -0.017  0.000 -0.018  0.009  0.012  0.003  0.002 -0.023
K00 -0.013 -0.040  0.016  0.000 -0.022  0.008  0.009 -0.007  0.063 -0.018 -0.011  0.008 -0.013  0.059  0.023  0.063  0.003  0.044  0.022 -0.014  0.014  0.004 -0.011 -0.036 -0.019 -0.024 -0.007  0.015 -0.005  0.026 -0.006 -0.003 -0.001 -0.003 -0.108 -0.036  0.019 -0.019  0.000 -0.014  0.003 -0.039  0.006  0.005  0.008 -0.014  0.008 -0.016  0.055  0.034 -0.024 -0.001 -0.025  0.054 -0.004 -0.007  0.007 -0.023  0.031 -0.028 -0.016  0.007  0.002 -0.004 -0.003  0.014  0.011  0.030  0.011  0.001  0.017  0.002 -0.003  0.039  0.020  0.000 -0.043 -0.016  0.000  0.040 -0.018  0.003 -0.013 -0.019 -0.015  0.006  0.000  0.015 -0.011 -0.012  0.024  0.008 -0.008  0.000 -0.023 -0.007 -0.005 -0.023  0.007 -0.002  0.021  0.052  0.019  0.010  0.007 -0.003  0.007  0.073  0.005 -0.006  0.019 -0.041  0.015 -0.004  0.001 -0.001 -0.011  0.013 -0.017  0.035 -0.001  0.010 -0.019  0.042 -0.015  0.003 -0.009 -0.023  0.031  0.016  0.001 -0.008 -0.004 -0.004  0.017  0.012  0.002 -0.001 -0.018  0.005 -0.006  0.005 -0.013  0.005 -0.008  0.045  0.003 -0.003 -0.008 -0.020 -0.001  0.002 -0.005  0.017 -0.010 -0.007  0.002 -0.017  0.007  0.004 -0.027
K00  0.103  0.044  0.040 -0.022  0.000  0.042  0.037  0.085  0.048  0.010  0.017 -0.028 -0.032 -0.043  0.037 -0.025 -0.006  0.067 -0.022 -0.005 -0.007 -0.029 -0.023  0.004 -0.029  0.058  0.015  0.010 -0.087  0.050  0.045 -0.002  0.011 -0.039  0.037  0.021  0.016  0.013 -0.006  0.002  0.027 -0.006 -0.038 -0.025  0.005  0.002  0.011  0.013 -0.024  0.022  0.079  0.025 -0.018 -0.016  0.014 -0.003  0.025  0.023 -0.019  0.045  0.027 -0.006 -0.002 -0.011 -0.027  0.035 -0.045 -0.077  0.069  0.011  0.015 -0.064  0.005  0.006  0.043 -0.050  0.113  0.020  0.019 -0.009  0.035 -0.016  0.020 -0.010 -0.008  0.044 -0.043  0.023  0.050  0.036  0.003 -0.034 -0.003 -0.024  0.003  0.039  0.028 -0.043  0.001  0.031  0.053 -0.007 -0.041 -0.003  0.043  0.017  0.000  0.040  0.000 -0.024  0.071  0.075  0.017  0.019  0.023  0.046  0.009 -0.010  0.037 -0.005  0.068  0.026 -0.013  0.035 -0.022 -0.011 -0.006 -0.106  0.010  0.029 -0.057 -0.011 -0.014  0.007 -0.013  0.017 -0.019 -0.006  0.071  0.044 -0.003 -0.016  0.043 -0.010 -0.004  0.001  0.000  0.014 -0.006  0.068  0.035  0.012 -0.036  0.014 -0.064  0.003 -0.023 -0.023 -0.033  0.024  0.078
K01  0.035 -0.006  0.036  0.008  0.042  0.000  0.063  0.016  0.110 -0.022 -0.028  0.013  0.010  0.056 -0.046  0.157  0.018 -0.005  0.002 -0.022  0.044 -0.004  0.006  0.106 -0.037 -0.013  0.038 -0.020 -0.057  0.006 -0.027 -0.034 -0.029  0.049 -0.090  0.030  0.041 -0.028  0.133  0.024 -0.001  0.041  0.009  0.001  0.027 -0.003  0.016  0.072 -0.017  0.031 -0.003  0.021 -0.037 -0.013 -0.032  0.025  0.067 -0.037  0.043 -0.028  0.142  0.029 -0.027 -0.014 -0.008  0.011  0.003 -0.022  0.007 -0.012 -0.020 -0.023  0.008 -0.028  0.003 -0.039  0.047 -0.020  0.024  0.054  0.032  0.007  0.031  0.035  0.051 -0.042 -0.001 -0.092  0.018  0.018 -0.024  0.008 -0.015  0.010 -0.018  0.035  0.060 -0.025  0.011 -0.017  0.011 -0.077  0.046  0.033  0.037  0.007  0.015 -0.005 -0.020 -0.018  0.010 -0.028  0.030  0.017  0.036  0.006  0.054  0.000 -0.016  0.002  0.094  0.032  0.103 -0.023  0.054 -0.005  0.000  0.038 -0.118  0.028  0.067  0.058  0.099  0.003  0.076  0.139  0.029 -0.010 -0.048 -0.041  0.033  0.092 -0.029 -0.028 -0.041 -0.014  0.015  0.009  0.044  0.021  0.071 -0.041 -0.024  0.001  0.079  0.014  0.001 -0.066  0.004 -0.035  0.030
K00  0.033  0.014  0.025  0.009  0.037  0.063  0.000 -0.079 -0.001 -0.003  0.002 -0.030  0.082  0.008  0.036  0.031  0.089 -0.033 -0.016 -0.003 -0.014 -0.022 -0.010 -0.048 -0.021  0.037  0.041 -0.005 -0.013  0.011 -0.003 -0.002  0.011  0.015  0.075 -0.017 -0.047 -0.014  0.007 -0.002  0.000  0.030 -0.002  0.020 -0.004  0.000  0.010 -0.003  0.050 -0.056 -0.061 -0.004 -0.011  0.014  0.013 -0.014  0.040  0.002  0.084 -0.001  0.000 -0.008  0.039 -0.027  0.011  0.011 -0.014 -0.027  0.003 -0.003  0.009  0.016 -0.013 -0.030 -0.014  0.032  0.032  0.007  0.001  0.041 -0.018 -0.025 -0.001  0.012 -0.028 -0.013 -0.046 -0.025  0.013 -0.004  0.025  0.006 -0.014  0.000  0.002  0.004  0.003 -0.031 -0.037 -0.018  0.039 -0.092  0.012 -0.087  0.055  0.001 -0.026  0.022 -0.010 -0.017  0.032  0.045  0.013 -0.020  0.020  0.003 -0.010 -0.015  0.052  0.025 -0.039 -0.004 -0.040 -0.030 -0.020 -0.011  0.016 -0.027  0.088  0.000  0.004  0.005 -0.002  0.012  0.040 -0.008 -0.041  0.004  0.003  0.011 -0.018 -0.003 -0.011 -0.023 -0.001  0.003  0.002 -0.016 -0.012  0.007 -0.015 -0.017  0.027 -0.005  0.014 -0.006 -0.011  0.026 -0.039 -0.043 -0.004
K01  0.022  0.020  0.023 -0.007  0.085  0.016 -0.079  0.000 -0.008 -0.022  0.007  0.002  0.047  0.003  0.000  0.080  0.088  0.044  0.012 -0.012  0.009 -0.001 -0.050 -0.110 -0.014  0.029  0.082 -0.014  0.000 -0.013 -0.007 -0.018  0.015  0.123 -0.006 -0.013 -0.057 -0.020  0.178  0.034  0.013 -0.093 -0.018 -0.057  0.029  0.042  0.019 -0.053 -0.011  0.030  0.034  0.005  0.016 -0.050 -0.003 -0.001  0.009  0.004 -0.038  0.181 -0.027  0.085 -0.023 -0.063  0.002  0.035 -0.021  0.057 -0.024 -0.004  0.000  0.022  0.000  0.000  0.036 -0.040  0.097  0.041  0.004  0.016  0.037 -0.028 -0.064 -0.015  0.000 -0.029  0.009 -0.085 -0.007 -0.061 -0.028  0.014  0.015  0.004  0.023  0.062 -0.077  0.057  0.057  0.040 -0.005 -0.070  0.057 -0.013  0.024 -0.004 -0.005  0.023 -0.005 -0.012  0.025 -0.007 -0.016 -0.044 -0.033  0.054  0.021  0.040 -0.037 -0.003  0.060  0.002 -0.013 -0.036  0.028 -0.007  0.004 -0.018  0.018 -0.002 -0.040 -0.012  0.004  0.024  0.004 -0.032  0.003  0.000  0.007  0.015 -0.022 -0.078  0.016  0.024  0.033 -0.011 -0.017  0.000 -0.014  0.047  0.026  0.000  0.029 -0.019 -0.030  0.008  0.003  0.064 -0.061  0.028 -0.093
K00  0.095  0.042  0.031  0.063  0.048  0.110 -0.001 -0.008  0.000  0.009 -0.083  0.043 -0.024  0.059 -0.029  0.057 -0.027  0.008  0.003 -0.054  0.104  0.038  0.041  0.046  0.020  0.000  0.023 -0.014  0.053  0.029 -0.015  0.036 -0.017  0.002  0.039  0.020 -0.032  0.025 -0.055  0.015  0.062 -0.062  0.000  0.034 -0.051  0.032  0.020  0.043  0.025 -0.024 -0.029  0.014 -0.007  0.093  0.034 -0.036  0.007  0.015  0.047  0.035  0.008  0.000  0.067 -0.016  0.025 -0.019 -0.009  0.054 -0.011  0.006 -0.010 -0.019 -0.001 -0.005 -0.014  0.078 -0.025  0.008 -0.036 -0.025 -0.032 -0.011  0.002 -0.004  0.009  0.021 -0.030  0.043 -0.060  0.001  0.087 -0.054  0.020 -0.002  0.028  0.000  0.048 -0.004  0.021 -0.009  0.042 -0.041  0.013 -0.070 -0.050  0.003  0.041 -0.055 -0.009 -0.001  0.055  0.049  0.021 -0.017  0.002 -0.062 -0.029  0.015 -0.004  0.051 -0.023  0.001  0.056  0.094 -0.009  0.007  0.024 -0.024  0.038 -0.051 -0.064 -0.035 -0.004 -0.009 -0.080  0.052  0.014 -0.009  0.096  0.025  0.017 -0.060  0.007  0.027 -0.010 -0.031 -0.030 -0.020  0.023 -0.044  0.004  0.007  0.054  0.004  0.043  0.030  0.004  0.029  0.020 -0.031 -0.007
K01 -0.012 -0.026  0.026 -0.018  0.010 -0.022 -0.003 -0.022  0.009  0.000 -0.002  0.035  0.048  0.008 -0.009 -0.032 -0.006  0.001 -0.002  0.002 -0.001  0.012  0.003 -0.010 -0.006 -0.005 -0.018  0.003  0.021  0.005  0.008  0.005 -0.011 -0.020  0.003 -0.002 -0.006  0.024 -0.006  0.006  0.021  0.020 -0.001 -0.028  0.013 -0.014  0.010 -0.022 -0.004  0.022  0.019 -0.025 -0.011 -0.021  0.054  0.016 -0.006 -0.015 -0.016  0.019  0.004 -0.007  0.057 -0.026 -0.003  0.031 -0.002  0.006 -0.001 -0.007  0.002  0.020 -0.012 -0.036  0.040  0.012 -0.028 -0.008 -0.005  0.000  0.005 -0.012  0.031 -0.018  0.003  0.000 -0.004 -0.006  0.016  0.023 -0.005 -0.007  0.003 -0.014  0.004 -0.003  0.038  0.004  0.017 -0.009  0.029 -0.020  0.000 -0.010 -0.012  0.008 -0.006  0.002 -0.013  0.029  0.004 -0.002  0.013 -0.013  0.004 -0.003  0.017 -0.034  0.001  0.012  0.001 -0.007  0.002  0.035 -0.008 -0.003 -0.014 -0.011  0.020 -0.008  0.004  0.003 -0.002 -0.001  0.000 -0.011 -0.004  0.007 -0.002 -0.022 -0.016  0.036  0.009  0.012  0.007  0.002 -0.004 -0.010  0.005  0.020  0.005 -0.019  0.050 -0.006 -0.001  0.005 -0.012 -0.005  0.013  0.045 -0.007
