,ID,All,Algae,Cyanobacteria,Zooplankton,TSIc,group,TSI_group,ClimateZone
1,XH02,79,60,32,39,49.6008453,DN_Low,Low,Subtropical
2,QDH03,109,87,31,59,38.39724132,DN_Low,Low,Subtropical
3,QDH04,73,53,33,33,42.7293948,DN_Low,Low,Subtropical
4,QDH05,130,113,40,52,31.2969058,DN_Low,Low,Subtropical
5,HJ01,104,85,36,44,39.38277524,DN_Low,Low,Subtropical
6,HJ02,166,137,57,71,44.56509118,DN_Low,Low,Subtropical
7,HJ03,134,110,43,66,43.24868253,DN_Low,Low,Subtropical
8,HJ04,158,132,60,61,43.99623337,DN_Low,Low,Subtropical
9,HJ05,127,98,53,59,42.06578563,DN_Low,Low,Subtropical
10,HJ06,138,118,46,54,45.17928425,DN_Low,Low,Subtropical
11,NX04,111,85,37,56,49.9984919,DN_Low,Low,Subtropical
12,NX05,115,94,26,60,49.07799677,DN_Low,Low,Subtropical
13,XFJ01,122,102,25,64,30.47029749,DN_Low,Low,Subtropical
14,XFJ02,149,126,35,73,30.20453309,DN_Low,Low,Subtropical
15,XFJ03,161,145,24,71,32.62576318,DN_Low,Low,Subtropical
16,XFJ04,154,134,25,79,30.82984846,DN_Low,Low,Subtropical
17,XFJ05,189,159,37,97,32.17222589,DN_Low,Low,Subtropical
18,XFJ06,132,116,20,63,37.86601891,DN_Low,Low,Subtropical
19,LXH01,169,152,17,77,40.37994429,DN_Low,Low,Subtropical
20,LXH02,129,110,26,63,42.46984306,DN_Low,Low,Subtropical
21,LXH03,176,152,51,72,38.13158685,DN_Low,Low,Subtropical
22,LXH04,155,131,48,62,38.21916674,DN_Low,Low,Subtropical
23,LXH05,185,156,62,70,39.97788407,DN_Low,Low,Subtropical
24,LXH06,127,104,36,57,39.52301588,DN_Low,Low,Subtropical
25,GZ01,177,136,51,102,45.81024178,DN_Low,Low,Subtropical
26,GZ02,158,124,50,89,46.95759833,DN_Low,Low,Subtropical
27,GZ03,156,124,49,87,48.91417129,DN_Low,Low,Subtropical
28,GZ04,161,124,56,90,48.71944957,DN_Low,Low,Subtropical
29,GZ06,186,145,72,92,48.3709568,DN_Low,Low,Subtropical
30,XH01,64,41,18,42,70.49751802,DN_High,High,Subtropical
31,XH03,104,69,36,66,69.02750819,DN_High,High,Subtropical
32,XH04,61,40,31,35,65.45207062,DN_High,High,Subtropical
