"","XH02","QDH03","QDH04","QDH05","HJ01","HJ02","HJ03","HJ04","HJ05","HJ06","NX04","NX05","XFJ01","XFJ02","XFJ03","XFJ04","XFJ05","XFJ06","LXH01","LXH02","LXH03","LXH04","LXH05","LXH06","GZ01","GZ02","GZ03","GZ04","GZ06"
"P1",23319.83806,0,0,2495.126706,0,0,0,0,0,0,419757.085,490827.0677,0,0,0,0,0,863229.2596,66206.89655,52631.57895,59442.72446,76660.61706,91519.36445,44364.56996,0,707368.4211,0,0,0
"P3",0,0,0,0,0,0,0,0,0,0,0,0,1063.711911,867.4045629,13346.57398,7662.758793,4188.710117,0,0,0,0,0,0,0,669473.6842,0,1037473.684,965614.0351,960000
"P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873.534547,1047.177529,0,3484.573503,0,0,0,0,0,0,11228.07018,13473.68421,0,0
"P8",10364.37247,18947.36842,36746.41148,24951.26706,413397.1292,808421.0526,715141.7004,646736.8421,913867.2769,488964.3463,62186.23482,28872.18045,31911.35734,25154.73232,0,42145.17336,31415.32588,167850.1338,13938.29401,29473.68421,27739.93808,6969.147005,11439.92056,7394.094994,164210.5263,134736.8421,161684.2105,157192.9825,126315.7895
"P9",0,0,0,0,0,0,0,0,0,13039.04924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P11",23319.83806,18947.36842,0,109785.575,0,12248.80383,7773.279352,127037.594,79084.66819,26078.09847,46639.67611,0,25529.08587,19082.90038,13346.57398,22988.27638,23037.90564,44531.66815,219528.1307,111578.9474,103034.0557,139382.9401,110585.8987,36970.47497,138947.3684,123508.7719,94315.78947,89824.5614,164210.5263
"P14",0,6315.789474,0,0,9186.602871,6124.401914,0,0,0,0,0,0,3191.135734,0,5719.960278,0,0,3425.512935,3484.573503,0,0,0,0,0,12631.57895,0,0,0,0
"P18",2591.093117,0,0,9980.506823,4593.301435,30622.00957,0,11548.87218,0,13039.04924,15546.5587,14436.09023,0,0,0,0,0,3425.512935,0,2105.263158,0,0,0,0,0,0,0,0,0
"P22",0,0,0,0,110239.2344,12248.80383,209878.5425,150135.3383,96659.0389,97792.86927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P24",0,0,0,0,18373.20574,0,0,0,0,13039.04924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P25",0,12631.57895,36746.41148,9980.506823,27559.80861,67368.42105,62186.23482,57744.3609,105446.2243,78234.29542,0,0,0,0,0,0,0,0,0,0,0,0,3813.306852,0,0,0,0,0,0
"P26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56140.35088,26947.36842,67368.42105,50526.31579
"P29",12955.46559,0,0,0,4593.301435,0,0,17323.30827,0,0,0,0,0,0,0,0,0,0,0,0,11888.54489,0,0,2464.698331,0,0,0,0,0
"P34",0,0,0,0,0,0,0,0,0,0,0,0,1063.711911,867.4045629,13346.57398,9578.448491,3141.532588,0,3484.573503,4210.526316,0,3484.573503,80079.44389,36970.47497,0,11228.07018,107789.4737,112280.7018,25263.15789
"P35",20728.74494,0,0,7485.380117,0,0,7773.279352,11548.87218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12631.57895,11228.07018,13473.68421,11228.07018,0
"P41",5182.186235,138947.3684,55119.61722,7485.380117,13779.90431,0,0,0,0,0,0,0,13828.25485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P47",36275.30364,0,0,0,0,189856.4593,171012.1457,57744.3609,307551.4874,332495.7555,0,0,0,0,0,0,0,0,132413.7931,33684.21053,118885.4489,90598.91107,156345.5809,76405.64827,0,0,0,0,0
"P50",33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3484.573503,0,0,0,0,0,0,0
"P51",49230.76923,0,0,0,0,0,0,0,0,0,0,0,1063.711911,0,0,0,0,0,0,2105.263158,3962.848297,3484.573503,0,2464.698331,0,0,0,0,0
"P61",126963.5628,0,27559.80861,2495.126706,0,24497.60766,0,0,0,0,5705587.045,5529022.556,0,0,3813.306852,0,0,3425.512935,0,0,0,3484.573503,3813.306852,4929.396662,12631.57895,0,0,0,37894.73684
"P65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0
"P66",10364.37247,6315.789474,0,0,0,0,0,5774.43609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P67",36275.30364,0,0,54892.78752,0,0,0,0,0,0,0,0,27656.5097,13878.47301,0,0,39792.74611,68510.2587,48784.02904,14736.84211,47554.17957,52268.60254,30506.45482,17252.88832,0,0,0,0,0
"P68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24392.01452,2105.263158,55479.87616,55753.17604,87706.0576,34505.77664,0,0,0,0,0
"P69",0,0,0,0,0,0,0,0,0,0,0,0,2127.423823,3469.618252,5719.960278,0,2094.355059,0,3484.573503,0,7925.696594,0,0,0,0,0,0,0,0
"P76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26947.36842,44912.2807,37894.73684
"P78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421.052632,47554.17957,31361.16152,11439.92056,0,0,0,0,0,0
"P79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.177529,0,6969.147005,4210.526316,3962.848297,0,11439.92056,0,0,0,40421.05263,11228.07018,0
"P81",427530.3644,505263.1579,312344.4976,479064.3275,440956.9378,391961.7225,559676.1134,282947.3684,369061.7849,384651.9525,388663.9676,245413.5338,102116.3435,100618.9293,312691.1619,139845.348,159170.9845,267190.0089,662068.9655,553684.2105,951083.5913,742214.1561,835114.2006,759127.086,2172631.579,1762807.018,1455157.895,1425964.912,2071578.947
"P82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10453.72051,12631.57895,3962.848297,13938.29401,19066.53426,9858.793325,0,0,0,0,0
"P85",0,0,0,0,303157.8947,232727.2727,380890.6883,127037.594,615102.9748,143429.5416,0,0,0,6939.236503,7626.613704,1915.689698,1047.177529,6851.02587,0,0,0,0,0,0,151578.9474,213333.3333,121263.1579,89824.5614,164210.5263
"P86",0,101052.6316,229665.0718,14970.76023,0,0,0,0,0,0,0,0,4254.847645,0,0,0,0,3425.512935,0,0,0,0,0,0,0,0,0,0,0
