"","XH02","QDH03","QDH04","QDH05","HJ01","HJ02","HJ03","HJ04","HJ05","HJ06","NX04","NX05","XFJ01","XFJ02","XFJ03","XFJ04","XFJ05","XFJ06","LXH01","LXH02","LXH03","LXH04","LXH05","LXH06","GZ01","GZ02","GZ03","GZ04","GZ06"
"Z47",0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z52",0,0.333333333,0.111111111,0.222222222,0.074074074,0.111111111,0.074074074,0.592592593,0.037037037,0,7.851851852,1.62962963,2.481481481,3.259259259,2.962962963,1.333333333,2.666666667,2.666666667,0.888888889,2.222222222,1.259259259,1.703703704,1.703703704,1.333333333,24.14814815,16.88888889,7.851851852,8.592592593,14.51851852
"Z53",11.66666667,0,0,0,0.074074074,0.185185185,0.074074074,0,0,0,0,0.148148148,0,0.148148148,0,0,0,0,10.81481481,10.74074074,3.888888889,6.296296296,4.740740741,4.444444444,0.888888889,0,0.444444444,0.592592593,1.62962963
"Z54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.148148148,3.703703704,3.703703704,3.851851852,5.777777778
"Z55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z58",0,0.333333333,0.185185185,0.148148148,0,0.222222222,0.185185185,0.407407407,0.111111111,0.296296296,0,0,0.148148148,0.296296296,0,0.592592593,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0
"Z61",2.592592593,0.333333333,1.444444444,0.666666667,3.111111111,2.777777778,3.407407407,2.074074074,2.222222222,2.703703704,1.851851852,1.481481481,1.148148148,0.444444444,0.888888889,0.592592593,1.185185185,1.777777778,0.296296296,0.222222222,0.259259259,0.333333333,0.62962963,0.777777778,2.518518519,2.518518519,0.888888889,2.222222222,1.925925926
"Z63",1.851851852,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z64",0,0,0,0,0,0,0,0,0.037037037,0,0,0,0.185185185,0.148148148,0,0.296296296,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0
"Z67",2.592592593,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0.148148148,0.148148148,0.037037037,0.222222222,0.555555556,0.037037037,8,2.814814815,1.62962963,1.777777778,2.518518519
"Z68",0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0.444444444,0,0,0,0,0,0,0,0.296296296,0,0.296296296,0
