"","XH02","QDH03","QDH04","QDH05","HJ01","HJ02","HJ03","HJ04","HJ05","HJ06","NX04","NX05","XFJ01","XFJ02","XFJ03","XFJ04","XFJ05","XFJ06","LXH01","LXH02","LXH03","LXH04","LXH05","LXH06","GZ01","GZ02","GZ03","GZ04","GZ06"
"Z73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0.740740741,0,0,0,0,0,0,0,0,0,0.148148148,0,0
"Z76",0,1.444444444,0.962962963,1.518518519,2.074074074,4.444444444,0.296296296,1.777777778,1.481481481,0.888888889,2.222222222,3.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z77",6.851851852,0,0,0,0,0,0,0,0,0.407407407,0,0,2.814814815,3.555555556,2.962962963,1.62962963,5.037037037,2.222222222,4.888888889,3.777777778,0.925925926,0.296296296,0.592592593,2.888888889,2.666666667,6.518518519,5.481481481,10.22222222,9.925925926
"Z79",0.37037037,0.37037037,0.703703704,0.518518519,0,0,0,0.111111111,0,0,0.148148148,0.296296296,0.222222222,0,0,0,1.481481481,0,0,0,0,0,0,0,0.592592593,0.444444444,0.444444444,0.740740741,0.888888889
"Z80",6.666666667,6.222222222,4.148148148,8.185185185,4.888888889,8.814814815,7.444444444,3.555555556,2.37037037,3,14.96296296,15.03703704,5.62962963,8.592592593,11.7037037,2.962962963,5.925925926,14.07407407,13.33333333,16.59259259,7.518518519,14.07407407,15.48148148,10.03703704,15.11111111,14.96296296,16.74074074,22.96296296,14.66666667
"Z82",0,0.037037037,1.777777778,3,0,0,0.259259259,0,0.037037037,0.074074074,4.444444444,1.62962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z83",0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,1.037037037,0,0,1.037037037,1.481481481,1.481481481,1.925925926,1.592592593,2.185185185,3.740740741,0.740740741,0,0,0,0,0
"Z84",0,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0,3.148148148,2.518518519,2.666666667,1.481481481,0.444444444,1.333333333,1.62962963,4.296296296,1.185185185,2.074074074,0.888888889,0.555555556,0.888888889,1.777777778,2.37037037,2.814814815,1.62962963
"Z85",0,0,0,0.037037037,0,0,0,0,0,0,1.925925926,2.074074074,0,0,0.222222222,0.888888889,0.740740741,0.888888889,0,0,0,0,0,0,1.62962963,0.296296296,0.592592593,0.444444444,1.185185185
"Z86",0,0.481481481,0.518518519,0.888888889,0.296296296,0.333333333,0.222222222,0.296296296,0.407407407,0.407407407,0,0,0.407407407,1.481481481,0.740740741,1.925925926,1.037037037,2.074074074,0,0,0,0,0,0,4.444444444,3.111111111,1.481481481,4,3.703703704
"Z89",3.518518519,0.074074074,0.62962963,0,0,0,0,0,0.407407407,0.888888889,1.185185185,0.592592593,0,0,0,0,0.296296296,0,0.148148148,0,0,0,0,0,0.444444444,0.444444444,0,0,0
"Z91",0,0,0,0,0,0,0,0,0,0,0,0,4.259259259,2.074074074,2.074074074,0.296296296,0.296296296,4.444444444,2.37037037,1.481481481,2.222222222,4.074074074,1.62962963,0.296296296,2.962962963,7.111111111,3.703703704,7.555555556,8
"Z92",0,0,0,0.111111111,2.148148148,5.555555556,3.851851852,4.444444444,3.703703704,2.37037037,2.444444444,1.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
