"","XH02","QDH03","QDH04","QDH05","HJ01","HJ02","HJ03","HJ04","HJ05","HJ06","NX04","NX05","XFJ01","XFJ02","XFJ03","XFJ04","XFJ05","XFJ06","LXH01","LXH02","LXH03","LXH04","LXH05","LXH06","GZ01","GZ02","GZ03","GZ04","GZ06"
"C219",15546.5587,18947.36842,18373.20574,4990.253411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,12631.57895
"C221",0,12631.57895,0,0,9186.602871,24497.60766,23319.83806,17323.30827,26361.55606,45636.67233,0,0,0,0,0,0,0,0,0,2105.263158,0,0,7626.613704,2464.698331,12631.57895,0,0,0,12631.57895
"C223",0,0,0,0,0,0,0,0,0,0,93279.35223,43308.27068,1063.711911,0,0,0,5235.887647,6851.02587,0,2105.263158,3962.848297,6969.147005,3813.306852,2464.698331,25263.15789,101052.6316,53894.73684,33684.21053,50526.31579
"C225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962.848297,0,0,0,0,0,0,0,0
"C226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656842.1053,303157.8947,269473.6842,269473.6842,113684.2105
"C228",0,0,0,0,0,0,0,0,0,0,0,0,6382.271468,28624.35058,47666.33565,11494.13819,14660.48541,3425.512935,0,0,0,0,0,0,0,0,0,0,0
"C229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80145.19056,54736.84211,130773.9938,108021.7786,125839.1261,24646.98331,821052.6316,797192.9825,943157.8947,785964.9123,871578.9474
"C233",0,341052.6316,183732.0574,79844.05458,110239.2344,79617.22488,85506.07287,17323.30827,87871.85355,32597.62309,77732.79352,230977.4436,69141.27424,55513.89203,28599.80139,8620.603642,9424.597764,27404.10348,94083.48457,58947.36842,122848.2972,135898.3666,118212.5124,19717.58665,277894.7368,112280.7018,269473.6842,145964.9123,202105.2632
"C234",51821.86235,0,0,0,0,0,0,0,0,6519.524618,0,0,1063.711911,0,0,0,0,0,0,2105.263158,0,0,0,0,0,0,0,0,0
"C237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12631.57895,0,0,0,0
"C238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17159.88083,34482.41457,0,0,0,0,0,0,0,0,101052.6316,224561.4035,148210.5263,224561.4035,126315.7895
"C245",0,0,0,0,0,0,0,0,26361.55606,0,31093.11741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0
"C246",5182.186235,0,0,4990.253411,22966.50718,42870.8134,450850.2024,282947.3684,166956.5217,515042.4448,0,0,0,2602.213689,0,0,0,0,0,0,3962.848297,3484.573503,3813.306852,0,37894.73684,78596.49123,282947.3684,89824.5614,164210.5263
"C248",0,0,0,0,0,24497.60766,62186.23482,121263.1579,70297.48284,19558.57385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C249",77732.79352,0,55119.61722,0,0,6124.401914,0,11548.87218,8787.185355,0,15546.5587,0,0,0,0,0,1047.177529,0,0,0,11888.54489,0,11439.92056,0,0,0,0,0,0
"C250",20728.74494,44210.52632,36746.41148,12475.63353,18373.20574,0,0,0,0,0,0,0,0,0,0,0,0,3425.512935,0,0,0,0,0,0,0,0,0,0,0
"C251",0,94736.84211,36746.41148,12475.63353,0,0,0,0,0,0,0,14436.09023,0,0,0,0,0,0,6969.147005,0,0,6969.147005,7626.613704,0,0,0,0,0,12631.57895
"C255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6969.147005,2105.263158,3962.848297,3484.573503,0,0,12631.57895,0,0,0,0
"C258",0,0,0,0,0,0,0,0,0,0,0,14436.09023,0,0,0,0,0,0,0,0,0,0,3813.306852,0,0,0,13473.68421,0,0
"C260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391578.9474,314385.9649,377263.1579,202105.2632,164210.5263
"C264",31093.11741,0,0,0,41339.71292,30622.00957,62186.23482,138586.4662,96659.0389,39117.14771,108825.9109,43308.27068,8509.695291,867.4045629,1906.653426,957.8448491,0,0,0,0,0,3484.573503,0,9858.793325,25263.15789,134736.8421,148210.5263,78596.49123,88421.05263
"C265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0
"C268",0,0,0,0,0,0,0,0,0,0,62186.23482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,157192.9825,363789.4737,258245.614,240000
