"","XH02","QDH03","QDH04","QDH05","HJ01","HJ02","HJ03","HJ04","HJ05","HJ06","NX04","NX05","XFJ01","XFJ02","XFJ03","XFJ04","XFJ05","XFJ06","LXH01","LXH02","LXH03","LXH04","LXH05","LXH06","GZ01","GZ02","GZ03","GZ04","GZ06"
"Z2",0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148
"Z5",0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0
"Z7",5.37037037,0,0,0,0.222222222,0.148148148,0.111111111,0.296296296,0.444444444,0.148148148,0.296296296,0.444444444,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0.296296296,0.148148148,0.148148148,0.148148148,0.148148148
"Z8",0,0,0,0,0,0,0.074074074,0,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62962963,4.296296296,4.148148148,5.62962963
"Z9",0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0.296296296,0,0.148148148,0,0,0,0.074074074,0.111111111,1.62962963,1.333333333,1.185185185,1.925925926,2.222222222
"Z11",0,0,0,0,0,0.074074074,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z16",0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z22",0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0.148148148,0,0,0.444444444,0,0,0,0,0.148148148,0,0,0.296296296,0,0,0.148148148,0
"Z26",0,0.037037037,0,0,0,0.074074074,0.185185185,0,0,0,1.333333333,1.185185185,0.296296296,0.592592593,0.888888889,0.740740741,0.296296296,0.148148148,0.444444444,0.37037037,0.185185185,0.037037037,0,0,0.740740741,0.592592593,0.296296296,0.740740741,0.592592593
"Z32",0,0,0,0,0,0.074074074,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z38",0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0.444444444,0.148148148,0
"Z39",4.62962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0.148148148,0,0,0,0,0.148148148,0.888888889,0.444444444,1.037037037,0.148148148
"Z40",0,0,0,0,0.740740741,2.037037037,1.962962963,0.555555556,0.444444444,0.259259259,0.37037037,0,0.111111111,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0
"Z41",0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z44",3.703703704,0,0,0,0.074074074,0.407407407,0.666666667,0.074074074,0.074074074,0.074074074,0,0.148148148,0.074074074,0.148148148,0.666666667,0.148148148,0.740740741,0.444444444,0,0.074074074,0.037037037,0,0,0,1.037037037,0,0,0.592592593,0
