,P1,P3,P4,P8,P9,P11,P14,P18,P22,P24,P25,P26,P29,P34,P35,P41,P47,P50,P51,P61,P65,P66,P67,P68,P69,P76,P78,P79,P81,P82,P85,P86,P87,P89,P90,P92,P94,P95,P96,P104,P106,P107,P109,P110,P111,P112,P113,P114,P115,P116,P118,P120,P121,P122,P128,P135,P136,P137,P138,P140,P142,P144,P149,P150,P151,P152,P153,P154,P155,P156,P158,P159,P162,P164,P165,P168,P173,P174,P175,P176,P177,P179,P184,P191,P192,P193,P195,P197,P200,P201,P205,P206,P207,P212,P214,P215,P216,P273,P275,P276,P277,P278,P281,P282,P283,P286,P287,P288,P299,P300,P303
XH02,23319.83806,0,0,10364.37247,0,23319.83806,0,2591.093117,0,0,0,0,12955.46559,0,20728.74494,5182.186235,36275.30364,33684.21053,49230.76923,126963.5628,0,10364.37247,36275.30364,0,0,0,0,0,427530.3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15546.5587,0,0,0,0,0,0,0,0,2591.093117,0,20728.74494,0,2591.093117,0,2591.093117,2591.093117,0,0,0,0,0,0,28502.02429,0,0,0,12955.46559,5182.186235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591.093117,0,5182.186235,41457.48988,0,0,0,0,0,0,0,0,0,15546.5587,7773.279352,10364.37247,0,0,0
QDH03,0,0,0,18947.36842,0,18947.36842,6315.789474,0,0,0,12631.57895,0,0,0,0,138947.3684,0,0,0,0,0,6315.789474,0,0,0,0,0,0,505263.1579,0,0,101052.6316,0,0,0,0,0,25263.15789,0,0,0,6315.789474,12631.57895,0,0,0,0,0,0,0,0,0,6315.789474,6315.789474,0,0,44210.52632,0,18947.36842,1136842.105,0,0,0,0,0,0,0,296842.1053,0,0,0,0,0,0,0,0,0,0,0,0,0,6315.789474,0,0,37894.73684,6315.789474,0,0,0,0,0,0,0,0,0,151578.9474,82105.26316,0,0,0,6315.789474,0,0,0,0,12631.57895,0,0,0,0,0
QDH04,0,0,0,36746.41148,0,0,0,0,0,0,36746.41148,0,0,0,0,55119.61722,0,0,0,27559.80861,0,0,0,0,0,0,0,0,312344.4976,0,0,229665.0718,0,0,0,0,0,18373.20574,9186.602871,0,27559.80861,0,9186.602871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269090.909,0,0,27559.80861,73492.82297,0,0,0,45933.01435,450143.5407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36746.41148,0,0,0,18373.20574,0,0,0,0,0,0,560382.7751,55119.61722,0,0,0,27559.80861,0,0,0,0,9186.602871,0,0,0,0,0
QDH05,2495.126706,0,0,24951.26706,0,109785.575,0,9980.506823,0,0,9980.506823,0,0,0,7485.380117,7485.380117,0,0,0,2495.126706,0,0,54892.78752,0,0,0,0,0,479064.3275,0,0,14970.76023,0,0,0,0,0,4990.253411,0,0,29941.52047,4990.253411,0,0,0,7485.380117,0,0,4990.253411,0,0,0,9980.506823,0,0,0,19961.01365,0,0,114775.8285,0,0,12475.63353,7485.380117,0,0,0,2495.126706,7485.380117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19961.01365,2495.126706,0,0,4990.253411,0,0,0,0,0,0,112280.7018,32436.64717,0,0,0,7485.380117,0,0,0,4990.253411,2495.126706,0,0,0,0,0
HJ01,0,0,0,413397.1292,0,0,9186.602871,4593.301435,110239.2344,18373.20574,27559.80861,0,4593.301435,0,0,13779.90431,0,0,0,0,0,0,0,0,0,0,0,0,440956.9378,0,303157.8947,0,0,0,9186.602871,45933.01435,0,0,101052.6316,0,0,0,0,0,0,4593.301435,0,0,0,0,0,4593.301435,0,50526.31579,0,0,0,41339.71292,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,179138.756,73492.82297,0,0,0,13779.90431,0,0,0,18373.20574,0,0,0,0,0,0,0,0,4593.301435,0,0,0,0,13779.90431,0,41339.71292,0,0,0,0,0,0
HJ02,0,0,0,808421.0526,0,12248.80383,6124.401914,30622.00957,12248.80383,0,67368.42105,0,0,0,0,0,189856.4593,0,0,24497.60766,0,0,0,0,0,0,0,0,391961.7225,0,232727.2727,0,0,0,24497.60766,18373.20574,0,0,67368.42105,0,0,18373.20574,0,0,0,0,0,0,0,0,0,0,0,55119.61722,0,0,0,24497.60766,24497.60766,0,0,0,0,18373.20574,0,0,0,0,122488.0383,0,0,0,0,0,0,0,0,0,0,385837.3206,159234.4498,0,0,0,73492.82297,0,0,0,18373.20574,0,0,0,0,0,0,0,0,0,0,0,30622.00957,0,0,0,42870.8134,0,0,0,0,0,0
HJ03,0,0,0,715141.7004,0,7773.279352,0,0,209878.5425,0,62186.23482,0,0,0,7773.279352,0,171012.1457,0,0,0,0,0,0,0,0,0,0,0,559676.1134,0,380890.6883,0,0,0,23319.83806,15546.5587,0,0,108825.9109,0,0,23319.83806,7773.279352,0,0,0,0,0,0,0,0,0,0,69959.51417,15546.5587,0,0,0,23319.83806,0,0,0,0,0,0,0,0,7773.279352,194331.9838,0,0,0,0,0,0,0,0,0,0,396437.247,139919.0283,0,0,0,38866.39676,0,0,0,15546.5587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7773.279352,0,0,0,0,0,0
HJ04,0,0,0,646736.8421,0,127037.594,0,11548.87218,150135.3383,0,57744.3609,0,17323.30827,0,11548.87218,0,57744.3609,0,0,0,0,5774.43609,0,0,0,0,0,0,282947.3684,0,127037.594,0,0,0,17323.30827,17323.30827,0,0,167458.6466,0,0,17323.30827,5774.43609,0,5774.43609,0,0,0,0,0,0,0,0,34646.61654,0,0,0,0,51969.92481,0,0,5774.43609,11548.87218,0,0,0,0,0,173233.0827,0,0,0,5774.43609,0,0,0,0,0,0,381112.782,138586.4662,0,0,0,28872.18045,0,0,0,11548.87218,0,0,0,0,0,0,0,0,5774.43609,0,0,0,0,0,0,23097.74436,0,0,0,0,0,0
HJ05,0,0,0,913867.2769,0,79084.66819,0,0,96659.0389,0,105446.2243,0,0,0,0,0,307551.4874,0,0,0,0,0,0,0,0,0,0,0,369061.7849,0,615102.9748,0,0,0,52723.11213,17574.37071,0,0,105446.2243,0,0,43935.92677,0,17574.37071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43935.92677,0,0,0,0,0,0,0,0,0,272402.746,0,0,0,0,0,0,0,0,0,0,465720.8238,254828.3753,0,0,0,61510.29748,0,0,0,43935.92677,0,0,0,8787.185355,0,0,0,0,0,0,0,43935.92677,0,0,0,43935.92677,0,0,0,0,8787.185355,0
HJ06,0,0,0,488964.3463,13039.04924,26078.09847,0,13039.04924,97792.86927,13039.04924,78234.29542,0,0,0,0,0,332495.7555,0,0,0,0,0,0,0,0,0,0,0,384651.9525,0,143429.5416,0,0,0,26078.09847,6519.524618,0,0,78234.29542,0,0,0,0,58675.72156,6519.524618,0,0,0,0,0,0,0,0,52156.19694,0,0,0,0,71714.7708,0,0,0,6519.524618,0,0,0,0,0,176027.1647,0,0,0,6519.524618,0,6519.524618,0,0,0,0,332495.7555,110831.9185,0,0,0,78234.29542,0,0,0,6519.524618,0,0,0,0,0,0,0,0,0,0,0,6519.524618,0,0,0,52156.19694,26078.09847,0,0,0,0,0
