,Z47,Z52,Z53,Z54,Z55,Z58,Z61,Z63,Z64,Z67,Z68
XH02,0.185185185,0,11.66666667,0,0,0,2.592592593,1.851851852,0,2.592592593,0
QDH03,0,0.333333333,0,0,0,0.333333333,0.333333333,0.037037037,0,0,0
QDH04,0,0.111111111,0,0,0,0.185185185,1.444444444,0,0,0,0.111111111
QDH05,0,0.222222222,0,0,0,0.148148148,0.666666667,0,0,0,0
HJ01,0,0.074074074,0.074074074,0,0,0,3.111111111,0,0,0.148148148,0
HJ02,0,0.111111111,0.185185185,0,0,0.222222222,2.777777778,0,0,0,0
HJ03,0,0.074074074,0.074074074,0,0,0.185185185,3.407407407,0,0,0,0
HJ04,0,0.592592593,0,0,0,0.407407407,2.074074074,0,0,0,0
HJ05,0,0.037037037,0,0,0,0.111111111,2.222222222,0,0.037037037,0,0
HJ06,0,0,0,0,0,0.296296296,2.703703704,0,0,0,0
NX04,0,7.851851852,0,0,0,0,1.851851852,0,0,0,0
NX05,0,1.62962963,0.148148148,0,0,0,1.481481481,0,0,0,0
XFJ01,0,2.481481481,0,0,0,0.148148148,1.148148148,0,0.185185185,0,0
XFJ02,0,3.259259259,0.148148148,0,0,0.296296296,0.444444444,0,0.148148148,0.148148148,0.148148148
XFJ03,0,2.962962963,0,0,0.074074074,0,0.888888889,0,0,0,0
XFJ04,0,1.333333333,0,0,0.888888889,0.592592593,0.592592593,0,0.296296296,0,0
XFJ05,0,2.666666667,0,0,0,1.333333333,1.185185185,0,0.074074074,0,0
XFJ06,0,2.666666667,0,0,0,0,1.777777778,0,0,0,0.444444444
LXH01,0,0.888888889,10.81481481,0,0,0,0.296296296,0,0,0.148148148,0
LXH02,0,2.222222222,10.74074074,0,0,0,0.222222222,0,0,0.148148148,0
LXH03,0,1.259259259,3.888888889,0,0,0,0.259259259,0,0,0.037037037,0
LXH04,0,1.703703704,6.296296296,0,0,0,0.333333333,0,0,0.222222222,0
LXH05,0,1.703703704,4.740740741,0,0,0,0.62962963,0,0,0.555555556,0
LXH06,0,1.333333333,4.444444444,0,0,0,0.777777778,0,0,0.037037037,0
GZ01,0,24.14814815,0.888888889,8.148148148,0,0,2.518518519,0,0,8,0
GZ02,0,16.88888889,0,3.703703704,0,0,2.518518519,0,0,2.814814815,0.296296296
GZ03,0,7.851851852,0.444444444,3.703703704,0,0,0.888888889,0,0,1.62962963,0
GZ04,0,8.592592593,0.592592593,3.851851852,0,0,2.222222222,0,0,1.777777778,0.296296296
GZ06,0,14.51851852,1.62962963,5.777777778,0,0,1.925925926,0,0,2.518518519,0
