,taxa,class
1,P1,Algae
2,P3,Algae
3,P4,Algae
4,P8,Algae
5,P9,Algae
6,P11,Algae
7,P14,Algae
8,P18,Algae
9,P22,Algae
10,P24,Algae
11,P25,Algae
12,P26,Algae
13,P29,Algae
14,P34,Algae
15,P35,Algae
16,P41,Algae
17,P47,Algae
18,P50,Algae
19,P51,Algae
20,P61,Algae
21,P65,Algae
22,P66,Algae
23,P67,Algae
24,P68,Algae
25,P69,Algae
26,P76,Algae
27,P78,Algae
28,P79,Algae
29,P81,Algae
30,P82,Algae
31,P85,Algae
32,P86,Algae
33,P87,Algae
34,P89,Algae
35,P90,Algae
36,P92,Algae
37,P94,Algae
38,P95,Algae
39,P96,Algae
40,P104,Algae
41,P106,Algae
42,P107,Algae
43,P109,Algae
44,P110,Algae
45,P111,Algae
46,P112,Algae
47,P113,Algae
48,P114,Algae
49,P115,Algae
50,P116,Algae
51,P118,Algae
52,P120,Algae
53,P121,Algae
54,P122,Algae
55,P128,Algae
56,P135,Algae
57,P136,Algae
58,P137,Algae
59,P138,Algae
60,P140,Algae
61,P142,Algae
62,P144,Algae
63,P149,Algae
64,P150,Algae
65,P151,Algae
66,P152,Algae
67,P153,Algae
68,P154,Algae
69,P155,Algae
70,P156,Algae
71,P158,Algae
72,P159,Algae
73,P162,Algae
74,P164,Algae
75,P165,Algae
76,P168,Algae
77,P173,Algae
78,P174,Algae
79,P175,Algae
80,P176,Algae
81,P177,Algae
82,P179,Algae
83,P184,Algae
84,P191,Algae
85,P192,Algae
86,P193,Algae
87,P195,Algae
88,P197,Algae
89,P200,Algae
90,P201,Algae
91,P205,Algae
92,P206,Algae
93,P207,Algae
94,P212,Algae
95,P214,Algae
96,P215,Algae
97,P216,Algae
98,P273,Algae
99,P275,Algae
100,P276,Algae
101,P277,Algae
102,P278,Algae
103,P281,Algae
104,P282,Algae
105,P283,Algae
106,P286,Algae
107,P287,Algae
108,P288,Algae
109,P299,Algae
110,P300,Algae
111,P303,Algae
112,C219,Cyanobacteria
113,C221,Cyanobacteria
114,C223,Cyanobacteria
115,C225,Cyanobacteria
116,C226,Cyanobacteria
117,C228,Cyanobacteria
118,C229,Cyanobacteria
119,C233,Cyanobacteria
120,C234,Cyanobacteria
121,C237,Cyanobacteria
122,C238,Cyanobacteria
123,C245,Cyanobacteria
124,C246,Cyanobacteria
125,C248,Cyanobacteria
126,C249,Cyanobacteria
127,C250,Cyanobacteria
128,C251,Cyanobacteria
129,C255,Cyanobacteria
130,C258,Cyanobacteria
131,C260,Cyanobacteria
132,C264,Cyanobacteria
133,C265,Cyanobacteria
134,C268,Cyanobacteria
135,C269,Cyanobacteria
136,Z2,Rotifer
137,Z5,Rotifer
138,Z7,Rotifer
139,Z8,Rotifer
140,Z9,Rotifer
141,Z11,Rotifer
142,Z16,Rotifer
143,Z22,Rotifer
144,Z26,Rotifer
145,Z32,Rotifer
146,Z38,Rotifer
147,Z39,Rotifer
148,Z40,Rotifer
149,Z41,Rotifer
150,Z44,Rotifer
151,Z47,Cladocera
152,Z52,Cladocera
153,Z53,Cladocera
154,Z54,Cladocera
155,Z55,Cladocera
156,Z58,Cladocera
157,Z61,Cladocera
158,Z63,Cladocera
159,Z64,Cladocera
160,Z67,Cladocera
161,Z68,Cladocera
162,Z73,Copepod
163,Z76,Copepod
164,Z77,Copepod
165,Z79,Copepod
166,Z80,Copepod
167,Z82,Copepod
168,Z83,Copepod
169,Z84,Copepod
170,Z85,Copepod
171,Z86,Copepod
172,Z89,Copepod
173,Z91,Copepod
174,Z92,Copepod
