,Z73,Z76,Z77,Z79,Z80,Z82,Z83,Z84,Z85,Z86,Z89,Z91,Z92
XH02,0,0,6.851851852,0.37037037,6.666666667,0,0,0,0,0,3.518518519,0,0
QDH03,0,1.444444444,0,0.37037037,6.222222222,0.037037037,0,0.222222222,0,0.481481481,0.074074074,0,0
QDH04,0,0.962962963,0,0.703703704,4.148148148,1.777777778,0,0,0,0.518518519,0.62962963,0,0
QDH05,0,1.518518519,0,0.518518519,8.185185185,3,0,0.222222222,0.037037037,0.888888889,0,0,0.111111111
HJ01,0,2.074074074,0,0,4.888888889,0,0,0,0,0.296296296,0,0,2.148148148
HJ02,0,4.444444444,0,0,8.814814815,0,0,0,0,0.333333333,0,0,5.555555556
HJ03,0,0.296296296,0,0,7.444444444,0.259259259,0,0,0,0.222222222,0,0,3.851851852
HJ04,0,1.777777778,0,0.111111111,3.555555556,0,0,0,0,0.296296296,0,0,4.444444444
HJ05,0,1.481481481,0,0,2.37037037,0.037037037,0,0,0,0.407407407,0.407407407,0,3.703703704
HJ06,0,0.888888889,0.407407407,0,3,0.074074074,0,0,0,0.407407407,0.888888889,0,2.37037037
NX04,0,2.222222222,0,0.148148148,14.96296296,4.444444444,0,0,1.925925926,0,1.185185185,0,2.444444444
NX05,0,3.851851852,0,0.296296296,15.03703704,1.62962963,0,0,2.074074074,0,0.592592593,0,1.037037037
XFJ01,0,0,2.814814815,0.222222222,5.62962963,0,0.111111111,3.148148148,0,0.407407407,0,4.259259259,0
XFJ02,0,0,3.555555556,0,8.592592593,0,1.037037037,2.518518519,0,1.481481481,0,2.074074074,0
XFJ03,0.296296296,0,2.962962963,0,11.7037037,0,0,2.666666667,0.222222222,0.740740741,0,2.074074074,0
XFJ04,0,0,1.62962963,0,2.962962963,0,0,1.481481481,0.888888889,1.925925926,0,0.296296296,0
XFJ05,0.740740741,0,5.037037037,1.481481481,5.925925926,0,1.037037037,0.444444444,0.740740741,1.037037037,0.296296296,0.296296296,0
XFJ06,0,0,2.222222222,0,14.07407407,0,1.481481481,1.333333333,0.888888889,2.074074074,0,4.444444444,0
LXH01,0,0,4.888888889,0,13.33333333,0,1.481481481,1.62962963,0,0,0.148148148,2.37037037,0
LXH02,0,0,3.777777778,0,16.59259259,0,1.925925926,4.296296296,0,0,0,1.481481481,0
LXH03,0,0,0.925925926,0,7.518518519,0,1.592592593,1.185185185,0,0,0,2.222222222,0
LXH04,0,0,0.296296296,0,14.07407407,0,2.185185185,2.074074074,0,0,0,4.074074074,0
LXH05,0,0,0.592592593,0,15.48148148,0,3.740740741,0.888888889,0,0,0,1.62962963,0
LXH06,0,0,2.888888889,0,10.03703704,0,0.740740741,0.555555556,0,0,0,0.296296296,0
GZ01,0,0,2.666666667,0.592592593,15.11111111,0,0,0.888888889,1.62962963,4.444444444,0.444444444,2.962962963,0
GZ02,0,0,6.518518519,0.444444444,14.96296296,0,0,1.777777778,0.296296296,3.111111111,0.444444444,7.111111111,0
GZ03,0.148148148,0,5.481481481,0.444444444,16.74074074,0,0,2.37037037,0.592592593,1.481481481,0,3.703703704,0
GZ04,0,0,10.22222222,0.740740741,22.96296296,0,0,2.814814815,0.444444444,4,0,7.555555556,0
GZ06,0,0,9.925925926,0.888888889,14.66666667,0,0,1.62962963,1.185185185,3.703703704,0,8,0
