,C219,C221,C223,C225,C226,C228,C229,C233,C234,C237,C238,C245,C246,C248,C249,C250,C251,C255,C258,C260,C264,C265,C268,C269
XH02,15546.5587,0,0,0,0,0,0,0,51821.86235,0,0,0,5182.186235,0,77732.79352,20728.74494,0,0,0,0,31093.11741,0,0,0
QDH03,18947.36842,12631.57895,0,0,0,0,0,341052.6316,0,0,0,0,0,0,0,44210.52632,94736.84211,0,0,0,0,0,0,0
QDH04,18373.20574,0,0,0,0,0,0,183732.0574,0,0,0,0,0,0,55119.61722,36746.41148,36746.41148,0,0,0,0,0,0,0
QDH05,4990.253411,0,0,0,0,0,0,79844.05458,0,0,0,0,4990.253411,0,0,12475.63353,12475.63353,0,0,0,0,0,0,0
HJ01,0,9186.602871,0,0,0,0,0,110239.2344,0,0,0,0,22966.50718,0,0,18373.20574,0,0,0,0,41339.71292,0,0,0
HJ02,0,24497.60766,0,0,0,0,0,79617.22488,0,0,0,0,42870.8134,24497.60766,6124.401914,0,0,0,0,0,30622.00957,0,0,0
HJ03,0,23319.83806,0,0,0,0,0,85506.07287,0,0,0,0,450850.2024,62186.23482,0,0,0,0,0,0,62186.23482,0,0,0
HJ04,0,17323.30827,0,0,0,0,0,17323.30827,0,0,0,0,282947.3684,121263.1579,11548.87218,0,0,0,0,0,138586.4662,0,0,0
HJ05,0,26361.55606,0,0,0,0,0,87871.85355,0,0,0,26361.55606,166956.5217,70297.48284,8787.185355,0,0,0,0,0,96659.0389,0,0,0
HJ06,0,45636.67233,0,0,0,0,0,32597.62309,6519.524618,0,0,0,515042.4448,19558.57385,0,0,0,0,0,0,39117.14771,0,0,0
NX04,0,0,93279.35223,0,0,0,0,77732.79352,0,0,0,31093.11741,0,0,15546.5587,0,0,0,0,0,108825.9109,0,62186.23482,0
NX05,0,0,43308.27068,0,0,0,0,230977.4436,0,0,0,0,0,0,0,0,14436.09023,0,14436.09023,0,43308.27068,0,0,0
XFJ01,0,0,1063.711911,0,0,6382.271468,0,69141.27424,1063.711911,0,0,0,0,0,0,0,0,0,0,0,8509.695291,0,0,0
XFJ02,0,0,0,0,0,28624.35058,0,55513.89203,0,0,0,0,2602.213689,0,0,0,0,0,0,0,867.4045629,0,0,0
XFJ03,0,0,0,0,0,47666.33565,0,28599.80139,0,0,17159.88083,0,0,0,0,0,0,0,0,0,1906.653426,0,0,0
XFJ04,0,0,0,0,0,11494.13819,0,8620.603642,0,0,34482.41457,0,0,0,0,0,0,0,0,0,957.8448491,0,0,0
XFJ05,0,0,5235.887647,0,0,14660.48541,0,9424.597764,0,0,0,0,0,0,1047.177529,0,0,0,0,0,0,0,0,0
XFJ06,0,0,6851.02587,0,0,3425.512935,0,27404.10348,0,0,0,0,0,0,0,3425.512935,0,0,0,0,0,0,0,0
LXH01,0,0,0,0,0,0,80145.19056,94083.48457,0,0,0,0,0,0,0,0,6969.147005,6969.147005,0,0,0,0,0,0
LXH02,0,2105.263158,2105.263158,0,0,0,54736.84211,58947.36842,2105.263158,0,0,0,0,0,0,0,0,2105.263158,0,0,0,0,0,0
LXH03,0,0,3962.848297,3962.848297,0,0,130773.9938,122848.2972,0,0,0,0,3962.848297,0,11888.54489,0,0,3962.848297,0,0,0,0,0,0
LXH04,0,0,6969.147005,0,0,0,108021.7786,135898.3666,0,0,0,0,3484.573503,0,0,0,6969.147005,3484.573503,0,0,3484.573503,0,0,0
LXH05,0,7626.613704,3813.306852,0,0,0,125839.1261,118212.5124,0,0,0,0,3813.306852,0,11439.92056,0,7626.613704,0,3813.306852,0,0,0,0,0
LXH06,0,2464.698331,2464.698331,0,0,0,24646.98331,19717.58665,0,0,0,0,0,0,0,0,0,0,0,0,9858.793325,0,0,0
GZ01,0,12631.57895,25263.15789,0,656842.1053,0,821052.6316,277894.7368,0,12631.57895,101052.6316,0,37894.73684,0,0,0,0,12631.57895,0,391578.9474,25263.15789,0,0,101052.6316
GZ02,0,0,101052.6316,0,303157.8947,0,797192.9825,112280.7018,0,0,224561.4035,0,78596.49123,0,0,0,0,0,0,314385.9649,134736.8421,0,0,157192.9825
GZ03,0,0,53894.73684,0,269473.6842,0,943157.8947,269473.6842,0,0,148210.5263,13473.68421,282947.3684,0,0,0,0,0,13473.68421,377263.1579,148210.5263,13473.68421,0,363789.4737
GZ04,33684.21053,0,33684.21053,0,269473.6842,0,785964.9123,145964.9123,0,0,224561.4035,0,89824.5614,0,0,0,0,0,0,202105.2632,78596.49123,0,0,258245.614
GZ06,12631.57895,12631.57895,50526.31579,0,113684.2105,0,871578.9474,202105.2632,0,0,126315.7895,0,164210.5263,0,0,0,12631.57895,0,0,164210.5263,88421.05263,0,0,240000
