,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,1.284,0.032,0.769230769,0.75,1,0.666666667,0.4
2,1.212,0.028,0.8,0.571428571,0,0.857142857,0.4
3,1.171,0.028,0.681818182,0.571428571,1,0.8,0.666666667
4,0.76,0.028,0.837209302,0.571428571,0.5,0.4,0.857142857
5,0.688,0.024,0.80952381,0.666666667,0.8,0.666666667,0.857142857
6,0.709,0.028,0.789473684,0.75,0.8,0.666666667,0.857142857
7,0.699,0.028,0.739130435,0.666666667,0.5,0.8,0.666666667
8,0.719,0.028,0.810810811,0.666666667,0.5,0.857142857,0.666666667
9,0.76,0.024,0.808510638,0.666666667,0.666666667,0.666666667,0.4
10,1.274,0.02,0.787878788,0.8,0.888888889,0.666666667,0.4
11,1.304,0.024,0.787878788,0.888888889,0.75,0.5,0.4
12,1.632855,0.0316,0.816326531,0.75,0.8,0.857142857,0.4
13,1.550719,0.0316,0.884615385,0.666666667,0.8,0.571428571,0.666666667
14,1.560986,0.0276828,0.905660377,0.857142857,0.5,0.8,0.666666667
15,1.622588,0.0316,0.905660377,0.857142857,0.8,0.888888889,0.666666667
16,1.58152,0.0316,0.925925926,0.857142857,0.75,0.857142857,0
17,1.653389,0.0316,0.833333333,0.857142857,0.666666667,0.8,0.666666667
18,0.955233,0.0276828,0.862745098,1,0.666666667,0.4,0.4
19,1.078437,0.0198484,0.8,0.909090909,0.5,0.4,0.666666667
20,1.314578,0.0316,0.816326531,0.8,0.666666667,0.4,0.666666667
21,1.27351,0.0316,0.791666667,0.8,1,0.4,0.666666667
22,1.160573,0.0316,0.816326531,0.8,1,0.4,0.666666667
23,1.263243,0.0316,0.761904762,0.888888889,1,0.4,0.666666667
24,1.417,0.028,0.88372093,0.8,0.666666667,0.571428571,0
25,1.551,0.024,0.88372093,0.8,0.75,0.75,0
26,1.489,0.02,0.905660377,0.8,0.8,0.571428571,0.4
27,1.489,0.02,0.905660377,0.666666667,0.666666667,0.571428571,0.4
28,1.284,0.024,0.923076923,0.666666667,0.666666667,0.571428571,0.4
29,0.072,0.004,0.5,0.333333333,0,0.4,0
30,0.113,0.004,0.4,0.333333333,1,0,0.25
31,0.524,0.004,0.829268293,0.571428571,1,0.666666667,0.4
32,0.596,0.008,0.736842105,0.75,0.666666667,0.4,0.4
33,0.575,0.004,0.722222222,0.75,0.666666667,0.4,0.333333333
34,0.585,0.004,0.736842105,0.75,1,0,0.333333333
35,0.565,0.004,0.777777778,0.75,1,0.4,0.285714286
36,0.524,0.008,0.769230769,0.75,1,0,0.444444444
37,0.01,0.012,0.787878788,0.888888889,0.666666667,0,0.444444444
38,0.02,0.008,0.75,0.75,0.666666667,0.5,0.444444444
39,0.348855,0.0004,0.666666667,0.888888889,0.666666667,0.4,0.6
40,0.266719,0.0004,0.702702703,0.857142857,0.666666667,0.4,0.666666667
41,0.276986,0.0043172,0.736842105,0.857142857,0.666666667,0.5,0.727272727
42,0.338588,0.0004,0.769230769,0.857142857,0,0.4,0.666666667
43,0.29752,0.0004,0.829268293,0.857142857,0,0.4,0.444444444
44,0.369389,0.0004,0.8,0.666666667,0.666666667,0.5,0.727272727
45,0.328767,0.0043172,0.702702703,0.666666667,0,0.666666667,0.666666667
46,0.205563,0.0121516,0.88372093,0.75,0.666666667,0.666666667,0.75
47,0.030578,0.0004,0.829268293,0.888888889,0.666666667,0.666666667,0.75
48,0.01049,0.0004,0.769230769,0.75,0.666666667,0.666666667,0.75
49,0.123427,0.0004,0.8,0.571428571,0.666666667,0.666666667,0.75
50,0.020757,0.0004,0.769230769,0.75,0.666666667,0.666666667,0.75
51,0.133,0.004,0.769230769,0.75,0,0.666666667,0.444444444
52,0.267,0.008,0.8,0.888888889,0,0.666666667,0.444444444
53,0.205,0.012,0.736842105,0.888888889,0,0.666666667,0.6
54,0.205,0.012,0.829268293,0.75,0,0.666666667,0.6
55,0,0.008,0.8,0.333333333,0,0.666666667,0.6
56,0.041,0,0.173913043,0.333333333,0,0,0.285714286
57,0.452,0,0.764705882,0.75,0,0.666666667,0.4
58,0.524,0.004,0.6875,0.75,0,0.4,0.4
59,0.503,0,0.727272727,0.888888889,0,0.4,0.333333333
60,0.513,0,0.727272727,0.75,0,0,0.333333333
61,0.493,0,0.764705882,0.75,0,0.4,0.285714286
62,0.452,0.004,0.6875,0.888888889,0,0,0.285714286
63,0.062,0.008,0.75,0.75,0,0,0.285714286
64,0.092,0.004,0.709677419,0.75,0,0.5,0.285714286
65,0.420855,0.0036,0.64516129,0.888888889,0,0.4,0.666666667
66,0.338719,0.0036,0.764705882,0.857142857,0,0,0.8
67,0.348986,0.0003172,0.764705882,0.857142857,0,0.5,0.8
68,0.410588,0.0036,0.764705882,0.857142857,0,0.4,0.8
69,0.36952,0.0036,0.833333333,0.666666667,0,0.4,0.5
70,0.441389,0.0036,0.764705882,0.666666667,0,0,0.8
71,0.256767,0.0003172,0.833333333,0.666666667,0,0.666666667,0.8
72,0.133563,0.0081516,0.894736842,0.888888889,0,0.666666667,0.888888889
73,0.102578,0.0036,0.833333333,0.75,0,0.666666667,0.888888889
74,0.06151,0.0036,0.764705882,0.75,0,0.666666667,0.888888889
75,0.051427,0.0036,0.727272727,0.571428571,0,0.666666667,0.888888889
76,0.051243,0.0036,0.764705882,0.888888889,0,0.666666667,0.888888889
77,0.205,0,0.833333333,0.888888889,0,0.666666667,0.5
78,0.339,0.004,0.833333333,0.888888889,0,0.4,0.5
79,0.277,0.008,0.833333333,0.888888889,0,0.666666667,0.666666667
80,0.277,0.008,0.894736842,0.75,0,0.4,0.666666667
81,0.072,0.004,0.833333333,0.571428571,0,0.666666667,0.666666667
82,0.411,0,0.75,0.571428571,1,0.5,0
83,0.483,0.004,0.648648649,0.75,1,0,0
84,0.462,0,0.685714286,0.75,1,0,0
85,0.472,0,0.739130435,0.75,1,0,0
86,0.452,0,0.705882353,0.75,1,0,0.285714286
87,0.411,0.004,0.727272727,0.75,1,0,0.444444444
88,0.103,0.008,0.620689655,0.888888889,1,0,0.25
89,0.133,0.004,0.620689655,0.75,1,0.5,0.25
90,0.461855,0.0036,0.708333333,0.888888889,1,0,0.6
91,0.379719,0.0036,0.76,0.666666667,1,0,0.666666667
92,0.389986,0.0003172,0.76,0.857142857,1,0.5,0.6
93,0.451588,0.0036,0.76,0.857142857,1,0,0.5
94,0.41052,0.0036,0.784313725,0.857142857,1,0,0.545454545
95,0.482389,0.0036,0.666666667,0.666666667,1,0.5,0.6
96,0.215767,0.0003172,0.75,0.666666667,1,0.5,0.8
97,0.092563,0.0081516,0.769230769,0.888888889,1,0.5,0.75
98,0.143578,0.0036,0.784313725,0.75,1,0.5,0.75
99,0.10251,0.0036,0.695652174,0.571428571,1,0.5,0.75
100,0.010427,0.0036,0.75,0.571428571,1,0.5,0.75
101,0.092243,0.0036,0.7,0.888888889,1,0.5,0.75
102,0.246,0,0.736842105,0.75,1,0.5,0.545454545
103,0.38,0.004,0.736842105,0.75,1,0.5,0.545454545
104,0.318,0.008,0.807692308,0.75,1,0.5,0.545454545
105,0.318,0.008,0.84,0.571428571,1,0.5,0.444444444
106,0.113,0.004,0.808510638,0.333333333,1,0.5,0.444444444
107,0.072,0.004,0.4375,0.333333333,0,0.4,0
108,0.051,0,0.516129032,0.333333333,0,0.4,0
109,0.061,0,0.4375,0.333333333,0,0.5,0
110,0.041,0,0.533333333,0.333333333,0,0.666666667,0
111,0,0.004,0.484848485,0.333333333,0,0.666666667,0
112,0.514,0.008,0.709677419,0.75,0.5,0,0.4
113,0.544,0.004,0.620689655,0.75,0.5,0,0.4
114,0.872855,0.0036,0.75,0.75,0.5,0.666666667,0.666666667
115,0.790719,0.0036,0.780487805,0.4,0.8,0,0.666666667
116,0.800986,0.0003172,0.80952381,0.666666667,0.8,0.5,0.666666667
117,0.862588,0.0036,0.75,0.666666667,0.8,0.666666667,0.666666667
118,0.82152,0.0036,0.75,0.857142857,0.5,0.666666667,0.666666667
119,0.893389,0.0036,0.717948718,0.666666667,0.666666667,0.5,0.666666667
120,0.195233,0.0003172,0.80952381,0.857142857,1,0,0.857142857
121,0.318437,0.0081516,0.8,0.75,0.8,0,0.857142857
122,0.554578,0.0036,0.75,0.75,0.666666667,0,0.857142857
123,0.51351,0.0036,0.80952381,0.571428571,1,0,0.857142857
124,0.400573,0.0036,0.780487805,0.571428571,0.666666667,0,0.857142857
125,0.503243,0.0036,0.863636364,0.571428571,1,0,0.857142857
126,0.657,0,0.8,0.333333333,0.5,0,0.666666667
127,0.791,0.004,0.829268293,0.571428571,0.8,0.4,0.666666667
128,0.729,0.008,0.837209302,0.571428571,0.8,0,0.666666667
129,0.729,0.008,0.837209302,0.571428571,0.5,0,0.666666667
130,0.524,0.004,0.837209302,0.333333333,0.8,0,0.666666667
131,0.021,0.004,0.296296296,0,0.5,0,0
132,0.011,0.004,0.333333333,0,0,0,0
133,0.031,0.004,0.24,0,0,0.4,0
134,0.072,0,0.333333333,0.285714286,0.4,0,0
135,0.586,0.004,0.571428571,0.666666667,0.333333333,0,0.4
136,0.616,0,0.518518519,0.75,0.333333333,0,0.4
137,0.944855,0.0076,0.717948718,0.75,0,0.4,0.666666667
138,0.862719,0.0076,0.648648649,0.4,0.5,0,0.666666667
139,0.872986,0.0036828,0.684210526,0.666666667,0.5,0.5,0.666666667
140,0.934588,0.0076,0.684210526,0.666666667,0.5,0.4,0.666666667
141,0.89352,0.0076,0.684210526,0.666666667,0.571428571,0.4,0.666666667
142,0.965389,0.0076,0.75,0.857142857,0,0.5,0.666666667
143,0.267233,0.0036828,0.717948718,0.857142857,0.857142857,0.4,0.857142857
144,0.390437,0.0041516,0.8,0.8,0.5,0.4,0.857142857
145,0.626578,0.0076,0.780487805,0.666666667,0,0.4,0.857142857
146,0.58551,0.0076,0.780487805,0.666666667,0.666666667,0.4,0.857142857
147,0.472573,0.0076,0.717948718,0.5,0.666666667,0.4,0.857142857
148,0.575243,0.0076,0.80952381,0.571428571,1,0.4,0.857142857
149,0.729,0.004,0.736842105,0.5,0.666666667,0.4,0.666666667
150,0.863,0,0.769230769,0.666666667,0.75,0.666666667,0.666666667
151,0.801,0.004,0.780487805,0.666666667,0.8,0.4,0.666666667
152,0.801,0.004,0.80952381,0.666666667,0.666666667,0.4,0.666666667
153,0.596,0,0.780487805,0.5,0.8,0.4,0.666666667
154,0.01,0,0.16,0,0,0,0.333333333
155,0.01,0,0.307692308,0,0,0.4,0
156,0.051,0.004,0.357142857,0,0,0,0
157,0.565,0.008,0.709677419,0.75,0.333333333,0,0.333333333
158,0.595,0.004,0.666666667,0.75,0.571428571,0,0.333333333
159,0.923855,0.0036,0.789473684,0.75,0,0.4,0.75
160,0.841719,0.0036,0.685714286,0.4,0,0,0.75
161,0.851986,0.0003172,0.789473684,0.666666667,0.5,0.5,0.75
162,0.913588,0.0036,0.685714286,0.666666667,0.5,0.4,0.75
163,0.87252,0.0036,0.685714286,0.857142857,0.333333333,0.4,0.75
164,0.944389,0.0036,0.789473684,0.857142857,0,0.5,0.75
165,0.246233,0.0003172,0.685714286,0.857142857,0.857142857,0.4,0.888888889
166,0.369437,0.0081516,0.820512821,0.75,0.5,0.4,0.888888889
167,0.605578,0.0036,0.722222222,0.75,0,0.4,0.888888889
168,0.56451,0.0036,0.756756757,0.571428571,0,0.4,0.888888889
169,0.451573,0.0036,0.685714286,0.571428571,0.666666667,0.4,0.888888889
170,0.554243,0.0036,0.789473684,0.571428571,1,0.4,0.888888889
171,0.708,0,0.756756757,0.333333333,0.5,0.4,0.75
172,0.842,0.004,0.685714286,0.571428571,0.571428571,0.666666667,0.75
173,0.78,0.008,0.685714286,0.571428571,0.666666667,0.4,0.75
174,0.78,0.008,0.756756757,0.571428571,0.285714286,0.4,0.75
175,0.575,0.004,0.756756757,0.333333333,0.666666667,0.4,0.75
176,0.02,0,0.307692308,0,0,0,0.333333333
177,0.061,0.004,0.352941176,0.285714286,0,0,0.333333333
178,0.575,0.008,0.666666667,0.666666667,0.5,0,0.333333333
179,0.605,0.004,0.620689655,0.75,0.5,0.5,0.333333333
180,0.933855,0.0036,0.816326531,0.75,0.5,0,0.571428571
181,0.851719,0.0036,0.739130435,0.4,0.8,0,0.75
182,0.861986,0.0003172,0.791666667,0.666666667,0.8,0.5,0.75
183,0.923588,0.0036,0.681818182,0.666666667,0.8,0,0.75
184,0.88252,0.0036,0.739130435,0.666666667,0.5,0,0.571428571
185,0.954389,0.0036,0.782608696,0.857142857,0.666666667,0.5,0.75
186,0.256233,0.0003172,0.765957447,0.857142857,1,0.5,0.888888889
187,0.379437,0.0081516,0.769230769,0.8,0.8,0.5,0.888888889
188,0.615578,0.0036,0.739130435,0.666666667,0.666666667,0.5,0.888888889
189,0.57451,0.0036,0.765957447,0.666666667,1,0.5,0.888888889
190,0.461573,0.0036,0.791666667,0.5,0.666666667,0.5,0.888888889
191,0.564243,0.0036,0.790697674,0.571428571,1,0.5,0.888888889
192,0.718,0,0.769230769,0.5,0.5,0.5,0.571428571
193,0.852,0.004,0.736842105,0.666666667,0.8,0.5,0.571428571
194,0.79,0.008,0.791666667,0.666666667,0.8,0.5,0.571428571
195,0.79,0.008,0.816326531,0.666666667,0.5,0.5,0.571428571
196,0.585,0.004,0.808510638,0.5,0.8,0.5,0.571428571
