,Z2,Z5,Z7,Z8,Z9,Z11,Z16,Z22,Z26,Z32,Z38,Z39,Z40,Z41,Z44
XH02,0.37037037,0.185185185,5.37037037,0,0,0,0.185185185,0,0,0,0,4.62962963,0,0,3.703703704
QDH03,0,0,0,0,0.074074074,0,0,0,0.037037037,0,0,0,0,0,0
QDH04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QDH05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0
HJ01,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0.740740741,0,0.074074074
HJ02,0,0,0.148148148,0,0,0.074074074,0,0,0.074074074,0.074074074,0,0,2.037037037,0,0.407407407
HJ03,0,0,0.111111111,0.074074074,0,0,0,0.074074074,0.185185185,0,0,0,1.962962963,0,0.666666667
HJ04,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0.555555556,0,0.074074074
HJ05,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0.444444444,0,0.074074074
HJ06,0,0,0.148148148,0.074074074,0,0,0,0,0,0,0,0,0.259259259,0,0.074074074
NX04,0,0,0.296296296,0.074074074,0,0.592592593,0,0,1.333333333,0,0,0,0.37037037,0,0
NX05,0,0,0.444444444,0,0,0,0,0,1.185185185,0.148148148,0.148148148,0,0,0,0.148148148
XFJ01,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0.111111111,0,0.074074074
XFJ02,0,0,0,0,0,0,0,0.148148148,0.592592593,0,0,0,0,0,0.148148148
XFJ03,0,0.148148148,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0.666666667
XFJ04,0,0,0,0,0.148148148,0,0,0,0.740740741,0,0,0,0,0,0.148148148
XFJ05,0,0,0.148148148,0,0.296296296,0,0,0.444444444,0.296296296,0,0,0,0,0,0.740740741
XFJ06,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0.444444444
LXH01,0,0.074074074,0,0,0.148148148,0,0,0,0.444444444,0,0,0.074074074,0,0,0
LXH02,0,0,0,0,0,0,0,0,0.37037037,0,0,0.148148148,0,0,0.074074074
LXH03,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0.037037037
LXH04,0,0,0,0,0,0,0,0.148148148,0.037037037,0,0,0,0,0,0
LXH05,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0.074074074,0,0
LXH06,0,0,0,0,0.111111111,0,0,0,0,0,0.074074074,0,0,0,0
GZ01,0,0,0.296296296,0,1.62962963,0,0,0.296296296,0.740740741,0,0,0.148148148,0,0,1.037037037
GZ02,0,0,0.148148148,1.62962963,1.333333333,0,0,0,0.592592593,0,0,0.888888889,0,0,0
GZ03,0,0,0.148148148,4.296296296,1.185185185,0,0,0,0.296296296,0,0.444444444,0.444444444,0,0,0
GZ04,0,0,0.148148148,4.148148148,1.925925926,0,0,0.148148148,0.740740741,0,0.148148148,1.037037037,0,0,0.592592593
GZ06,0.148148148,0,0.148148148,5.62962963,2.222222222,0,0,0,0.592592593,0,0,0.148148148,0,0,0
