"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"P1",50526.31579,0,0,0,0,0,0,0,0,13473.68421,269473.6842,0,0,0,0,10278496.24,15036631.58,12901052.63,10266947.37,5283609.023,0,269473.6842,349090.9091,620751.8797,0,0,0,0,1963308.271,1785263.158,2189473.684,1443609.023,2189473.684,449847.1986,1149473.684,1556210.526,2582456.14,1280000,1039398.496,0,0,0,50526.31579,40421.05263,67368.42105,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,57744.3609,0,0,0,707368.4211,202105.2632,303157.8947,85741.62679,34845.73503,31578.94737,138947.3684,188631.5789,127645.4294,36746.41148,58947.36842,42548.47645,50526.31579,134736.8421,0
"P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2194285.714,1482105.263,692932.3308,0,0,0,0,0,0,0,67368.42105,1185684.211,44912.2807,55119.61722,126315.7895,44912.2807,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373.20574,0,0,13473.68421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282947.3684,218947.3684,538947.3684,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373.20574,8421.052632,0,0,0,25263.15789
"P8",0,0,28872.18045,0,22456.14035,40421.05263,56140.35088,0,121263.1579,0,0,0,0,0,0,0,0,0,0,57744.3609,50526.31579,269473.6842,73492.82297,86616.54135,649624.0602,835368.4211,1010526.316,0,28872.18045,33684.21053,101052.6316,57744.3609,0,228183.3616,126315.7895,101052.6316,67368.42105,67368.42105,28872.18045,0,50526.31579,28872.18045,50526.31579,40421.05263,67368.42105,101052.6316,0,0,0,0,94315.78947,22456.14035,0,0,157192.9825,134736.8421,134736.8421,404210.5263,173233.0827,0,0,0,0,0,202105.2632,18373.20574,48784.02904,12631.57895,0,40421.05263,0,0,0,0,25263.15789,168421.0526,25263.15789
"P9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,0,0,0,0,0,0,0,33684.21053,0,28872.18045,0,0,12631.57895,0,0,0,0,0,0,0,0,0,0,50526.31579,151578.9474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P11",0,202105.2632,28872.18045,134736.8421,0,40421.05263,145964.9123,40421.05263,768000,0,0,14436.09023,0,60631.57895,33684.21053,0,161684.2105,0,121263.1579,490827.0677,75789.47368,168421.0526,55119.61722,14436.09023,1039398.496,768000,1330526.316,606315.7895,28872.18045,67368.42105,0,86616.54135,134736.8421,65195.24618,50526.31579,20210.52632,22456.14035,0,0,57744.3609,252631.5789,86616.54135,101052.6316,404210.5263,336842.1053,1010526.316,1162105.263,0,67368.42105,67368.42105,256000,0,0,0,44912.2807,0,0,0,317593.985,269473.6842,0,151578.9474,707368.4211,353684.2105,606315.7895,165358.8517,97568.05808,63157.89474,442105.2632,309894.7368,117008.3102,61244.01914,117894.7368,117008.3102,25263.15789,0,0
"P14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,40421.05263,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421.052632,0,0,0,0
"P18",0,0,28872.18045,0,0,0,0,0,0,13473.68421,0,14436.09023,0,0,33684.21053,0,0,33684.21053,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,28872.18045,0,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124.401914,0,0,0,0,0
"P24",0,0,0,0,0,0,0,0,0,0,0,57744.3609,1091368.421,262736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,36746.41148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P25",0,0,0,67368.42105,67368.42105,181894.7368,134736.8421,80842.10526,202105.2632,67368.42105,791578.9474,332030.0752,1414736.842,485052.6316,0,144360.9023,0,303157.8947,80842.10526,28872.18045,0,0,0,0,14436.09023,0,0,0,0,33684.21053,33684.21053,0,0,13039.04924,63157.89474,20210.52632,89824.5614,0,115488.7218,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159234.4498,466932.8494,941052.6316,0,0,0,0,0,0,0,0,0
"P26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12631.57895,20210.52632,22456.14035,33684.21053,0,0,16842.10526,0,0,80842.10526,67368.42105,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,115488.7218,471578.9474,0,151578.9474,50526.31579,202105.2632,50526.31579,6124.401914,0,0,12631.57895,0,0,12248.80383,0,0,0,0,0
"P29",0,0,28872.18045,0,0,0,0,0,0,0,0,0,20210.52632,0,0,0,0,0,80842.10526,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124.401914,0,0,0,0,0
"P34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,80842.10526,0,0,50526.31579,0,0,0,80842.10526,22456.14035,110239.2344,50526.31579,0,134736.8421,0,0,0,0,101052.6316,0,0,0,0,18373.20574,62722.32305,6315.789474,25263.15789,0,21274.23823,0,33684.21053,42548.47645,0,0,25263.15789
"P35",555789.4737,606315.7895,259849.6241,606315.7895,89824.5614,0,0,242526.3158,0,0,0,0,0,0,0,0,0,0,40421.05263,28872.18045,0,0,0,0,202105.2632,67368.42105,101052.6316,202105.2632,0,33684.21053,0,0,0,0,0,20210.52632,22456.14035,33684.21053,0,28872.18045,0,0,0,40421.05263,67368.42105,0,50526.31579,0,0,0,13473.68421,0,0,0,0,0,0,0,490827.0677,0,0,50526.31579,3941052.632,2122105.263,1465263.158,159234.4498,341488.2033,530526.3158,25263.15789,80842.10526,21274.23823,30622.00957,101052.6316,0,0,336842.1053,75789.47368
"P36",0,0,0,0,44912.2807,80842.10526,33684.21053,0,80842.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14436.09023,0,0,0,22456.14035,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,101052.6316,50526.31579,202105.2632,67368.42105,134736.8421,0,0,0,0,22456.14035,0,0,0,57744.3609,134736.8421,50526.31579,0,303157.8947,0,202105.2632,0,0,0,0,0,0,79617.22488,42105.26316,21274.23823,429473.6842,572631.5789,378947.3684
"P37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14436.09023,0,16842.10526,22456.14035,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,67368.42105,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373.20574,62722.32305,44210.52632,0,0,0,0,16842.10526,0,0,0,0
"P38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14436.09023,161684.2105,84210.52632,0,0,0,0,0,0,0,0,20210.52632,0,0,0,230977.4436,84210.52632,48120.30075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P41",101052.6316,101052.6316,0,0,0,0,0,0,0,215578.9474,387368.4211,577443.609,80842.10526,0,0,0,0,0,0,57744.3609,25263.15789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86616.54135,28872.18045,101052.6316,19248.1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P47",0,0,28872.18045,336842.1053,112280.7018,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57744.3609,40421.05263,0,0,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,101052.6316,67368.42105,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,12631.57895,0,21274.23823,0,25263.15789,95734.07202,0,0,25263.15789
"P50",303157.8947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6519.524618,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,336842.1053,0,0,0,0,101052.6316,0,0,0,0,0,0,0,25263.15789,0,0,0,0
"P51",0,0,28872.18045,0,224561.4035,121263.1579,11228.07018,0,40421.05263,134736.8421,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,50526.31579,0,25263.15789,0,0
"P61",555789.4737,606315.7895,433082.7068,538947.3684,426666.6667,404210.5263,606315.7895,2223157.895,1131789.474,94315.78947,1515789.474,187669.1729,262736.8421,303157.8947,33684.21053,86616.54135,161684.2105,67368.42105,121263.1579,115488.7218,11267368.42,16505263.16,7220669.856,5023759.398,0,0,0,0,0,0,0,0,0,78234.29542,265263.1579,626526.3158,898245.614,1212631.579,1212631.579,28872.18045,0,0,50526.31579,80842.10526,336842.1053,151578.9474,202105.2632,0,0,0,26947.36842,44912.2807,18373.20574,0,44912.2807,0,202105.2632,404210.5263,57744.3609,3907368.421,4597894.737,4800000,50526.31579,151578.9474,50526.31579,0,13938.29401,31578.94737,12631.57895,13473.68421,10637.11911,30622.00957,50526.31579,31911.35734,202105.2632,269473.6842,581052.6316
"P65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3991578.947,2142315.789,1818947.368,303157.8947,50526.31579,101052.6316,0,0,0,112280.7018,183732.0574,252631.5789,741052.6316,606315.7895,471578.9474,404210.5263,0,336842.1053,50526.31579,151578.9474,707368.4211,202105.2632,202105.2632,0,0,0,63157.89474,0,138282.5485,0,8421.052632,0,227368.4211,101052.6316,101052.6316
"P66",0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,86616.54135,0,50526.31579,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P67",0,0,0,0,0,40421.05263,123508.7719,0,0,0,0,14436.09023,0,0,0,0,0,0,0,28872.18045,0,0,0,0,14436.09023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173233.0827,0,0,0,0,0,0,0,0,67368.42105,0,0,0,18373.20574,75789.47368,22456.14035,0,0,303157.8947,0,0,0,0,0,0,0,0,0,0,0,26947.36842,0,36746.41148,8421.052632,74459.8338,0,0,0
"P69",0,0,28872.18045,0,0,141473.6842,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
