"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"Z47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0.074074074,0.296296296,0.148148148,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407407,7.407407407,9.259259259,5.925925926,2.962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.444444444,4.444444444,0.740740741,0,0,0
"Z52",0.363636364,0.185185185,0,0,0.074074074,0,0,0.888888889,0.296296296,0.851851852,0.222222222,0.555555556,0.296296296,0.62962963,17.77777778,0.222222222,0.111111111,0,0,0,1.777777778,10.74074074,3.407407407,1.777777778,34.22222222,99.11111111,119.5555556,156.8888889,1.185185185,1.851851852,3.555555556,2.962962963,4.592592593,7.037037037,6.666666667,5.777777778,16.74074074,2.666666667,10.07407407,4.740740741,7.333333333,1.185185185,9.185185185,11.85185185,13.88888889,23.55555556,3.703703704,0.222222222,0.37037037,0.296296296,17.18518519,11.11111111,29.92592593,41.77777778,0,0,0.148148148,0.740740741,1.777777778,0.740740741,4.740740741,1.777777778,15.40740741,1.925925926,3.703703704,21.55555556,18.22222222,13.33333333,10.88888889,9.111111111,8.666666667,11.40740741,13.33333333,1.481481481,0.074074074,0.148148148,0.148148148
"Z53",0,2.407407407,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0.444444444,0.296296296,2.222222222,0.444444444,17.33333333,14.44444444,4.740740741,2.074074074,0.888888889,2.407407407,3.555555556,1.333333333,0,0,0,4.888888889,15.25925926,23.85185185,21.62962963,6.666666667,22.22222222,48.14814815,42.96296296,0,0.296296296,0.888888889,0.592592593,22.37037037,3.111111111,5.037037037,2,6,3.555555556,1.111111111,1.333333333,1.333333333,8.148148148,12.88888889,2.666666667,1.851851852,6.666666667,21.03703704
"Z54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34.22222222,54.22222222,30.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,0,0.888888889,0,0,0.296296296,0,0,0
"Z58",0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z61",1.818181818,0.555555556,0.185185185,0.092592593,0,0,0,0,0,1.62962963,0.074074074,3.037037037,2.481481481,1.851851852,4.444444444,0.555555556,0.444444444,1.111111111,1.333333333,0.185185185,8.296296296,1.481481481,3.111111111,1.037037037,2.666666667,25.77777778,27.11111111,44.88888889,0,0,0,0,0,0.740740741,3.555555556,5.481481481,3.703703704,0.666666667,2.814814815,0.444444444,1.111111111,2.222222222,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17.03703704,20.44444444,16.88888889,0.296296296,2.074074074,1.185185185,0,0,0,0,0,0,0,0,0,0,0,0
"Z63",0.727272727,0.185185185,0.092592593,0.185185185,0.185185185,0,0.296296296,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518518519,0,0,0.296296296,0.148148148,0,0,0,0,0,0,0,0,0,0.148148148,0.592592593,0.555555556,1.62962963,0.888888889,0.444444444,0.555555556,0.592592593,0,0.666666667,0.148148148,1.333333333,0.148148148,0.148148148,0.148148148,4.148148148,0,0,0,0,0,0,0,3.777777778,5.111111111,2,0.888888889,0.888888889,0.444444444,0.888888889,1.111111111,0.444444444,0.111111111,0.074074074,0.148148148
"Z64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
