"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"Z72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0.444444444,0.555555556,0.148148148,0.148148148,0.222222222,2.037037037,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z73",2,0,0,0,0,0,0.148148148,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,12,18.22222222,13.77777778,16.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22222222,4.259259259,1.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z76",0,0,0,0,0,0,0,0,0,4.962962963,1.296296296,0,0.777777778,7,4.666666667,0.444444444,0.740740741,0.333333333,1.148148148,2.222222222,3.037037037,2.740740741,2.296296296,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z77",1.090909091,1.481481481,0.740740741,2.87037037,3.962962963,7.314814815,31.40740741,6.962962963,10.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,4.444444444,0.888888889,0.888888889,5.62962963,10.44444444,10.37037037,4.444444444,4.814814815,0.296296296,6.962962963,8.296296296,13.48148148,4.555555556,10.81481481,7.555555556,7.111111111,6.962962963,6.222222222,14.66666667,20.37037037,13.48148148,15.40740741,0,0,0,13.03703704,5.185185185,1.037037037,1.777777778,0.740740741,2.740740741,4.592592593,3.555555556,0,0,0,0,0,0,0,28.88888889,13.77777778,12.22222222,7.333333333,4,8.222222222,2.222222222,2.444444444,0.148148148,0.185185185,0.296296296,1.481481481
"Z79",0.181818182,0.185185185,0.092592593,0.092592593,0,0,0,0,0,0.814814815,0.222222222,0.555555556,0.111111111,0.111111111,2.222222222,0,0.592592593,0,0.148148148,0,0,0,0.296296296,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0.444444444,1.333333333,0.444444444,0.666666667,0.444444444,0,0,0,0,0,0
"Z80",26.18181818,5.740740741,7.222222222,11.57407407,10.48148148,20.55555556,42.07407407,30.22222222,20.2962963,6.851851852,2.074074074,9.37037037,3.037037037,9.259259259,9.777777778,7.62962963,5.962962963,4.481481481,5.777777778,8.518518519,7.407407407,12,9.851851852,25.25925926,18.22222222,43.11111111,14.22222222,7.555555556,20.74074074,17.03703704,18.14814815,18,11.85185185,15.48148148,33.92592593,33.33333333,33.18518519,18.77777778,51.11111111,80.88888889,52,95.40740741,7.111111111,10.07407407,5.925925926,12.59259259,8.740740741,22.22222222,22.03703704,17.48148148,24.88888889,5.111111111,5.333333333,4.888888889,13.40740741,16.37037037,22.22222222,18.96296296,17.48148148,18.07407407,18.96296296,8.296296296,6.814814815,9.185185185,9.333333333,12,52.44444444,18.88888889,43.33333333,20.88888889,31.77777778,10.81481481,14.88888889,5.481481481,4.037037037,10.51851852,20.14814815
"Z82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,1.037037037,0.740740741,2.074074074,0,0,0,0,0,0,0,0,0,0.148148148,2.37037037,2.814814815,1.333333333,0.111111111,0.740740741,0.592592593,0.888888889,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.444444444,1.555555556,3.111111111,1.037037037,0.222222222,0,0.074074074,0.074074074,1.925925926
"Z84",0,0,0,0,0,0,0,0,0,1,0,0.925925926,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.222222222,0.148148148,0.296296296,0.296296296,0,0,0,0,0,0,0,0,0,0,0,18,8.444444444,8.888888889,0,0,0,0,0,0,0,0,0
"Z85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,0,0,0.074074074,0,0.259259259,0.444444444,0.814814815,0.444444444,2.814814815,0,0,2.666666667,2.666666667,0.222222222,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,4.740740741,1.925925926,0,0,0.148148148,1.111111111,0.185185185,0.148148148,1.62962963,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,2.444444444,3.111111111,3.555555556,0,1.111111111,0,0,0,0.037037037,0.148148148,0.148148148
"Z86",0,0,0,0,0,0,0,0.592592593,0,0,0.111111111,1.148148148,0,1.296296296,0.888888889,0,0,0.111111111,0,0,0,0,0,0,1.333333333,5.777777778,5.777777778,0.888888889,0.148148148,0.962962963,0.592592593,0.37037037,1.925925926,0.444444444,1.037037037,1.481481481,1.777777778,0.777777778,0.888888889,0.592592593,0.666666667,0.592592593,0.592592593,0.296296296,0.555555556,6.518518519,5.925925926,0.666666667,0,0,3.111111111,0.148148148,0.444444444,0.296296296,0.148148148,0.074074074,0.222222222,0,5.333333333,0,0,0.296296296,0,0,0,11.55555556,4,4.666666667,2.444444444,3.555555556,3.555555556,0,0,0.148148148,0.407407407,0.074074074,0.296296296
