"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"C219",0,0,0,0,0,0,0,0,0,0,33684.21053,0,0,0,235789.4737,0,0,0,0,0,0,0,0,0,0,13473.68421,33684.21053,44912.2807,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,50526.31579,121263.1579,134736.8421,0,303157.8947,0,0,0,26947.36842,0,0,0,0,0,0,101052.6316,144360.9023,134736.8421,454736.8421,202105.2632,454736.8421,252631.5789,50526.31579,18373.20574,0,6315.789474,12631.57895,0,10637.11911,18373.20574,8421.052632,10637.11911,0,0,0
"C220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,269473.6842,303157.8947,353684.2105,151578.9474,101052.6316,0,0,0,0,0,0,0,0,8421.052632,0,0,0,25263.15789
"C221",0,0,0,0,0,0,0,0,0,40421.05263,185263.1579,57744.3609,161684.2105,181894.7368,33684.21053,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0,0,0,0,0,0,13039.04924,12631.57895,20210.52632,0,0,0,0,0,0,50526.31579,80842.10526,269473.6842,0,303157.8947,101052.6316,67368.42105,0,0,44912.2807,36746.41148,25263.15789,224561.4035,336842.1053,404210.5263,1414736.842,173233.0827,673684.2105,909473.6842,808421.0526,50526.31579,101052.6316,50526.31579,0,0,0,0,13473.68421,0,0,0,10637.11911,50526.31579,0,50526.31579
"C223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,8791578.947,0,202105.2632,404210.5263,53894.73684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20907.44102,18947.36842,0,0,0,0,0,0,0,0,0
"C224",0,0,0,0,0,0,0,0,0,0,0,0,505263.1579,20210.52632,33684.21053,0,40421.05263,0,40421.05263,0,0,0,0,0,0,0,0,0,2454135.338,2560000,2391578.947,2887218.045,2458947.368,39117.14771,50526.31579,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,2357894.737,1157511.962,404210.5263,1145263.158,25128421.05,24185263.16,38400000,86616.54135,6938947.368,5355789.474,4395789.474,0,909473.6842,606315.7895,0,0,0,517894.7368,700631.5789,468033.241,0,0,0,0,0,0
"C225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269473.6842,168421.0526,86616.54135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61244.01914,33684.21053,0,0,0,0
"C226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94315.78947,22456.14035,0,0,22456.14035,67368.42105,0,0,0,538947.3684,50526.31579,151578.9474,50526.31579,1010526.316,404210.5263,159234.4498,111506.3521,25263.15789,0,0,31911.35734,6124.401914,8421.052632,42548.47645,0,0,0
"C228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,134736.8421,101052.6316,202105.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,121263.1579,0,151578.9474,0,0,0,0,875789.4737,0,0,0,0,0,0,0,0,0,0,151578.9474,50526.31579,0,151578.9474,128612.4402,27876.58802,0,922105.2632,485052.6316,542493.0748,30622.00957,0,42548.47645,0,67368.42105,0
"C232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,960000,687157.8947,741052.6316,1768421.053,151578.9474,707368.4211,134736.8421,404210.5263,0,0,0,0,0,0,0,0,4763909.774,2560000,3284210.526,2880000,0,0,2021052.632,0,0,0,0,0,63822.71468,0,33684.21053,21274.23823,101052.6316,0,0
