"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"Z1",7.090909091,0,0.185185185,0,1.074074074,0.555555556,0.296296296,0.148148148,4.37037037,0,0,0,0,0,0,0.148148148,0.148148148,0.148148148,1.185185185,0.037037037,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z2",8.545454545,8.333333333,6.111111111,5.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,1.777777778,7.555555556,1.777777778,4.444444444,0.592592593,1.037037037,1.185185185,0.592592593,1.037037037,0,0.444444444,0,0.296296296,0,0.296296296,0.148148148,0.222222222,0.148148148,0.148148148,0.148148148,0.185185185,0.740740741,1.62962963,6.666666667,11.2962963,23.55555556,0.444444444,5.333333333,2.37037037,2.222222222,1.259259259,0.814814815,1.481481481,1.481481481,0,3.259259259,5.037037037,4.740740741,0.296296296,26.51851852,78.37037037,0,0,0,0,0,0,0.296296296,5.333333333,22.07407407,0.037037037,4.888888889,12.44444444
"Z3",0,0,0,0,0.148148148,0,0,0.148148148,0,0,0,0,0,0.037037037,4.888888889,0,0,0,0,0,0,0,0,0,9.777777778,7.555555556,0.444444444,2.222222222,0.074074074,0.148148148,0.074074074,0.222222222,0.074074074,0,0.592592593,0.148148148,2.222222222,0,0,1.777777778,0.666666667,0.296296296,0,0,0,0,0.296296296,0.222222222,0.185185185,0.592592593,0,0,0,0,0,0,0,0,0,0.148148148,0.296296296,0.296296296,1.037037037,0.148148148,0.148148148,0.444444444,0,0,0,0,0,0.148148148,2,0.296296296,0.074074074,0.074074074,0.444444444
"Z4",0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0.222222222,0.444444444,0.444444444,0,0.888888889,0,0,0,0,0,0,0
"Z5",0.181818182,6.481481481,1.759259259,4.62962963,0,0.555555556,0,0.592592593,2.037037037,0,0,0,0,0,0,0.148148148,0,0,0,0,0.888888889,1.037037037,0.888888889,0.148148148,5.777777778,2.666666667,1.777777778,0.444444444,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0.148148148,1.481481481,0.222222222,0.185185185,0.148148148,0,2.222222222,0.296296296,0.296296296,0.148148148,0.074074074,0.074074074,0.444444444,3.851851852,29.92592593,88,124.4444444,10.96296296,17.48148148,37.62962963,0.222222222,0.222222222,0.222222222,0,0,0,0.148148148,0.222222222,0.296296296,0.185185185,0.148148148,0.296296296
"Z7",15.09090909,15.37037037,21.75925926,14.25925926,5.259259259,3.333333333,2.222222222,7.555555556,17.85185185,0,0.074074074,0.111111111,0.777777778,0.407407407,0,4.444444444,2.444444444,0.888888889,1.481481481,2.518518519,0,0,0,0.148148148,0,0,0,0,0.148148148,0.074074074,0.518518519,0.592592593,1.481481481,0.074074074,0.444444444,0.148148148,0.888888889,0.111111111,0.740740741,1.037037037,0.444444444,1.925925926,0.148148148,0.296296296,0.185185185,0.148148148,0.888888889,0.444444444,0.185185185,0.148148148,1.777777778,23.77777778,7.555555556,1.481481481,0.740740741,0.592592593,0.444444444,1.037037037,12.44444444,42.81481481,197.6296296,241.1851852,12,7.703703704,7.703703704,0.666666667,0.222222222,0.222222222,0.222222222,0.222222222,0.444444444,0.444444444,1.777777778,1.037037037,0.777777778,2.666666667,2.074074074
"Z8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,11.11111111,19.55555556,5.777777778,3.555555556,0.148148148,0.518518519,0.296296296,0.148148148,0,9.185185185,8.148148148,11.25925926,32,2.111111111,2.37037037,0.296296296,0.222222222,0.296296296,0,0,0,0,0,0,0,0,10.66666667,2.296296296,2.814814815,3.111111111,0.888888889,0.814814815,1.185185185,0.592592593,0.888888889,0,0,0,4.740740741,2.074074074,3.111111111,1.111111111,1.333333333,0.444444444,0.666666667,0.222222222,0.666666667,3.703703704,17.11111111,13.92592593,0.222222222,0.222222222,0.592592593
"Z9",0,0,0.185185185,0.092592593,0.148148148,0,0,0.296296296,0,0,0,0.037037037,0.148148148,0.074074074,0,0,0,0,0,0.037037037,0,0,0,0,2.222222222,3.555555556,0,0,0.666666667,0.814814815,1.185185185,1.925925926,2.222222222,0,0.444444444,0,0,0,0,0.740740741,0.444444444,0.148148148,0.296296296,0.148148148,0.37037037,0.148148148,0.148148148,0.222222222,0.185185185,0.148148148,2.666666667,0,0,0,0,0,0,0,1.777777778,1.037037037,4.148148148,0.296296296,0.148148148,0,0,0,0,0,0.444444444,0.888888889,0.444444444,0,0,0,0,0,0
"Z11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0.592592593,0,1.333333333,2.666666667,0.444444444,2.666666667,0,0,0.148148148,0,0,0,0,0,0,0,0,0.296296296,2.222222222,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,12,0,0,0,0,0.740740741,1.333333333,0.148148148,0.148148148,0.074074074,0.148148148
"Z16",0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0.222222222,0.222222222,0.444444444,0,0,0.222222222,0,0,0,0,0,0
"Z22",0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0.222222222,0.148148148,0,0,0,0,2.666666667,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0
"Z26",0,0.740740741,0,0,0.037037037,0,0,0,0.074074074,0.333333333,0.037037037,0,0,0,0.222222222,0,0,0,0,0,4.148148148,0.148148148,2.222222222,0.888888889,6.666666667,42.66666667,23.55555556,21.77777778,0.296296296,0.666666667,0.37037037,1.037037037,0.074074074,0.148148148,0.740740741,1.185185185,0.296296296,0.111111111,0.148148148,0,0,0,0,0.296296296,0.740740741,1.925925926,0,1.555555556,0.37037037,3.111111111,1.037037037,0.148148148,0.148148148,0.148148148,0.148148148,0.148148148,0.592592593,0.148148148,0,5.185185185,21.03703704,6.814814815,0.296296296,0.148148148,0.148148148,0.222222222,0.222222222,0.666666667,0.222222222,0.222222222,0.444444444,0.296296296,0.888888889,0.148148148,0,0,0
"Z32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0.222222222,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0.592592593,1.777777778,0.148148148,0,0,0
"Z38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0.037037037,0.185185185,0.296296296,10.44444444,0,0.074074074,0,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.148148148,13.33333333,1.037037037,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.666666667,0.222222222,0,0,0,0.296296296,0.444444444,5.62962963,0.148148148,0.148148148,1.333333333
"Z39",8.909090909,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,4.444444444,1.333333333,7.111111111,0.814814815,0.074074074,0.222222222,0.37037037,0.074074074,0,1.333333333,0,0.296296296,0,0,2.222222222,0.444444444,0.148148148,0.148148148,0.444444444,1.296296296,1.185185185,0.444444444,0.888888889,0.185185185,0.296296296,0.444444444,0.814814815,2.666666667,0.444444444,0.074074074,0.37037037,0.222222222,0.740740741,0,0,0,0,0.592592593,0.296296296,0.148148148,1.555555556,1.777777778,0.444444444,0.222222222,1.111111111,0.222222222,1.037037037,2.666666667,0.444444444,0.185185185,0.37037037,0.296296296
"Z40",0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0.148148148,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z41",0,1.666666667,0,0,0,0,0,0,0,0.074074074,0.037037037,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0.148148148,0,0,0,0.148148148,0.296296296,0.148148148,0.148148148,0,0,0,0,0,0.592592593,0.592592593,0.296296296,0.296296296,0.148148148,0.148148148,0.444444444,0,0,0,0,0,0,0,0,0.111111111,0.074074074,0.148148148
"Z44",4.363636364,1.481481481,0,0,1.62962963,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0.148148148,0,0,0,0,0.074074074,0.148148148,0.296296296,0.740740741,0.222222222,0,0,0.296296296,0.444444444,0,0,0,0,0,0.148148148,0.296296296,1.111111111,1.777777778,0.444444444,0,0,0,0.148148148,0.222222222,0.148148148,0.148148148,0.148148148,0,0,0.148148148,0.296296296,6.814814815,14.22222222,11.55555556,0.296296296,0,0,0,0,0.444444444,0.222222222,0.222222222,0.222222222,0,0,0,0.037037037,0,0
