,P1,P3,P4,P7,P8,P9,P11,P14,P18,P24,P25,P26,P29,P34,P35,P36,P37,P38,P41,P47,P50,P51,P61,P65,P66,P67,P69,P76,P78,P79,P81,P85,P86,P87,P90,P92,P94,P95,P96,P104,P106,P107,P109,P110,P111,P112,P113,P114,P115,P116,P118,P120,P121,P122,P123,P124,P125,P127,P128,P135,P136,P137,P138,P140,P142,P144,P145,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P161,P162,P164,P165,P166,P168,P173,P174,P175,P176,P177,P178,P179,P180,P181,P184,P187,P191,P192,P193,P194,P195,P196,P197,P200,P201,P205,P206,P207,P212,P214,P215,P216,P217,P273,P275,P276,P277,P278,P281,P282,P283,P286,P287,P288,P291,P299,P300,P303
XH01,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,555789.4737,0,0,0,101052.6316,0,303157.8947,0,555789.4737,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,50526.31579,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,303157.8947,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,353684.2105,202105.2632,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,353684.2105
XH03,0,0,0,0,0,0,202105.2632,0,0,0,0,0,0,0,606315.7895,0,0,0,101052.6316,0,0,0,606315.7895,0,0,0,0,0,0,0,1010526.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,0,0,0,101052.6316,101052.6316,0,0,0,0,0,0,0,1111578.947,0,202105.2632,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,404210.5263,0,0,0,0,0,0,0,0,0,101052.6316,101052.6316,0,0,0,0,0
XH04,0,0,0,0,28872.18045,0,28872.18045,0,28872.18045,0,0,0,28872.18045,0,259849.6241,0,0,0,0,28872.18045,0,28872.18045,433082.7068,0,0,0,28872.18045,0,0,0,230977.4436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144360.9023,28872.18045,28872.18045,0,0,0,0,0,0,173233.0827,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115488.7218,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XH05,0,0,0,0,0,0,134736.8421,0,0,0,67368.42105,0,0,0,606315.7895,0,0,0,0,336842.1053,0,0,538947.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269473.6842,0,0,0,0,0,0,471578.9474,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,471578.9474,0,67368.42105,0,0,0,134736.8421,134736.8421,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,269473.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQH01,0,0,0,0,22456.14035,0,0,0,0,0,67368.42105,0,0,0,89824.5614,44912.2807,0,0,0,112280.7018,0,224561.4035,426666.6667,0,22456.14035,0,0,0,0,0,920701.7544,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,247017.5439,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,112280.7018,0,0,22456.14035,0,0,0,67368.42105,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,89824.5614,0,0,0,0,0,0,0,0,0,0,0,247017.5439,336842.1053,0,0,0,0,112280.7018,0,0,0,44912.2807,0,0,0,0,0,0,67368.42105
DQH02,0,0,0,0,40421.05263,0,40421.05263,0,0,0,181894.7368,0,0,0,0,80842.10526,0,0,0,0,0,121263.1579,404210.5263,0,0,40421.05263,141473.6842,0,0,0,687157.8947,0,60631.57895,0,0,0,0,0,0,0,0,0,0,80842.10526,0,60631.57895,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,202105.2632,0,20210.52632,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,40421.05263,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,101052.6316,202105.2632,60631.57895,0,0,0,80842.10526,60631.57895,0,0,0,0,60631.57895,0,0,0,0,0
DQH03,0,0,0,0,56140.35088,0,145964.9123,0,0,0,134736.8421,0,0,0,0,33684.21053,0,0,0,33684.21053,0,11228.07018,606315.7895,0,0,123508.7719,22456.14035,0,0,0,640000,0,11228.07018,0,0,0,0,33684.21053,0,0,0,0,0,22456.14035,0,56140.35088,0,0,0,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,145964.9123,0,22456.14035,0,0,0,179649.1228,0,22456.14035,0,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,33684.21053,33684.21053,0,0,0,0,11228.07018,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,33684.21053,0,0,11228.07018,56140.35088,0
DQH04,0,0,0,0,0,0,40421.05263,0,0,0,80842.10526,0,0,0,242526.3158,0,0,0,0,0,0,0,2223157.895,0,0,0,0,0,0,0,1374315.789,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,40421.05263,0,0,0,0,0,0,202105.2632,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,525473.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,121263.1579,0,0,0,0,0,0,121263.1579,0,0,0,0,0,40421.05263,0,0,0,0,0,40421.05263,40421.05263,0,0,80842.10526,0
DQH05,0,0,0,0,121263.1579,0,768000,0,0,0,202105.2632,0,0,0,0,80842.10526,0,0,0,0,0,40421.05263,1131789.474,0,0,0,0,0,0,0,848842.1053,0,0,0,0,0,0,0,0,0,0,0,40421.05263,40421.05263,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,282947.3684,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80842.10526,0,0,363789.4737,525473.6842,0,0,0,0,202105.2632,0,0,0,0,0,282947.3684,121263.1579,0,202105.2632,0,323368.4211
QDH01,13473.68421,0,0,0,0,0,0,0,13473.68421,0,67368.42105,0,0,0,0,0,0,0,215578.9474,0,0,134736.8421,94315.78947,0,0,0,0,0,121263.1579,0,282947.3684,13473.68421,0,0,0,0,0,0,107789.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26947.36842,0,13473.68421,0,0,0,0,0,0,0,3947789.474,0,0,0,0,0,0,0,0,215578.9474,512000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0,0,0,0,67368.42105,0,0,0,0,13473.68421,13473.68421,0,0,0,0,0,0,175157.8947,175157.8947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QDH02,269473.6842,0,0,0,0,0,0,0,0,0,791578.9474,0,0,0,0,0,0,0,387368.4211,0,0,0,1515789.474,0,0,0,0,0,0,0,421052.6316,0,50526.31579,0,0,0,0,0,134736.8421,0,0,16842.10526,33684.21053,0,0,0,0,0,16842.10526,0,0,0,0,50526.31579,0,0,0,0,0,0,50526.31579,0,67368.42105,2223157.895,0,0,0,0,0,0,0,0,33684.21053,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,16842.10526,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,353684.2105,286315.7895,0,0,0,0,33684.21053,0,0,0,0,33684.21053,0,0,0,0,0,0
QDH06,0,0,0,0,0,0,14436.09023,0,14436.09023,57744.3609,332030.0752,0,0,0,0,0,0,0,577443.609,0,0,0,187669.1729,0,0,14436.09023,0,0,28872.18045,14436.09023,173233.0827,57744.3609,14436.09023,0,0,0,0,0,158796.9925,0,0,43308.27068,0,0,0,0,0,0,0,0,0,0,0,43308.27068,0,0,0,0,0,0,0,0,0,4042105.263,0,0,0,0,0,0,0,0,230977.4436,86616.54135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173233.0827,144360.9023,0,14436.09023,0,0,28872.18045,0,0,0,43308.27068,0,0,0,0,0,0,0
QDH07,0,0,0,0,0,0,0,0,0,1091368.421,1414736.842,0,20210.52632,0,0,0,0,0,80842.10526,0,0,0,262736.8421,0,0,0,0,0,0,20210.52632,565894.7368,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,20210.52632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465684.211,0,0,0,20210.52632,0,0,0,0,101052.6316,161684.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121263.1579,0,0,0,0,0,20210.52632,0,0,0,0,0,0,0,0,0,0,0,0,20210.52632,0,0,0,0,0,0,0,0,0,0,0
