,Z47,Z51,Z52,Z53,Z54,Z55,Z58,Z61,Z63,Z64,Z67,Z68
XH01,0,0,0.363636364,0,0,0,0,1.818181818,0.727272727,0,0.181818182,0
XH03,0,0,0.185185185,2.407407407,0,0,0,0.555555556,0.185185185,0,0,0
XH04,0,0,0,0.37037037,0,0,0,0.185185185,0.092592593,0,0,0
XH05,0,0,0,0,0,0,0,0.092592593,0.185185185,0,0,0.092592593
DQH01,0,0,0.074074074,0,0,0,0,0,0.185185185,0,0,0
DQH02,0,0,0,0,0,0,0,0,0,0,0,0
DQH03,0,0,0,0,0,0,0,0,0.296296296,0,0,0
DQH04,0,0,0.888888889,0,0,0,0,0,0.148148148,0,0,0
DQH05,0,0,0.296296296,0,0,0,0,0,0,0,0,0
QDH01,0,0,0.851851852,0,0,0,0,1.62962963,0,0,0,0
QDH02,0,0,0.222222222,0,0,0,0,0.074074074,0,0,0,0.037037037
QDH06,0,0,0.555555556,0,0,0,0.037037037,3.037037037,0,0,0,0.111111111
QDH07,0,0,0.296296296,0,0,0,0,2.481481481,0,0,0,1.185185185
QDH08,0,0,0.62962963,0,0,0,0,1.851851852,0,0,0,0.333333333
QDH09,0,0,17.77777778,0,0,0,0,4.444444444,0,0,0,0
QD01,0,0,0.222222222,0,0,0,0,0.555555556,0,0,0.148148148,0
QD02,0,0,0.111111111,0,0,0,0,0.444444444,0,0,0.111111111,0
QD03,0,0,0,0,0,0,0,1.111111111,0,0,0.148148148,0
QD04,0,0,0,0,0,0,0,1.333333333,0,0,0,0
QD05,0,0,0,0,0,0,0,0.185185185,0,0,0,0
NX01,0,0,1.777777778,0,0,0,0,8.296296296,0,0.148148148,0.740740741,0
NX02,0,0,10.74074074,0,0,0,0,1.481481481,0,0,0,0
NX03,0,0,3.407407407,0,0,0,0,3.111111111,0,0.074074074,0,0
NX06,0,0,1.777777778,0,0,0,0,1.037037037,0,0.074074074,0,0
SSLJH01,2.666666667,0,34.22222222,0,0,40,0,2.666666667,0,0,3.555555556,0
SSLJH02,0,0,99.11111111,0,0,34.22222222,0,25.77777778,0,0,0.888888889,0
SSLJH03,0,0,119.5555556,0,0,54.22222222,0,27.11111111,0,0,0,0
SSLJH04,0,0,156.8888889,0,0,30.22222222,0,44.88888889,0,0,0,0
DZ01,0,0,1.185185185,0,0,0,0,0,0.518518519,0,0,0
DZ02,0,0,1.851851852,0,0,0,0,0,0,0,0,0
DZ03,0,0,3.555555556,0,0,0,0,0,0,0,0,0
DZ04,0,0,2.962962963,0,0,0,0,0,0.296296296,0,0,0
