,taxa,class
1,P1,Algae
2,P3,Algae
3,P4,Algae
4,P7,Algae
5,P8,Algae
6,P9,Algae
7,P11,Algae
8,P14,Algae
9,P18,Algae
10,P24,Algae
11,P25,Algae
12,P26,Algae
13,P29,Algae
14,P34,Algae
15,P35,Algae
16,P36,Algae
17,P37,Algae
18,P38,Algae
19,P41,Algae
20,P47,Algae
21,P50,Algae
22,P51,Algae
23,P61,Algae
24,P65,Algae
25,P66,Algae
26,P67,Algae
27,P69,Algae
28,P76,Algae
29,P78,Algae
30,P79,Algae
31,P81,Algae
32,P85,Algae
33,P86,Algae
34,P87,Algae
35,P90,Algae
36,P92,Algae
37,P94,Algae
38,P95,Algae
39,P96,Algae
40,P104,Algae
41,P106,Algae
42,P107,Algae
43,P109,Algae
44,P110,Algae
45,P111,Algae
46,P112,Algae
47,P113,Algae
48,P114,Algae
49,P115,Algae
50,P116,Algae
51,P118,Algae
52,P120,Algae
53,P121,Algae
54,P122,Algae
55,P123,Algae
56,P124,Algae
57,P125,Algae
58,P127,Algae
59,P128,Algae
60,P135,Algae
61,P136,Algae
62,P137,Algae
63,P138,Algae
64,P140,Algae
65,P142,Algae
66,P144,Algae
67,P145,Algae
68,P149,Algae
69,P150,Algae
70,P151,Algae
71,P152,Algae
72,P153,Algae
73,P154,Algae
74,P155,Algae
75,P156,Algae
76,P157,Algae
77,P158,Algae
78,P159,Algae
79,P161,Algae
80,P162,Algae
81,P164,Algae
82,P165,Algae
83,P166,Algae
84,P168,Algae
85,P173,Algae
86,P174,Algae
87,P175,Algae
88,P176,Algae
89,P177,Algae
90,P178,Algae
91,P179,Algae
92,P180,Algae
93,P181,Algae
94,P184,Algae
95,P187,Algae
96,P191,Algae
97,P192,Algae
98,P193,Algae
99,P194,Algae
100,P195,Algae
101,P196,Algae
102,P197,Algae
103,P200,Algae
104,P201,Algae
105,P205,Algae
106,P206,Algae
107,P207,Algae
108,P212,Algae
109,P214,Algae
110,P215,Algae
111,P216,Algae
112,P217,Algae
113,P273,Algae
114,P275,Algae
115,P276,Algae
116,P277,Algae
117,P278,Algae
118,P281,Algae
119,P282,Algae
120,P283,Algae
121,P286,Algae
122,P287,Algae
123,P288,Algae
124,P291,Algae
125,P299,Algae
126,P300,Algae
127,P303,Algae
128,C219,Cyanobacteria
129,C220,Cyanobacteria
130,C221,Cyanobacteria
131,C223,Cyanobacteria
132,C224,Cyanobacteria
133,C225,Cyanobacteria
134,C226,Cyanobacteria
135,C228,Cyanobacteria
136,C229,Cyanobacteria
137,C232,Cyanobacteria
138,C233,Cyanobacteria
139,C234,Cyanobacteria
140,C237,Cyanobacteria
141,C238,Cyanobacteria
142,C245,Cyanobacteria
143,C246,Cyanobacteria
144,C248,Cyanobacteria
145,C249,Cyanobacteria
146,C250,Cyanobacteria
147,C251,Cyanobacteria
148,C252,Cyanobacteria
149,C255,Cyanobacteria
150,C258,Cyanobacteria
151,C260,Cyanobacteria
152,C264,Cyanobacteria
153,C265,Cyanobacteria
154,C268,Cyanobacteria
155,C269,Cyanobacteria
156,Z1,Rotifer
157,Z2,Rotifer
158,Z3,Rotifer
159,Z4,Rotifer
160,Z5,Rotifer
161,Z7,Rotifer
162,Z8,Rotifer
163,Z9,Rotifer
164,Z11,Rotifer
165,Z16,Rotifer
166,Z22,Rotifer
167,Z26,Rotifer
168,Z32,Rotifer
169,Z38,Rotifer
170,Z39,Rotifer
171,Z40,Rotifer
172,Z41,Rotifer
173,Z44,Rotifer
174,Z47,Cladocera
175,Z51,Cladocera
176,Z52,Cladocera
177,Z53,Cladocera
178,Z54,Cladocera
179,Z55,Cladocera
180,Z58,Cladocera
181,Z61,Cladocera
182,Z63,Cladocera
183,Z64,Cladocera
184,Z67,Cladocera
185,Z68,Cladocera
186,Z72,Copepod
187,Z73,Copepod
188,Z76,Copepod
189,Z77,Copepod
190,Z79,Copepod
191,Z80,Copepod
192,Z82,Copepod
193,Z84,Copepod
194,Z85,Copepod
195,Z86,Copepod
196,Z89,Copepod
197,Z91,Copepod
198,Z92,Copepod
