,Z72,Z73,Z76,Z77,Z79,Z80,Z82,Z84,Z85,Z86,Z89,Z91,Z92
XH01,0,2,0,1.090909091,0.181818182,26.18181818,0,0,0,0,0.545454545,0,0
XH03,0,0,0,1.481481481,0.185185185,5.740740741,0,0,0,0,0.555555556,0,0.185185185
XH04,0,0,0,0.740740741,0.092592593,7.222222222,0,0,0,0,0.37037037,0,0
XH05,0,0,0,2.87037037,0.092592593,11.57407407,0,0,0,0,0.37037037,0,0
DQH01,0,0,0,3.962962963,0,10.48148148,0,0,0,0,1.444444444,0,0
DQH02,0,0,0,7.314814815,0,20.55555556,0,0,0,0,0.092592593,0,0
DQH03,0,0.148148148,0,31.40740741,0,42.07407407,0,0,0,0,0.148148148,0,0
DQH04,0,0,0,6.962962963,0,30.22222222,0,0,0,0.592592593,0.148148148,0,2.518518519
DQH05,0,0,0,10.44444444,0,20.2962963,0,0,0,0,2.259259259,0,0
QDH01,0,0,4.962962963,0,0.814814815,6.851851852,0,1,0,0,0.185185185,0,0
QDH02,0,0,1.296296296,0,0.222222222,2.074074074,0,0,0,0.111111111,0,0,0.148148148
QDH06,0,0,0,0,0.555555556,9.37037037,0,0.925925926,0,1.148148148,1.62962963,0,0
QDH07,0,0.111111111,0.777777778,0,0.111111111,3.037037037,0,0,0,0,0.740740741,0,4.740740741
QDH08,0,0,7,0,0.111111111,9.259259259,0,0.074074074,0,1.296296296,0.962962963,0,0
QDH09,0,0,4.666666667,0,2.222222222,9.777777778,0,0,1.777777778,0.888888889,13.11111111,0,0
QD01,0,0,0.444444444,0,0,7.62962963,0,0,0,0,2.259259259,0,0
QD02,0,0,0.740740741,0,0.592592593,5.962962963,0,0,0,0,0.925925926,0,0.407407407
QD03,0,0,0.333333333,0,0,4.481481481,0,0,0.074074074,0.111111111,0.703703704,0,0
QD04,0,0,1.148148148,0,0.148148148,5.777777778,0,0,0,0,0.703703704,0,0
QD05,0,0,2.222222222,0,0,8.518518519,0,0,0.259259259,0,1.925925926,0,0
NX01,0,0,3.037037037,0,0,7.407407407,0.740740741,0,0.444444444,0,0.148148148,0,0.222222222
NX02,0,0,2.740740741,0,0,12,1.037037037,0,0.814814815,0,0.148148148,0,1.037037037
NX03,0,0,2.296296296,0,0.296296296,9.851851852,0.740740741,0,0.444444444,0,0.148148148,0,1.185185185
NX06,0,0,4,0,0.296296296,25.25925926,2.074074074,0,2.814814815,0,1.185185185,0,1.851851852
SSLJH01,0,12,0,2.222222222,0,18.22222222,0,0,0,1.333333333,0,0,7.111111111
SSLJH02,0,18.22222222,0,4.444444444,0,43.11111111,0,0,0,5.777777778,0,0,26.66666667
SSLJH03,0,13.77777778,0,0.888888889,0,14.22222222,0,0,2.666666667,5.777777778,0,0,2.222222222
SSLJH04,0,16.88888889,0,0.888888889,0,7.555555556,0,0,2.666666667,0.888888889,0,0,18.66666667
DZ01,0,0,0,5.62962963,0,20.74074074,0,0,0.222222222,0.148148148,0,0,9.111111111
DZ02,0,0,0,10.44444444,0,17.03703704,0,0,0,0.962962963,0.148148148,0,7.481481481
DZ03,0,0,0,10.37037037,0,18.14814815,0,0,0,0.592592593,0,0,26.66666667
DZ04,0,0,0,4.444444444,0,18,0,0,0.296296296,0.37037037,0,0,13.48148148
DZ05,0,0,0,4.814814815,0,11.85185185,0,0,0,1.925925926,0.740740741,0,24.74074074
SM01,0,0,0,0.296296296,0,15.48148148,0.148148148,0,0,0.444444444,0,0,4.592592593
SM02,0,0,0,6.962962963,0,33.92592593,2.37037037,0,0,1.037037037,4.148148148,0,11.55555556
SM03,0,0,0,8.296296296,0,33.33333333,2.814814815,0,0,1.481481481,0,0,12.2962963
SM04,0,0,0,13.48148148,0,33.18518519,1.333333333,0,0,1.777777778,0,0,8.888888889
SM05,0,0,0,4.555555556,0,18.77777778,0.111111111,0,0,0.777777778,0,0,2.444444444
SM06,0,0,0,10.81481481,0,51.11111111,0.740740741,0,0,0.888888889,0,0,5.185185185
TX01,0,0,0,7.555555556,0,80.88888889,0.592592593,0,0,0.592592593,0.296296296,0,8.148148148
