"","TN","TP","Algae","Cyanobacteria","Rotifer","Cladocera","Copepod"
"1",0.349,0.016,0.692307692307692,0.4,0.666666666666667,0.4,0.333333333333333
"2",0.472,0.043,0.703703703703704,0.4,0.555555555555556,0.6,0.2
"3",0.205,0.036,0.68,0.5,0.666666666666667,0.6,0.2
"4",0.0820000000000001,0.024,0.787878787878788,0.5,0.636363636363636,0.5,0.4
"5",0.123,0.028,0.8,0.714285714285714,0.5,1,0.4
"6",0.03,0.036,0.875,0.818181818181818,0.75,0.75,0.2
"7",0.072,0.032,0.833333333333333,0.818181818181818,0.7,0.5,0.571428571428571
"8",0.185,0.032,0.848484848484849,0.909090909090909,0.666666666666667,0.75,0.4
"9",0.143,0.071,0.848484848484849,0.888888888888889,1,0.5,0.571428571428571
"10",0.246,0.071,0.852941176470588,0.909090909090909,0.9,0.6,0.75
"11",0.113,0.063,0.891891891891892,0.888888888888889,0.9,0.666666666666667,0.571428571428571
"12",0.195,0.067,0.862068965517241,0.818181818181818,0.888888888888889,0.6,0.428571428571429
"13",0.287,0.059,0.857142857142857,0.833333333333333,0.9,0.6,0.625
"14",0.184,0.055,0.884615384615385,0.9,1,0.5,0.625
"15",0.134,0.075,0.851851851851852,0.833333333333333,0.666666666666667,0.25,0.666666666666667
"16",0.165,0.071,0.888888888888889,1,0.777777777777778,0.25,0.571428571428571
"17",0.308,0.071,0.892857142857143,0.833333333333333,0.777777777777778,0.5,0.75
"18",0.257,0.071,0.827586206896552,0.857142857142857,0.777777777777778,0.75,0.5
"19",0.144,0.059,0.75,0.833333333333333,0.8,0.75,0.714285714285714
"20",0.011,0.067,0.870967741935484,1,0.818181818181818,0.4,0.777777777777778
"21",0.072,0.071,0.90625,1,0.8,0.5,0.777777777777778
"22",0.206,0.079,0.870967741935484,1,0.9,0.6,0.666666666666667
"23",0.134,0.071,0.861111111111111,0.714285714285714,0.545454545454545,0.6,0.666666666666667
"24",0.267,0.036,0.844444444444444,0.571428571428571,0.8,0.5,0.571428571428571
"25",0.36,0.043428,0.886363636363636,0.666666666666667,0.785714285714286,0.4,0.571428571428571
"26",0.298,0.023842,0.871794871794872,0.7,0.769230769230769,0.6,0.625
"27",0.011,0.0355936,0.86046511627907,0.666666666666667,0.75,0.6,0.625
"28",0.441,0.063,0.925925925925926,0.857142857142857,0.666666666666667,0.5,0.75
"29",0.113,0.059,0.896551724137931,0.833333333333333,0.666666666666667,0.75,0.571428571428571
"30",0.267,0.055,0.903225806451613,0.833333333333333,0.692307692307692,0.75,0.714285714285714
"31",0.564,0.047,0.931034482758621,0.833333333333333,0.666666666666667,0.5,0.75
"32",0.051,0.059,0.903225806451613,0.833333333333333,0.636363636363636,0.5,0.571428571428571
"33",2.063,0.059,0.875,0.875,0.9,0.666666666666667,0.75
"34",1.899,0.067,0.918367346938776,0.8,0.75,0.714285714285714,0.625
"35",2.063,0.055,0.884615384615385,0.8,0.818181818181818,0.666666666666667,0.75
"36",1.95,0.055,0.863636363636364,0.625,0.545454545454545,0.666666666666667,0.75
"37",2.002,0.047,0.840909090909091,0.666666666666667,0.9,0.666666666666667,0.75
"38",2.197,0.055,0.851063829787234,0.75,0.8,0.666666666666667,0.75
"39",0.255,0.059,0.822222222222222,0.4,0.8125,0.666666666666667,0.625
"40",0.195,0.059,0.891304347826087,0.25,0.8,0.666666666666667,0.75
"41",0.236,0.051,0.846153846153846,0.4,0.8,0.666666666666667,0.75
"42",0.01,0.063,0.928571428571429,0.777777777777778,0.444444444444444,0.5,0.777777777777778
"43",0.144,0.067,0.875,0.818181818181818,0.6,0.5,0.777777777777778
"44",0,0.059,0.825,0.727272727272727,0.6,0.5,0.75
"45",0.103,0.047,0.833333333333333,0.727272727272727,0.4,0.571428571428571,0.75
"46",0.38,0.032,0.9,0.75,0.583333333333333,0.5,0.777777777777778
"47",0.093,0.063,0.888888888888889,1,0.636363636363636,0.5,0.777777777777778
"48",0.195,0.051,0.928571428571429,1,0.636363636363636,0.5,0.75
"49",0.339,0.059,0.884615384615385,1,0.545454545454545,0.5,0.625
"50",0.237,0.063,0.936170212765957,0.916666666666667,0.714285714285714,0.571428571428571,0.666666666666667
"51",0.051,0.063,0.86046511627907,0.818181818181818,0.545454545454545,0.666666666666667,0.75
"52",0.329,0.059,0.9,0.75,0.545454545454545,0.666666666666667,0.75
"53",0.072,0.071,0.914893617021277,0.777777777777778,0.545454545454545,0.666666666666667,0.75
"54",0.051,0.067,0.86046511627907,0.818181818181818,0.5,0.8,0.714285714285714
