,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,0.349,0.016,0,0.4,0,0,0
2,0.472,0.043,0.011396011,0.4,0.222222222,0.1,0.2
3,0.205,0.036,0.013333333,0.5,0.266666667,0.1,0.2
4,0.082,0.024,0.047138047,0.5,0.036363636,0.5,0.4
5,0.123,0.028,0.059259259,0.214285714,0.5,0,0.4
6,0.03,0.036,0.047413793,0.318181818,0.75,0.75,0.2
7,0.072,0.032,0.005747126,0.318181818,0.128571429,0.5,0
8,0.185,0.032,0.020898642,0.109090909,0.266666667,0.75,0.4
9,0.143,0.071,0.020898642,0.088888889,0,0.5,0
10,0.246,0.071,0.02535497,0.109090909,0.1,0.1,0
11,0.113,0.063,0.025225225,0.088888889,0.1,0,0
12,0.195,0.067,0.004926108,0.318181818,0.222222222,0.1,0.095238095
13,0.287,0.059,0.010989011,0.333333333,0.1,0.1,0.053571429
14,0.184,0.055,0.027472527,0.1,0,0.5,0.053571429
15,0.134,0.075,0.018518519,0.033333333,0.266666667,0.25,0.166666667
16,0.165,0.071,0.019323671,0,0.277777778,0.25,0
17,0.308,0.071,0.012857143,0.033333333,0.277777778,0.5,0
18,0.257,0.071,0,0.057142857,0.277777778,0.75,0.1
19,0.144,0.059,0.057692308,0.033333333,0.133333333,0.75,0.047619048
20,0.011,0.067,0.004301075,0,0.068181818,0,0.027777778
21,0.072,0.071,0.003024194,0,0.133333333,0.5,0.027777778
22,0.206,0.079,0.004301075,0,0.1,0.1,0.095238095
23,0.134,0.071,0.033524904,0.214285714,0,0.1,0.095238095
24,0.267,0.036,0.103703704,0.571428571,0.030769231,0.1,0
25,0.36,0.043428,0.058777429,0.666666667,0.016483516,0,0
26,0.298,0.023842,0.044208665,0.7,0,0.1,0.053571429
27,0.011,0.0355936,0.074750831,0.666666667,0.022727273,0.1,0.053571429
28,0.441,0.063,0.016835017,0.057142857,0,0.5,0
29,0.113,0.059,0.007662835,0.033333333,0,0.75,0
30,0.267,0.055,0,0.033333333,0.025641026,0.75,0.047619048
31,0.564,0.047,0.00795756,0.033333333,0,0.5,0
32,0.051,0.059,0,0.033333333,0.036363636,0.5,0
33,2.063,0.059,0.089285714,0.075,0.1,0,0
34,1.899,0.067,0.05170068,0.3,0.022727273,0.047619048,0.053571429
35,2.063,0.055,0.098901099,0.3,0.068181818,0,0
36,1.95,0.055,0.077922078,0.625,0,0,0
37,2.002,0.047,0.10016835,0.666666667,0.1,0,0
38,2.197,0.055,0.110323089,0.25,0.133333333,0,0
39,0.255,0.059,0.12991453,0.4,0.043269231,0,0.053571429
40,0.195,0.059,0.063718141,0.25,0.030769231,0,0
41,0.236,0.051,0.06043956,0.4,0.030769231,0,0
42,0.01,0.063,0.025345622,0.277777778,0.158730159,0.1,0.027777778
43,0.144,0.067,0.047413793,0.318181818,0.1,0.1,0.027777778
44,0,0.059,0.084259259,0.727272727,0.1,0.1,0
45,0.103,0.047,0.047619048,0.727272727,0,0.171428571,0
46,0.38,0.032,0.033333333,0.75,0.037878788,0.1,0.027777778
47,0.093,0.063,0.019323671,0,0.036363636,0.5,0.027777778
48,0.195,0.051,0.011904762,0,0.036363636,0.5,0
49,0.339,0.059,0.027472527,0,0,0.5,0.053571429
50,0.237,0.063,0.032944406,0.116666667,0.047619048,0.171428571,0.095238095
51,0.051,0.063,0.074750831,0.318181818,0,0,0
52,0.329,0.059,0.072413793,0.25,0,0,0
53,0.072,0.071,0.04822695,0.277777778,0,0,0
54,0.051,0.067,0.074750831,0.318181818,0.055555556,0.133333333,0.047619048
55,0.113,0.067,0.003024194,0.3,0.1,0.133333333,0.047619048
56,0.092,0.067,0.022222222,0.277777778,0.1,0.1,0.047619048
57,0.287,0.051,0.042857143,0.088888889,0,0.1,0.166666667
58,0.913,0.04,0.348214286,0.109090909,0.128571429,0.133333333,0.057142857
59,0.534,0.036,0.138888889,0.366666667,0.025641026,0,0.166666667
60,0.503,0.032,0.037815126,0.346153846,0.025641026,0,0.166666667
61,0.472,0.04,0.102857143,0.366666667,0,0,0
62,0.729,0.036,0.053376906,0.133333333,0.138461538,0,0.166666667
63,0.739,0.032,0.097165992,0.133333333,0,0.1,0.166666667
64,0.646,0.028,0.150697674,0.357142857,0,0.1,0.166666667
65,0.216,0.067,0.038095238,0.75,0.083333333,0,0.166666667
66,0.185,0.067,0.058777429,0.318181818,0.066666667,0,0.095238095
67,0.144,0.067,0.053366174,0.3,0.097402597,0,0.095238095
68,0.401,0.063,0.058777429,0.116666667,0.022727273,0,0.095238095
69,0.041,0.059,0.035772358,0.7,0,0.1,0.053571429
70,0.391,0.071,0.038095238,0.333333333,0,0.047619048,0.095238095
71,0.083,0.067,0.231481481,0.109090909,0.047619048,0.047619048,0.047619048
72,0.041,0.067,0.156748911,0.769230769,0.047619048,0.047619048,0.047619048
73,0.092,0.059,0.137479542,0.366666667,0.047619048,0.083333333,0.047619048
74,0.144,0.055,0.077922078,0.25,0.06993007,0.1,0.027777778
75,0.216,0.047,0.166666667,0.25,0.025641026,0,0.027777778
76,0.288,0.047,0.097165992,0.318181818,0.025641026,0.1,0.027777778
77,0.123,0.027,0.016666667,0,0.128571429,0.25,0.2
78,0.144,0.02,0.019762846,0.095238095,0.266666667,0.1,0.2
79,0.267,0.008,0.057692308,0.053571429,0.022727273,0.5,0.4
80,0.226,0.012,0.087272727,0.027777778,0.266666667,0,0.4
81,0.319,0.02,0.11,0.178571429,0.222222222,0.75,0.1
82,0.421,0.016,0.009259259,0.303030303,0.068181818,0.5,0
83,0.534,0.016,0.026785714,0.155844156,0.266666667,0.75,0.4
84,0.206,0.055,0.026785714,0.02020202,0.75,0.5,0
85,0.103,0.055,0.049627792,0.083333333,0.625,0.1,0
86,0.462,0.047,0.042857143,0.05,0.277777778,0,0
87,0.154,0.051,0.008547009,0.096153846,0.222222222,0.1,0.095238095
88,0.062,0.043,0.014814815,0.197802198,0.1,0.1,0.053571429
89,0.165,0.039,0.04,0.027777778,0.222222222,0.5,0.053571429
90,0.483,0.059,0.012857143,0.017857143,0.133333333,0.1,0.166666667
91,0.514,0.055,0.038095238,0,0.1,0.1,0
92,0.657,0.055,0.018518519,0.017857143,0.1,0.133333333,0
93,0.606,0.055,0,0,0.1,0.75,0.1
94,0.493,0.043,0.037815126,0.017857143,0.051948052,0.75,0.047619048
95,0.36,0.051,0.011396011,0,0.222222222,0,0.053571429
96,0.421,0.055,0.007389163,0,0.133333333,0.5,0.053571429
97,0.555,0.063,0.005747126,0,0.277777778,0.1,0.166666667
98,0.483,0.055,0.033524904,0.027777778,0,0.1,0.166666667
99,0.616,0.02,0.178571429,0.166666667,0.06993007,0.047619048,0
100,0.709,0.027428,0.112570356,0.266666667,0.016483516,0,0
101,0.647,0.007842,0.102857143,0.303030303,0,0.1,0.053571429
102,0.36,0.0195936,0.16025641,0.266666667,0.022727273,0.1,0.053571429
103,0.092,0.047,0.054824561,0,0,0.5,0
104,0.236,0.043,0.014814815,0.017857143,0,0.75,0
105,0.082,0.039,0,0.017857143,0.025641026,0.75,0.1
106,0.215,0.031,0.018518519,0.017857143,0,0.5,0
107,0.298,0.043,0,0.017857143,0.036363636,0.5,0
108,1.714,0.043,0.089285714,0.027777778,0.277777778,0,0
109,1.55,0.051,0.107085346,0.155844156,0.022727273,0.1,0.095238095
110,1.714,0.039,0.176326531,0.155844156,0.128571429,0,0
111,1.601,0.039,0.117216117,0.128571429,0,0,0
112,1.653,0.031,0.10016835,0.266666667,0.277777778,0,0
113,1.848,0.039,0.110323089,0.05,0.266666667,0,0
114,0.094,0.043,0.107085346,0,0.066666667,0,0.095238095
115,0.154,0.043,0.080952381,0.1,0.030769231,0,0
116,0.113,0.035,0.035772358,0,0.030769231,0,0
117,0.339,0.047,0.025345622,0.068181818,0.060606061,0.1,0.027777778
118,0.493,0.051,0.035772358,0.096153846,0.1,0.1,0.027777778
119,0.349,0.043,0.053366174,0.197802198,0.1,0.1,0
120,0.452,0.031,0.028070175,0.197802198,0,0.171428571,0
121,0.031,0.016,0.056390977,0.214285714,0.054545455,0.1,0.027777778
122,0.442,0.047,0.019323671,0.05,0.036363636,0.5,0.011111111
123,0.544,0.035,0.019323671,0.068181818,0.036363636,0.5,0
124,0.688,0.043,0.016835017,0.068181818,0,0.5,0.027777778
125,0.586,0.047,0.061302682,0.096153846,0.1,0.171428571,0.095238095
126,0.298,0.047,0.058777429,0.178571429,0,0,0
