,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,0.349,0.016,0.692307692,0,0.666666667,0.4,0.333333333
2,0.472,0.043,0.692307692,0,0.333333333,0.5,0
3,0.205,0.036,0.666666667,0,0.4,0.5,0
4,0.082,0.024,0.740740741,0,0.6,0,0
5,0.123,0.028,0.740740741,0.5,0,0,0
6,0.03,0.036,0.827586207,0.5,0,0,0
7,0.072,0.032,0.827586207,0.5,0.571428571,0,0.571428571
8,0.185,0.032,0.827586207,0.8,0.4,0,0
9,0.143,0.071,0.827586207,0.8,1,0,0.571428571
10,0.246,0.071,0.827586207,0.8,0.8,0.5,0.75
11,0.113,0.063,0.866666667,0.8,0.8,0.666666667,0.571428571
12,0.195,0.067,0.857142857,0.5,0.666666667,0.5,0.333333333
13,0.287,0.059,0.846153846,0.5,0.8,0.5,0.571428571
14,0.184,0.055,0.857142857,0.8,1,0,0.571428571
15,0.134,0.075,0.833333333,0.8,0.4,0,0.5
16,0.165,0.071,0.869565217,1,0.5,0,0.571428571
17,0.308,0.071,0.88,0.8,0.5,0,0.75
18,0.257,0.071,0.827586207,0.8,0.5,0,0.4
19,0.144,0.059,0.692307692,0.8,0.666666667,0,0.666666667
20,0.011,0.067,0.866666667,1,0.75,0.4,0.75
21,0.072,0.071,0.903225806,1,0.666666667,0,0.75
22,0.206,0.079,0.866666667,1,0.8,0.5,0.571428571
23,0.134,0.071,0.827586207,0.5,0.545454545,0.5,0.571428571
24,0.267,0.036,0.740740741,0,0.769230769,0.4,0.571428571
25,0.36,0.043428,0.827586207,0,0.769230769,0.4,0.571428571
26,0.298,0.023842,0.827586207,0,0.769230769,0.5,0.571428571
27,0.011,0.0355936,0.785714286,0,0.727272727,0.5,0.571428571
28,0.441,0.063,0.909090909,0.8,0.666666667,0,0.75
29,0.113,0.059,0.888888889,0.8,0.666666667,0,0.571428571
30,0.267,0.055,0.903225806,0.8,0.666666667,0,0.666666667
31,0.564,0.047,0.923076923,0.8,0.666666667,0,0.75
32,0.051,0.059,0.903225806,0.8,0.6,0,0.571428571
33,2.063,0.059,0.785714286,0.8,0.8,0.666666667,0.75
34,1.899,0.067,0.866666667,0.5,0.727272727,0.666666667,0.571428571
35,2.063,0.055,0.785714286,0.5,0.75,0.666666667,0.75
36,1.95,0.055,0.785714286,0,0.545454545,0.666666667,0.75
37,2.002,0.047,0.740740741,0,0.8,0.666666667,0.75
38,2.197,0.055,0.740740741,0.5,0.666666667,0.666666667,0.75
39,0.255,0.059,0.692307692,0,0.769230769,0.666666667,0.571428571
40,0.195,0.059,0.827586207,0,0.769230769,0.666666667,0.75
41,0.236,0.051,0.785714286,0,0.769230769,0.666666667,0.75
