,Z1,Z2,Z3,Z4,Z5,Z7,Z8,Z9,Z11,Z16,Z22,Z26,Z32,Z38,Z39,Z40,Z41,Z44
XH01,7.090909091,8.545454545,0,0.545454545,0.181818182,15.09090909,0,0,0,0,0,0,0,0,8.909090909,0.909090909,0,4.363636364
XH03,0,8.333333333,0,0,6.481481481,15.37037037,0,0,0,0.37037037,0.185185185,0.740740741,0,0,0,0,1.666666667,1.481481481
XH04,0.185185185,6.111111111,0,0,1.759259259,21.75925926,0,0.185185185,0,0,0,0,0,0,0,0,0,0
XH05,0,5.277777778,0,0,4.62962963,14.25925926,0,0.092592593,0,0,0,0,0,0,0,0,0,0
DQH01,1.074074074,0,0.148148148,0,0,5.259259259,0,0.148148148,0,0,0,0.037037037,0,0,0.148148148,0,0,1.62962963
DQH02,0.555555556,0,0,0,0.555555556,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0.185185185
DQH03,0.296296296,0,0,0,0,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0
DQH04,0.148148148,0,0.148148148,0,0.592592593,7.555555556,0,0.296296296,0,0,0,0,0,0,0,0,0,0
DQH05,4.37037037,0,0,0,2.037037037,17.85185185,0,0,0,0,0,0.074074074,0,0,0,0,0,0
QDH01,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.074074074,0
QDH02,0,0,0,0,0,0.074074074,0,0,0,0,0,0.037037037,0,0,0,0,0.037037037,0
QDH06,0,0,0,0,0,0.111111111,0,0.037037037,0,0,0,0,0,0,0,0,0.037037037,0
QDH07,0,0,0,0,0,0.777777778,0,0.148148148,0,0,0,0,0,0,0,0,0,0
QDH08,0,0,0.037037037,0,0,0.407407407,0,0.074074074,0,0,0,0,0,0,0,0,0,0
QDH09,0,0,4.888888889,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0
QD01,0.148148148,0,0,0,0.148148148,4.444444444,0,0,0,0,0,0,0,0.037037037,0,0,0,0
QD02,0.148148148,0,0,0,0,2.444444444,0,0,0,0,0,0,0,0.037037037,0,0,0,0
QD03,0.148148148,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0.185185185,0,0,0,0
QD04,1.185185185,0,0,0,0,1.481481481,0,0,0,0,0,0,0,0.296296296,0,0,0,0
QD05,0.037037037,0,0,0,0,2.518518519,0,0.037037037,0,0,0,0,0,10.44444444,0,0,0,0
NX01,0,0,0,0,0.888888889,0,0,0,3.333333333,0.222222222,0,4.148148148,0,0,0,0,0,1.333333333
NX02,0.592592593,0,0,0,1.037037037,0,0,0,0,0,0,0.148148148,0,0.074074074,0,0,0,0
NX03,0,0,0,0,0.888888889,0,0,0,0.592592593,0,0,2.222222222,0,0,0,0,0,0
NX06,0,0.074074074,0,0,0.148148148,0.148148148,0.148148148,0,0,0,0,0.888888889,0,1.111111111,0,0.222222222,0,0.148148148
SSLJH01,0,1.777777778,9.777777778,0,5.777777778,0,11.11111111,2.222222222,1.333333333,0,0.444444444,6.666666667,0,0,0.888888889,0,0.444444444,0
SSLJH02,0,7.555555556,7.555555556,0,2.666666667,0,19.55555556,3.555555556,2.666666667,0,0,42.66666667,0.888888889,0,4.444444444,0,0,0
SSLJH03,0,1.777777778,0.444444444,0,1.777777778,0,5.777777778,0,0.444444444,0,0,23.55555556,0.444444444,0,1.333333333,0,0,0
SSLJH04,0,4.444444444,2.222222222,0,0.444444444,0,3.555555556,0,2.666666667,0,0,21.77777778,0,0,7.111111111,0,0,0
DZ01,0,0.592592593,0.074074074,0,0,0.148148148,0.148148148,0.666666667,0,0,0,0.296296296,0,0,0.814814815,0,0,0.074074074
DZ02,0,1.037037037,0.148148148,0,0,0.074074074,0.518518519,0.814814815,0,0,0,0.666666667,0,0,0.074074074,0,0,0.148148148
DZ03,0,1.185185185,0.074074074,0,0,0.518518519,0.296296296,1.185185185,0.148148148,0,0,0.37037037,0,0,0.222222222,0,0,0.296296296
DZ04,0,0.592592593,0.222222222,0,0,0.592592593,0.148148148,1.925925926,0,0,0,1.037037037,0,0,0.37037037,0,0,0.740740741
DZ05,0,1.037037037,0.074074074,0,0,1.481481481,0,2.222222222,0,0,0,0.074074074,0,0,0.074074074,0,0,0.222222222
SM01,0,0,0,0,0,0.074074074,9.185185185,0,0,0,0,0.148148148,0,0,0,0,0,0
SM02,0,0.444444444,0.592592593,0,0,0.444444444,8.148148148,0.444444444,0,0,0,0.740740741,0,0,1.333333333,0,0,0
SM03,0,0,0.148148148,0,0,0.148148148,11.25925926,0,0,0,0,1.185185185,0,0,0,0,0,0.296296296
SM04,0,0.296296296,2.222222222,0,0.148148148,0.888888889,32,0,0,0,0,0.296296296,0,0,0.296296296,0,0,0.444444444
SM05,0,0,0,0,0,0.111111111,2.111111111,0,0,0,0,0.111111111,0,0,0,0,0,0
SM06,0,0.296296296,0,0,0,0.740740741,2.37037037,0,0,0,0,0.148148148,0,0,0,0,0,0
TX01,0,0.148148148,1.777777778,0,0,1.037037037,0.296296296,0.740740741,0.296296296,0,0.296296296,0,0.296296296,4.148148148,2.222222222,0,0.148148148,0
TX02,0,0.222222222,0.666666667,0,0,0.444444444,0.222222222,0.444444444,2.222222222,0,0.222222222,0,0.222222222,13.33333333,0.444444444,0,0,0
TX03,0,0.148148148,0.296296296,0,0,1.925925926,0.296296296,0.148148148,0.888888889,0,0.148148148,0,2.222222222,1.037037037,0.148148148,0,0,0
DSH01,0,0.148148148,0,0,0,0.148148148,0,0.296296296,0,0,0,0,0,0,0.148148148,0.148148148,0,0.148148148
DSH02,0,0.148148148,0,0,0,0.296296296,0,0.148148148,0,0,0,0.296296296,0,0,0.444444444,0,0,0.296296296
DSH03,0,0.185185185,0,0,0,0.185185185,0,0.37037037,0,0,0,0.740740741,0,0,1.296296296,0,0,1.111111111
DSH04,0,0.740740741,0,0,0.148148148,0.148148148,0,0.148148148,0,0,0,1.925925926,0,0,1.185185185,0.148148148,0,1.777777778
DSH05,0,1.62962963,0.296296296,0,1.481481481,0.888888889,0,0.148148148,0,0,2.666666667,0,0,0,0.444444444,0,0.148148148,0.444444444
DJS01,0,6.666666667,0.222222222,0,0.222222222,0.444444444,0,0.222222222,0,0,0,1.555555556,0,0,0.888888889,0,0,0
DJS02,0,11.2962963,0.185185185,0,0.185185185,0.185185185,0,0.185185185,0,0,0,0.37037037,0,0,0.185185185,0,0,0
DJS03,0,23.55555556,0.592592593,0,0.148148148,0.148148148,0,0.148148148,0,0,0,3.111111111,0,0,0.296296296,0.148148148,0,0
GZ05,0,0.444444444,0,0,0,1.777777778,10.66666667,2.666666667,0,0,0.148148148,1.037037037,0,0.148148148,0.444444444,0,0.148148148,0.148148148
WSJ01,0,5.333333333,0,0,2.222222222,23.77777778,2.296296296,0,0,0,0,0.148148148,0,0,0.814814815,0,0.296296296,0.222222222
WSJ02,0,2.37037037,0,0,0.296296296,7.555555556,2.814814815,0,0,0,0,0.148148148,0,0,2.666666667,0,0.148148148,0.148148148
WSJ03,0,2.222222222,0,0,0.296296296,1.481481481,3.111111111,0,0,0,0,0.148148148,0,0,0.444444444,0,0.148148148,0.148148148
HCJ01,0,1.259259259,0,0,0.148148148,0.740740741,0.888888889,0,0,0,0,0.148148148,0,0,0.074074074,0,0,0.148148148
HCJ02,0,0.814814815,0,0,0.074074074,0.592592593,0.814814815,0,0,0,0,0.148148148,0,0,0.37037037,0,0,0
HCJ03,0,1.481481481,0,0,0.074074074,0.444444444,1.185185185,0,0,0,0,0.592592593,0,0,0.222222222,0,0,0
HCJ04,0,1.481481481,0,0,0.444444444,1.037037037,0.592592593,0,0,0.148148148,0,0.148148148,0,0,0.740740741,0,0,0.148148148
SK01,0,0,0,0,3.851851852,12.44444444,0.888888889,1.777777778,0,0,0,0,0,0,0,0,0,0.296296296
QSJ01,0,3.259259259,0.148148148,0,29.92592593,42.81481481,0,1.037037037,0.148148148,0,0,5.185185185,0,0,0,0,0.592592593,6.814814815
