"","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023_1","Z023_2","Z023_3","Z024","Z025","Z026","Z027","Z028","Z030","Z032"
"1984/11/7",0,65,0,20.5,0,180,0,0,0,0,3.5,0,0,0,0,0,0
"1984/12/5",0.3,0.6,0,0,0,2.6,0.8,0,0,0,0,0,0,0,0,0,0
"1985/1/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/2/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/3/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/5/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/6/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/7/10",0,1,0,0,0,0,0,0,0,0,79,0,0,0,0,60,0
"1985/8/7",0,45.5,0,0,0,3.5,0,0,0,0,24.5,0,0,0,0,4.5,0
"1985/9/10",0,281,0,171,0,54,0,0,0,0,96,0,0,0,0,7,0
"1985/10/2",0,300.5,0,25.5,0,61,0,0,0,0,32,0,0,0,0,4,0
"1985/11/6",0,279,0,13,0,29,0,0,0,0,5,0,0,0,0,7,0
"1985/12/12",0,54,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0
"1986/1/8",0,5.8,0,0,0,1,5.8,0,0,0,0.3,0,0,0,0,0,0
"1986/2/5",0,0.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
"1986/3/5",0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
"1986/4/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/5/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/6/11",0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0
"1986/7/9",0,8.5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"1986/8/6",0,162,0,0,0,0,0,0,0,0,86.5,0,0,0,0,1,0
"1986/9/10",0,372,0,0,0,59,0,0,0,0,84,0,0,0,0,0,0
"1986/10/9",0,262,0,1.5,0,195.5,0,0,0,0,27.5,0,0,0,0,3.5,0
"1986/11/12",0,229.8,0,0.8,0,11.8,0,0.3,0,0,8.5,0,0,0,0,0,0
