,taxa,class
1,K225,Algae
2,K040,Algae
3,K041,Algae
4,K221,Algae
5,K042,Algae
6,K043,Algae
7,K044,Algae
8,K045,Algae
9,K046,Algae
10,K047,Algae
11,K049,Algae
12,K053,Algae
13,K054,Algae
14,K055,Algae
15,K057,Algae
16,K056,Algae
17,K058,Algae
18,K059,Algae
19,K060,Algae
20,K061,Algae
21,K062,Algae
22,K063,Algae
23,K064,Algae
24,K208,Algae
25,K065,Algae
26,K066,Algae
27,K067,Algae
28,K068,Algae
29,K069,Algae
30,K070,Algae
31,K071,Algae
32,K072,Algae
33,K073,Algae
34,K074,Algae
35,K075,Algae
36,K200,Algae
37,K076,Algae
38,K077,Algae
39,K078,Algae
40,K214,Algae
41,K079,Algae
42,K080,Algae
43,K081,Algae
44,K082,Algae
45,K083,Algae
46,K084,Algae
47,K085,Algae
48,K211,Algae
49,K086,Algae
50,K087,Algae
51,K088,Algae
52,K089,Algae
53,K090_3,Algae
54,K090_1,Algae
55,K090_2,Algae
56,K091,Algae
57,K092,Algae
58,K093,Algae
59,K094,Algae
60,K095,Algae
61,K096,Algae
62,K097,Algae
63,K098,Algae
64,K099,Algae
65,K100,Algae
66,K101,Algae
67,K102,Algae
68,K103,Algae
69,K104,Algae
70,K105,Algae
71,K106,Algae
72,K226,Algae
73,K138,Algae
74,K130,Algae
75,K118,Algae
76,K110,Algae
77,K132,Algae
78,K113,Algae
79,K114,Algae
80,K119,Algae
81,K115,Algae
82,K120,Algae
83,K174,Algae
84,K121,Algae
85,K133,Algae
86,K131,Algae
87,K149,Algae
88,K150,Algae
89,K153,Algae
90,K134,Algae
91,K154,Algae
92,K155,Algae
93,K167,Algae
94,K107,Algae
95,K108,Algae
96,K156,Algae
97,K157,Algae
98,K158,Algae
99,K122,Algae
100,K123,Algae
101,K135,Algae
102,K171,Algae
103,K151,Algae
104,K143,Algae
105,K152,Algae
106,K139,Algae
107,K141,Algae
108,K172,Algae
109,K116,Algae
110,K124,Algae
