,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,0.93,0.031,0.25,0,0.545454545,0,0.166666667
2,0.896,0.056,0.375,0.333333333,0.727272727,0,0.214285714
3,0.929,0.052,0.397058824,0,0.727272727,0,0.214285714
4,0.434,0.045,0.25,0.333333333,0.818181818,0,0.5
5,0.746,0.006,0.036363636,0.333333333,0.909090909,0,0.5
6,0.679,0.003,0.416666667,0.333333333,0,0,0.666666667
7,0.567,0.048,0.416666667,0.133333333,0.068181818,0.1,0.666666667
8,0.917,0.17,0,0.5,0.138461538,0,0.5
9,0.944,0.011,0,0.5,0.138461538,0.2,0.333333333
10,0.589,0.139,0.095238095,0.5,0,0.2,0.333333333
11,0.776,0.035,0.461538462,0,0,0.2,0.333333333
12,0.701,0.048,0.416666667,0.5,0.363636364,0.1,0.333333333
13,0.756,0.064,0.055555556,0.5,0.363636364,0,0.666666667
14,1.091,0.074,0.055555556,0,0.545454545,0.133333333,0.666666667
15,1.09,0.052,0.036363636,0,0.636363636,0,0.5
16,0.768,0.018,0.101010101,0.5,0.297619048,0,0.5
17,0.995,0.022,0.363636364,0,0.727272727,0,0.5
18,0.932,0.013,0.138888889,0,0,0.133333333,0.5
19,0.54,0.001,0.036363636,0.133333333,0.818181818,0.5,0.5
20,0.913,0.289,0.857142857,0.5,0.194444444,0.1,0.5
21,0.52,0.174,0,0.5,0.25,0.25,0.5
22,0.052,0.076,0.714285714,0,0.25,0.2,0.5
23,0.027,0.013,0,0.5,0,0.2,0.5
24,0.393,0.038,0.222222222,0.5,0.363636364,0.1,0.5
25,0.537,0.05,0.15,0,0.636363636,0,0.5
26,0.806,0.042,0.204545455,0.5,0,0,0
27,0.939,0.009,0.138888889,0,0.107142857,0.133333333,0.666666667
28,1.359,0.021,0.095238095,0.5,0.909090909,0.133333333,0.5
29,1.225,0.041,0.083333333,0,0.029166667,0.1,0.5
30,1.283,0.024,0.095238095,0.083333333,0.545454545,0.5,0.5
31,1.046,0.002,0.288461538,0.19047619,0.028571429,0.1,0.5
32,0.241,0.018,0.166666667,0.166666667,0.166666667,0.1,0.5
33,0.549,0.009,0.571428571,0.133333333,0,0.1,0.5
34,0.493,0.014,0,0,0.363636364,0,0.5
35,0.758,0.02,0.204545455,0.083333333,0.363636364,0.75,0.5
