"","1984/11/7","1984/12/5","1985/1/9","1985/2/6","1985/3/6","1985/5/8","1985/6/12","1985/7/10","1985/8/7","1985/9/10","1985/10/2","1985/11/6","1985/12/12","1986/1/8","1986/2/5","1986/3/5","1986/4/9","1986/5/7","1986/6/11","1986/7/9","1986/8/6","1986/9/10","1986/10/9","1986/11/12","1986/12/10","1987/1/7","1987/3/4","1987/4/15","1987/5/13","1987/6/10","1987/7/8","1987/8/5","1987/9/9","1987/10/14","1987/11/11","1987/12/9","1988/1/13","1988/2/10","1988/3/9","1988/6/8","1988/7/13","1988/8/10","1988/9/14","1988/10/12","1988/11/9","1988/12/7","1989/1/11","1989/2/8","1989/4/12","1989/5/10","1989/6/14","1989/7/12","1989/8/9","1989/9/6","1989/10/11","1989/12/13","1990/1/10","1990/2/7","1990/3/14","1990/4/11","1990/5/9","1990/6/13","1990/7/11","1990/8/8","1990/9/12","1990/11/7","1990/12/12","1991/1/9","1991/2/6","1991/3/13","1991/4/10","1991/5/8","1991/6/12","1991/7/10","1991/8/7","1991/9/11","1991/10/9","1991/11/13","1991/12/11","1992/1/8","1992/2/5","1992/3/11","1992/4/8","1992/5/6","1992/6/10","1992/7/8","1992/8/5","1992/9/9","1992/10/7","1992/11/11","1992/12/9","1993/1/6","1993/2/10","1993/3/10","1993/4/7","1993/5/12","1993/6/8","1993/7/7","1993/8/11","1993/9/8","1993/10/6","1993/11/10","1993/12/8","1994/1/12","1994/2/9","1994/3/9","1994/4/6","1994/5/11","1994/6/8","1994/8/10","1994/9/7","1994/10/12","1994/11/9","1994/12/7","1995/1/11","1995/2/8","1995/3/8","1995/4/12","1995/5/10","1995/6/7","1995/7/12","1995/8/9","1995/9/6","1995/10/4","1995/11/8","1995/12/6","1996/4/3","1996/5/8","1996/6/12","1996/8/7","1996/9/11","1996/10/8","1996/11/6","1996/12/11","1997/1/8","1997/2/12","1997/3/12","1997/4/9","1997/5/7","1997/6/11","1997/7/9","1997/8/6","1997/9/10","1997/10/8","1997/11/12","1997/12/10","1998/1/7","1998/2/12","1998/3/12","1998/4/8","1998/5/13","1998/6/10","1998/7/8","1998/8/12","1998/9/9","1998/10/7","1998/11/11","1998/12/9","1999/1/13","1999/2/9","1999/3/10","1999/4/7","1999/5/12","1999/6/9","1999/7/7","1999/8/11","1999/9/8","1999/10/13","1999/11/10","1999/12/8","2000/1/12","2000/2/9","2000/3/8","2000/4/12","2000/5/10","2000/6/7","2000/7/12","2000/8/9","2000/9/13","2000/10/11","2000/11/8","2000/12/13","2001/1/10","2001/2/7","2001/3/7","2001/4/11","2001/5/9","2001/6/13","2001/7/11","2001/8/8","2001/9/12","2001/11/7","2001/12/12","2002/1/9","2002/2/13","2002/3/13","2002/4/10","2002/5/8","2002/6/12","2002/7/10","2002/8/7","2002/9/11","2002/10/9","2002/11/13","2002/12/11","2003/1/8","2003/2/12","2003/3/12","2003/4/10","2003/5/7","2003/6/11","2003/7/9","2003/8/13","2003/9/10","2003/10/8","2003/11/12","2003/12/10","2004/1/7","2004/2/10","2004/3/10","2004/4/7","2004/5/12","2004/6/9","2004/7/7","2004/8/11","2004/9/9","2004/10/14","2004/11/10","2004/12/8","2005/1/12","2005/2/9","2005/3/9","2005/4/13","2005/5/11","2005/6/8","2005/7/13","2005/8/10","2005/9/8","2005/10/12","2005/11/9","2005/12/7","2006/1/11","2006/2/8","2006/3/8","2006/4/12","2006/5/10","2006/6/7","2006/7/12","2006/8/9","2006/9/13","2006/10/11","2006/11/8","2006/12/13","2007/1/10","2007/2/7","2007/3/7","2007/4/11","2007/5/9","2007/6/13","2007/7/11","2007/8/8","2007/10/10","2007/11/7","2007/12/12","2008/1/9","2008/2/13","2008/3/12","2008/5/7","2008/6/11","2008/7/9","2008/8/6","2008/9/10","2008/10/8","2008/11/12","2008/12/10","2009/1/7","2009/2/12","2009/3/12","2009/4/8","2009/5/13","2009/6/10","2009/8/12","2009/9/9","2009/10/7","2009/11/11","2009/12/9","2010/1/14","2010/2/10","2010/3/10","2010/4/7","2010/5/12","2010/6/9","2010/7/7","2010/8/18","2010/9/8","2010/10/13","2010/11/10","2010/12/8","2011/1/12","2011/2/9","2011/3/9","2011/4/13","2011/5/11","2011/6/8","2011/7/6","2011/8/10","2011/9/7","2011/10/12","2011/11/9","2011/12/7","2012/1/11","2012/2/8","2012/3/7"
"Z002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,5.4,2.5,2.4,20.2,4.1,0,0,0,0,0,0,10.8,0,10.1,3.5,4.5,0.1,0,0,0,0,0,0,19.1,9.4,10.4,9.6,2.6,1.3,0,0,0,0,0,1.8,7,1.5,0,10.3,0,2.1,0,0,0,0,0,0,0,0,6.9,4.4,9.8,3,0,0,0,0,0,18.2,6.4,6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z003",3,1,0,0,0,0,0,0,0,4.5,1.5,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.4,5.3,2.6,3.8,0,0,0,0,0,0.2,10.9,7.8,2.1,3.8,2.3,0.3,0,0.1,0,0,0,0.1,58.5,23.4,14.5,7.4,0.5,6.5,0,0,0,0,0,0,4.5,5.5,22.3,3.2,1.3,2.2,0,0,0,0,0,0,0,4.3,0,5.9,3.5,1.2,0,0,0,0,0,0,0,3.8,1.2,5.7,3.1,0,0,0,0,0,26.8,20.1,0,0,3.8,1.9,0,0,0,0,0,0,0,0,5.5,13,2.3,0,0,0.2,0,0,0.4,13.4,0,0,0,1.2,2.3,0.3,0,0,0,0,0,0,1.5,0.6,0,0.5,0,0,0,0
"Z004",0.5,1.5,0,0,1,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z005",8.5,0.8,0,0,0,0.3,0,0.8,3,20,6,9.5,1,0,0,0.3,0,3,4,0,10,4,22.5,7,0.3,0,0,0,0.8,11.3,33,12,3.3,4.5,34.8,10,0.5,0,0.5,13.3,57.3,14,10.5,50,10.5,1.5,0.5,0,0.3,1.3,0.3,25.5,11,16.5,13,0.5,0,0,0,0,0.5,2.5,92,18,1,13,2,0,0,0,0,0,0,23.5,52,22,8,1,2,0,0,0,0.5,0,12.5,125,85,9,17,9,0.5,0,0,0,7.5,0,0,0,85,15,37.5,12.5,15.6,3.1,0,2.5,0,0,15,0,0,30,12.5,2.5,0,0,0,0,0,47.5,25,12.5,27.5,25,25,0,0,0,56.9,6.5,26.5,13.2,2,0,0,0,0,0,0.1,6,52.2,16.6,8.5,3.5,1.6,0,0,0,0,0,0,0.4,28.7,7.7,5.2,0,6.7,0,0,0,0,0,1.3,24.5,5.4,6,8.9,40.6,0,21.7,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,1.1,31.6,14.9,8.9,2.1,0.9,0,0,0,0,0,0,1.1,163.2,3.5,8.5,1.1,0,0,0,0,0,0,0,2.7,56.1,6.5,10.6,3.9,0.2,0,0,0,0,0,0,0.3,77.1,8.9,25.4,4.3,1.2,0,0,0,0,0,0,0,50,24.9,11.9,5.3,4.7,0,0,0,0,0,0,1.6,9.6,20.2,2.3,12.9,4.7,0,0,0,0,0,0,0,16.4,15.3,10.5,11.5,0.9,0,0,0,0,13.1,38,14.4,4.5,8.1,2.2,0,0,0,0,0,0,3.7,0,4.8,5.5,10.6,0.4,0,0,0,0,0,2.1,3.8,0,0,6.2,7,0,0,0,0,0,0,6.4,6.4,0,4.6,19.6,6.4,0.2,0.1,0,0
"Z006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,9.1,2.1,4.6,18.3,7,3.2,2.6,8.5,8.5,6.8,0.9,2.4,0.7,0.6,5.1,5.3,8.9,12.4,7.1,11.9,13.7,2.5,6.2,2.6,5.5,3.2,2.6,7.4,5.3,4.8,4.5,4.3,2.6,2.3,6.4,7.3,1.1,0.3,1.5,0.9,10.3,0,2.7,10,4.7,5.7,12.4,7.4,0,0.2,3.8,4.1,0,0.6,5.1,9.6,7.7,7.7,7.2,2.1,2.9,0,43.2,6.4,3.4,5.7,1.6,1.9,3.4,0,0,0,0,0,0,4.3,0,0,0,0,0,0,2.9,0,0,0,2.1,6,1.8,0.9,0.1,0,0,0,0.2,0.1,0,14.3,10.7,0.5,0.2,0.6,2.1,1.7,0.6,0,0,0,2.2,0,8.9,1.1,0,0.8,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"Z007",6.5,5,0,0,0.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.7,5.7,5.3,8.1,1.6,2.1,0,0,0,0,0.1,0.2,1.1,0.2,0,0.1,0,0.2,0,0,0,0,0.1,8,5.3,3.4,3,6.9,3.4,6.2,0,0,0,0,0,2.6,7.7,9.6,10.5,4.7,7.4,2.4,0,0,0,0,18.7,6.4,4.1,5.6,1,10.5,9.7,4,0,0,0,1,4.9,5.6,2.8,6.9,8,0,0,0,0,0,0.7,5.9,5.9,1.4,0.6,3.3,7.6,8.4,0,0,0,0,2.9,2.6,3.9,4.3,6.9,7,3.5,0,0,0,0,0,0,3.3,3.1,2.9,5.9,9.9,0,0,0,0,0,0,0,0.7,1.8,0.1
"Z008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,0.7
"Z009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,1.3,4.7,1,0,0,0,0,0,0,0,2.9,6.7,0,0,0,0,0,0,0,0,0,19.7,3.2,1.4,0,0,0,0,0,0,0,0,0,6.7,8,0,0.6,0,0,0,0,1.3,0,0,19.1,11.9,4.8,1.3,0,0,0,0,0.5
"Z011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z010",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.5,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,0,0,0,0,1.4,2.4,0,0,0,0,0,0,0,0,0,2.7,9.3,1.5,0.4,0,0,0,0,0,0,0,0,0,1.3,1.8,0,0,0,0
