"","K225","K040","K041","K221","K042","K043","K044","K045","K046","K047","K049","K053","K054","K055","K057","K056","K058","K059","K060","K061","K062","K063","K064","K208","K065","K066","K067","K068","K069","K070","K071","K072","K073","K074","K075","K200","K076","K077","K078","K214","K079","K080","K081","K082","K083","K084","K085","K211","K086","K087","K088","K089","K090_3","K090_1","K090_2","K091","K092","K093","K094","K095","K096","K097","K098","K099","K100","K101","K102","K103","K104","K105","K106","K226","K138","K130","K118","K110","K132","K113","K114","K119","K115","K120","K174","K121","K133","K131","K149","K150","K153","K134","K154","K155","K167","K107","K108","K156","K157","K158","K122","K123","K135","K171","K151","K143","K152","K139","K141","K172","K116","K124","K125","K202","K159","K111","K144","K142","K126","K173","K145","K146","K168","K177","K140","K148","K169","K117","K160","K147","K109","K127","K217","K128","K161","K112","K212","K136","K137","K176","K162","K163","K129","K166","K164","K170","K205","K165"
"1984/11/7",0,0,0,0,0,979484,0,0,0,0,0,0,21338958,0,0,16545806,0,301541,0,0,0,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,100486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721210,0,54255,0,0,0,0,0,0,0,0,0,0,0,0,200347,0,0,0,1042907,0,0,0,0,0,10461,0,0,0
"1984/12/5",0,0,0,0,0,323572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50846,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,50243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310413,0,0,0,0,0,2589604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865848,0,27221,0,0,0,0,0,0,0,0,0,0,0,0,32693,0,0,0,0,0,0,0,0,0,26171,0,0,0
"1985/1/9",0,0,0,0,0,166141,0,0,0,0,0,0,563176,0,0,0,0,241067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117465,0,241808,0,0,0,0,0,0,0,0,0,0,6294,0,0,0,0,0,0,0,0,0,0,0,815550,0,0,0,0,0,649626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,0,0,0,9935,0,10461,0,0,0
"1985/2/6",0,0,0,0,0,183680,0,0,0,0,0,0,0,0,0,0,0,542608,0,0,0,0,0,0,0,123533,0,0,0,0,0,0,0,0,0,0,2154253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117465,0,484725,0,0,0,0,0,0,0,0,0,0,15691,0,0,0,0,0,0,0,0,0,0,0,406842,0,0,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9336,0,0,0,0,0,0,0,0,0,10461,0,0,11343
"1985/3/6",0,0,0,0,0,183680,0,0,0,0,0,0,0,0,0,191674,0,1809246,0,0,0,0,0,0,0,446748,0,0,0,0,0,0,0,0,0,0,6012637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406365,0,1130285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2174177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/5/8",0,0,0,0,0,874550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936504,0,1292229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224230,0,0,0,0,0,0,0,554865,0,62803,0,0,0
"1985/6/12",0,0,0,0,0,647143,0,0,0,0,0,0,0,0,0,0,0,241067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9336,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/7/10",0,0,0,0,0,2173281,0,0,0,0,0,0,0,0,0,0,0,4342521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28025,0,0,0,0,0,0,0,0,0,10461,0,0,0
"1985/8/7",0,0,0,0,0,39343,0,0,0,0,0,0,563176,0,0,191674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726532,0,0,0,304059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543078,0,0,0,0,0,0,76250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108509,0,0,0,0,0,0,0,0,0,0,0,0,159096,15200,0,0,0,0,0,0,0,0,0,0,0,0
"1985/9/10",0,0,0,0,0,21864,0,0,0,0,0,0,2808164,0,0,919652,4529448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
