"","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013"
"1984/11/7",0,3,0.5,8.5,0,6.5,0,0,0,2,0,55.5,105.5
"1984/12/5",0,1,1.5,0.8,0,5,0,0,0,0,0,18,49.3
"1985/1/9",0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/2/6",0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/3/6",0,0,1,0,0,0.5,0,0,0,0,0,11.5,19.5
"1985/5/8",0,0,0.3,0.3,0,0.8,0,0,0,0,0,10.5,19.3
"1985/6/12",0,0,0,0,0,0,0,0,0,0,0,0,11.3
"1985/7/10",0,0,0.3,0.8,0,0,0,0,0,0,0,1,15
"1985/8/7",0,0,0,3,0,0,0,0,0,0,0,115.5,147.5
"1985/9/10",0,4.5,0,20,0,0,0,0,0,0,0,27,121.5
"1985/10/2",0,1.5,0,6,0,0,0,0,0,0,0,27,58.5
"1985/11/6",0,6.5,0,9.5,0,0,0,0,0,0,0,62.5,80
"1985/12/12",0,1,0,1,0,0,0,0,0,0,0,17,16
"1986/1/8",0,0,0,0,0,0,0,0,0,0,0,13.5,33.5
"1986/2/5",0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/3/5",0,0,0,0.3,0,0,0,0,0,0,0,28.8,124.3
"1986/4/9",0,0,0,0,0,0,0,0,0,0,0,39.5,162.3
"1986/5/7",0,0,0,3,0,0,0,0,0,0,0,50,57.5
"1986/6/11",0,0,0,4,0,0,0,0,0,0,0,1,17.3
"1986/7/9",0,0,0,0,0,0,0,0,0,0,0,0.5,19.5
"1986/8/6",0,0,0,10,0,0,0,0,0,0,0,3,24
"1986/9/10",0,0,0,4,0,0,0,0,0,0,0,3,40.5
"1986/10/9",0,0,0,22.5,0,0,0,0,0,0,0,28.5,88.5
"1986/11/12",0,0,0,7,0,0,0,0,0,0,0,30,23
"1986/12/10",0,0,0,0.3,0,0,0,0,0,0,0,5.5,43.5
"1987/1/7",0,0,0,0,0,0,0,0,0,0,0,2,7.3
"1987/3/4",0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/4/15",0,0,0,0,0,0,0,0,0,0,0,19.8,23.8
"1987/5/13",0,0,0,0.8,0,0,0,0,0,0,0,7.6,12.6
"1987/6/10",0,0,0,11.3,0,0,0,0,0,0,0,0.5,11
"1987/7/8",0,0,0,33,0,0,0,0,0,0,0,0,72.8
"1987/8/5",0,0,0,12,0,0,0,0,0,0,0,9,64
"1987/9/9",0,0,0,3.3,0,0,0,0,0,0,0,37.3,36.5
"1987/10/14",0,0,0,4.5,0,0,0,0,0,0,0,39.5,95.5
"1987/11/11",0,0,0,34.8,0,0,0,0,0,0,0,24.8,9.3
"1987/12/9",0,0,0,10,0,0,0,0,0,0,0,8.3,15.8
"1988/1/13",0,0,0,0.5,0,0,0,0,0,0,0,20.3,87.8
"1988/2/10",0,0,0,0,0,0,0,0,0,0,0,64,113.5
"1988/3/9",0,0,0,0.5,0,0,0,0,0,0,0,24.3,58.8
"1988/6/8",0,0,0,13.3,0,0,0,0,0,0,0,1.5,8.8
"1988/7/13",0,0,0,57.3,0,0,0,0,0,0,0,4.5,311.5
"1988/8/10",0,0,0,14,0,0,0,0,0,0,0,26,256.5
"1988/9/14",0,0,0,10.5,0,0,0,0,0,0,0,50,185
"1988/10/12",0,0,0,50,0,0,0,0,0,0,0,33,280
"1988/11/9",0,0,0,10.5,0,0,0,0,0,0,0,54,92
"1988/12/7",0,0,0,1.5,0,0,0,0,0,0,0,40.5,102
"1989/1/11",0,0,0,0.5,0,0,0,0,0,0,0,10.5,95
"1989/2/8",0,0,0,0,0,0,0,0,0,0,0,1.5,17
"1989/4/12",0,0,0,0.3,0,0,0,0,0,0,0,37.3,69.3
"1989/5/10",0,0,0,1.3,0,0,0,0,0,0,0,21.8,54.8
"1989/6/14",0,0,0,0.3,0,0,0,0,0,0,0,0,4.3
"1989/7/12",0,0,0,25.5,0,0,0,0,0,0,0,6.3,199.8
"1989/8/9",0,0,0,11,0,0,0,0,0,0,0,4,151
"1989/9/6",0,0,0,16.5,0,0,0,0,0,0,0,28.5,99.5
"1989/10/11",0,0,0,13,0,0,0,0,0,0,0,18,90
"1989/12/13",0,0,0,0.5,0,0,0,0,0,0,0,13,28
"1990/1/10",0,0,0,0,0,0,0,0,0,0,0,11,69
"1990/2/7",0,0,0,0,0,0,0,0,0,0,0,7,31
"1990/3/14",0,0,0,0,0,0,0,0,0,0,0,11.5,72.5
"1990/4/11",0,0,0,0,0,0,0,0,0,0,0,32,152.5
"1990/5/9",0,0,0,0.5,0,0,0,0,0,0,0,23.5,72.5
"1990/6/13",0,0,0,2.5,0,0,0,0,0,0,0,0,106
"1990/7/11",0,0,0,92,0,0,0,0,0,0,0,0,167
"1990/8/8",0,0,0,18,0,0,0,0,0,0,0,0,109
"1990/9/12",0,0,0,1,0,0,0,0,0,0,0,52,60
"1990/11/7",0,0,0,13,0,0,0,0,0,0,0,45,108
"1990/12/12",0,0,0,2,0,0,0,0,0,0,0,26.5,13
"1991/1/9",0,0,0,0,0,0,0,0,0,0,0,37,73
"1991/2/6",0,0,0,0,0,0,0,0,0,0,0,29,47
"1991/3/13",0,0,0,0,0,0,0,0,0,0,0,22.5,66
"1991/4/10",0,0,0,0,0,0,0,0,0,0,0,17.5,89
"1991/5/8",0,0,0,0,0,0,0,0,0,0,0,22,54.5
"1991/6/12",0,0,0,0,0,0,0,0,0,0,0,0.5,1.5
"1991/7/10",0,0,0,23.5,0,0,0,0,0,0,0,9,82.5
"1991/8/7",0,0,0,52,0,0,0,0,0,0,0,23,100
"1991/9/11",0,0,0,22,0,0,0,0,0,0,0,72,173
"1991/10/9",0,0,0,8,0,0,0,0,0,0,0,16,112
"1991/11/13",0,0,0,1,0,0,0,0,0,0,0,14,60
"1991/12/11",0,0,0,2,0,0,0,0,0,0,0,22,64
"1992/1/8",0,0,0,0,0,0,0,0,0,0,0,16,58
"1992/2/5",0,0,0,0,0,0,0,0,0,0,0,49,47
"1992/3/11",0,0,0,0,0,0,0,0,0,0,0,19,62
"1992/4/8",0,0,0,0.5,0,0,0,0,0,0,0,22,69
"1992/5/6",0,0,0,0,0,0,0,0,0,0,0,20,128
"1992/6/10",0,0,0,12.5,0,0,0,0,0,0,0,10.5,33
"1992/7/8",0,0,0,125,0,0,0,0,0,0,0,1,116
"1992/8/5",0,0,0,85,0,0,0,0,0,0,0,10,164
"1992/9/9",0,0,0,9,0,0,0,0,0,0,0,20,98
"1992/10/7",0,0,0,17,0,0,0,0,0,0,0,58,251
"1992/11/11",0,0,0,9,0,0,0,0,0,0,0,23,16
"1992/12/9",0,0,0,0.5,0,0,0,0,0,0,0,185.5,6
"1993/1/6",0,0,0,0,0,0,0,0,0,0,0,13.1,5.6
"1993/2/10",0,0,0,0,0,0,0,0,0,0,0,17.5,82.5
"1993/3/10",0,0,0,0,0,0,0,0,0,0,0,47.5,107.5
"1993/4/7",0,0,0,7.5,0,0,0,0,0,0,0,43.1,88.1
"1993/5/12",0,0,0,0,0,0,0,0,0,0,0,42.5,75
"1993/6/8",0,0,0,0,0,0,0,0,0,0,0,12.5,22.5
"1993/7/7",0,0,0,0,0,0,0,0,0,0,0,0,0
"1993/8/11",0,0,0,85,0,0,0,0,0,0,0,0,115
"1993/9/8",0,0,0,15,0,0,0,0,0,0,0,15,180
"1993/10/6",0,0,0,37.5,0,0,0,0,0,0,0,45,185
"1993/11/10",0,0,0,12.5,0,0,0,0,0,0,0,37.5,92.5
"1993/12/8",0,0,0,15.6,0,0,0,0,0,0,0,31.3,43.8
"1994/1/12",0,0,0,3.1,0,0,0,0,0,0,0,18.8,25
"1994/2/9",0,0,0,0,0,0,0,0,0,0,0,47.5,22.5
"1994/3/9",0,0,0,2.5,0,0,0,0,0,0,0,30,20
"1994/4/6",0,0,0,0,0,0,0,0,0,0,0,125,142.5
"1994/5/11",0,0,0,0,0,0,0,0,0,0,0,45,93.8
"1994/6/8",0,0,0,15,0,0,0,0,0,0,0,50,122.5
"1994/8/10",0,0,0,0,0,0,0,0,0,0,0,100,172.5
"1994/9/7",0,0,0,0,0,0,0,0,0,0,0,90,245
"1994/10/12",0,0,0,30,0,0,0,0,0,0,0,70,190
"1994/11/9",0,0,0,12.5,0,0,0,0,0,0,0,62.5,85
"1994/12/7",0,0,0,2.5,0,0,0,0,0,0,0,17.5,57.5
"1995/1/11",0,0,0,0,0,0,0,0,0,0,0,32.5,77.5
"1995/2/8",0,0,0,0,0,0,0,0,0,0,0,0,0
"1995/3/8",0,0,0,0,0,0,0,0,0,0,0,27.5,125
"1995/4/12",0,0,0,0,0,0,0,0,0,0,0,62.5,170
"1995/5/10",0,0,0,0,0,0,0,0,0,0,0,55,370
"1995/6/7",0,0,0,47.5,0,0,0,0,0,0,0,55,220
"1995/7/12",0,0,0,25,0,0,0,0,0,0,0,3.1,300
"1995/8/9",0,0,0,12.5,0,0,0,0,0,0,0,20,145
"1995/9/6",0,0,0,27.5,0,0,0,0,0,0,0,30,250
"1995/10/4",0,0,0,25,0,0,0,0,0,0,0,25,184.4
"1995/11/8",0,0,0,25,0,0,0,0,0,0,0,6.3,46.9
"1995/12/6",0,0,0,0,0,0,0,0,0,0,0,0,0
"1996/4/3",0,0,0,0,7.9,0,0,0,0,0,0,46.8,278.9
"1996/5/8",0,0,0,0,9.1,0,0,0,0,0,0,27.7,213.4
"1996/6/12",3.4,0,0,56.9,2.1,0,0,0,0,0,0,56.4,140.3
"1996/8/7",5.4,0,0,6.5,4.6,0,0,0,0,0,0,46.8,371.9
"1996/9/11",2.5,0,0,26.5,18.3,0,0,0,0,0,0,91.7,123.1
"1996/10/8",2.4,0,0,13.2,7,0,0,0,0,0,0,34.9,185.5
"1996/11/6",20.2,0,0,2,3.2,0,0,0,0,0,0,21.7,39.4
"1996/12/11",4.1,0,0,0,2.6,0,0,0,0,0,0,12.8,32.9
"1997/1/8",0,0,0,0,8.5,0,0,0,0,0,0,23.1,67.2
"1997/2/12",0,0,0,0,8.5,0,0,0,0,0,0,23.1,96
"1997/3/12",0,0,0,0,6.8,0,0,0,0,0,0,16.6,90.4
"1997/4/9",0,0,0,0,0.9,0,0,0,0,0,0,5.5,38.5
"1997/5/7",0,0,0,0.1,2.4,0,0,0,0,0,0,6.4,95.7
"1997/6/11",0,0,0,6,0.7,0,0,0,0,0,0,22,155.7
"1997/7/9",10.8,0,0,52.2,0.6,0,0,0,0,0,0,0,80
"1997/8/6",0,0,0,16.6,5.1,0,0,0,0,0,0,108.5,353.6
"1997/9/10",10.1,0,0,8.5,5.3,0,0,0,0,0,0,36.2,250
"1997/10/8",3.5,0,0,3.5,8.9,0,0,0,0,0,0,23.8,102.5
"1997/11/12",4.5,0,0,1.6,12.4,0,0,0,0,0,0,43.4,83.3
"1997/12/10",0.1,0,0,0,7.1,0,0,0,0,0,0,10.5,27.4
"1998/1/7",0,0,0,0,11.9,0,0,0,0,0,0,9.6,67
"1998/2/12",0,0,0,0,13.7,0,0,0,0,0,0,11.7,74.5
"1998/3/12",0,0,0,0,2.5,0,0,0,0,0,0,6.1,39.1
"1998/4/8",0,0,0,0,6.2,0,0,0,0,0,0,13.3,75.7
"1998/5/13",0,0,0,0,2.6,0,0,0,0,0,0,8.3,70.9
"1998/6/10",0,0,0,0.4,5.5,0,0,0,0,0,0,63.8,174.5
"1998/7/8",19.1,0,0,28.7,3.2,0,0,0,0,0,0,0,459.6
"1998/8/12",9.4,0,0,7.7,2.6,0,0,0,0,0,0,4.3,109.8
"1998/9/9",10.4,0,0,5.2,7.4,0,0,0,0,0,0,52.9,168.3
"1998/10/7",9.6,0,0,0,5.3,0,0,0,0,0,0,22.3,204.3
"1998/11/11",2.6,0,0,6.7,4.8,0,0,0,0,0,0,10.4,32.4
"1998/12/9",1.3,0,0,0,4.5,0,0,0,0,0,0,8.3,63.2
"1999/1/13",0,0,0,0,4.3,0,0,0,0,0,0,5.7,33.6
"1999/2/9",0,0,0,0,2.6,0,0,0,0,0,0,4.9,50.4
"1999/3/10",0,0,0,0,2.3,0,0,0,0,0,0,14.2,69.5
"1999/4/7",0,0,0,0,6.4,0,0,0,0,0,0,22,96.7
"1999/5/12",0,0,0,1.3,7.3,0,0,0,0,0,0,23.9,99.3
"1999/6/9",1.8,0,0,24.5,1.1,0,0,0,0,0,0,9.2,256
"1999/7/7",7,0,0,5.4,0.3,0,0,0,0,0,0,0.6,126.1
"1999/8/11",1.5,0,0,6,1.5,0,0,0,0,0,0,3,52.6
"1999/9/8",0,0,0,8.9,0.9,0,0,0,0,0,0,10.2,234.5
"1999/10/13",10.3,0,0,40.6,10.3,0,0,0,0,0,0,1.4,81.2
"1999/11/10",0,0,0,0,0,0,0,0,0,0,0,0,16.2
"1999/12/8",2.1,0,0,21.7,2.7,0,0,0,0,0,0,4,48.9
"2000/1/12",0,0,0,0,10,0,0,0,0,0,0,7.7,59.4
"2000/2/9",0,0,0,0,4.7,0,0,0,0,0,0,12.9,105.3
"2000/3/8",0,0,0,0,5.7,0,0,0,0,0,0,15.1,86.9
"2000/4/12",0,0,0,0,12.4,0,0,0,0,0,0,20.7,148.7
"2000/5/10",0,0,0,0,7.4,0,0,0,0,0,0,18.2,79.7
"2000/6/7",0,0,0,0,0,0,0,0,0,0,0,0,0
"2000/7/12",0,0,0,0,0.2,0,0,0,0,0,0,0.3,10.4
"2000/8/9",0,0,0,0,3.8,0,0,0,0,0,0,11.1,35.3
"2000/9/13",6.9,0,0,12.4,4.1,0,0,0,0,0,0,23.5,185.3
"2000/10/11",4.4,0,0,0,0,0,0,0,0,0,0,1.8,190.5
"2000/11/8",9.8,0,0,0,0.6,0,0,0,0,0,0,10.3,21.3
"2000/12/13",3,0,0,0,5.1,0,0,0,0,0,0,4,44.5
"2001/1/10",0,0,0,0,9.6,0,0,0,0,0,0,26.3,129.3
"2001/2/7",0,0,0,0,7.7,0,0,0,0,0,0,13.6,51.9
"2001/3/7",0,0,0,0,7.7,0,0,0,0,0,0,7.7,93.8
"2001/4/11",0,0,0,0,7.2,0,0,0,0,0,0,28.6,122.3
"2001/5/9",0,0,0,1.1,2.1,0,0,0,0,0,0,6.4,70.2
"2001/6/13",18.2,0,0,31.6,2.9,0,0,0,0,0,0,8.7,207.3
"2001/7/11",6.4,0,0,14.9,0,0,0,0,0,0,0,0,84
"2001/8/8",6,0,0,8.9,43.2,0,0,0,0,0,0,67,156.4
"2001/9/12",1.1,0,0,2.1,6.4,0,0,0,0,0,0,27.7,152.1
"2001/11/7",0,0,0,0.9,3.4,0,0,0,0,0,0,10.2,33.2
"2001/12/12",0,0,0,0,5.7,0,0,0,0,0,0,7.3,29.4
"2002/1/9",0,0,0,0,1.6,0,0,0,0,0,0,4.4,29.1
"2002/2/13",0,0,0,0,1.9,0,0,0,0,0,0,1.9,41
"2002/3/13",0,0,0,0,3.4,0,0,0,0,0,0,7.7,54.5
"2002/4/10",0,0,0,0,0,4,0,0,0,0,0,1.2,34.3
"2002/5/8",0,0,0,0,0,0,0,0,0,0,0,1.8,6.2
"2002/6/12",0,0,0,1.1,0,0,0,0,0,0,0,0,2.1
"2002/7/10",0,0,20.7,163.2,0,0,0,0,0,0,0,0,76.1
"2002/8/7",0,2.3,0,3.5,0,0,0,0,0,0,0,2.3,159.1
"2002/9/11",0,3.4,0,8.5,0,0,0,0,0,0,0,8.5,323.4
"2002/10/9",0,5.3,0,1.1,4.3,0,0,0,0,0,0,16,148.9
"2002/11/13",0,2.6,0,0,0,0,0,0,0,0,0,6.3,13.1
"2002/12/11",0,3.8,0,0,0,0,0,0,0,0,0,1.9,8.2
"2003/1/8",0,0,0,0,0,0.7,0,0,0,0,0,9,35.6
"2003/2/12",0,0,0,0,0,5.7,0,0,0,0,0,5.7,61.3
"2003/3/12",0,0,0,0,0,5.3,0,0,0,0,0,19.1,75.3
"2003/4/10",0,0,0,0,0,8.1,0,0,0,0,0,15.1,64.8
"2003/5/7",0,0,0,0,2.9,1.6,0,0,0,0,0,12.2,35.6
"2003/6/11",0,0.2,0,2.7,0,2.1,0,0,0,0,0,10.9,52.7
"2003/7/9",0,10.9,0,56.1,0,0,0,0,0,0,0,0,289.4
"2003/8/13",0,7.8,0,6.5,0,0,0,0,0,0,0,1.6,50.9
"2003/9/10",0,2.1,0,10.6,2.1,0,0,0,0,0,0,7.4,51.1
"2003/10/8",0,3.8,0,3.9,6,0,0,0,0,0,0,14.8,97
"2003/11/12",0,2.3,0,0.2,1.8,0.1,0,0,0,0,0,2.3,5.5
"2003/12/10",0,0.3,0,0,0.9,0.2,0,0,0,0,0,0.7,5.3
"2004/1/7",0,0,0,0,0.1,1.1,0,0,0,0,0,1.2,5.1
"2004/2/10",0,0.1,0,0,0,0.2,0,0,0,0,0,0.6,5.3
"2004/3/10",0,0,0,0,0,0,0,0,0,0,0,50.2,364
"2004/4/7",0,0,0,0,0,0.1,0,0,0,0,0,0.4,5
"2004/5/12",0,0,0,0,0.2,0,0,0,0,0,0,1.3,3.4
"2004/6/9",0,0.1,0.1,0.3,0.1,0.2,0,0,0,0,0,0.5,22
"2004/7/7",0,58.5,5.3,77.1,0,0,0,0,0,0,0,0,202.1
"2004/8/11",0,23.4,0,8.9,14.3,0,0,0,0,0,0,29.1,449.6
"2004/9/9",0,14.5,0,25.4,10.7,0,0,0,0,0,0,43.4,162.1
"2004/10/14",0,7.4,0,4.3,0.5,0,0,0,0,0,0,9.4,42.3
"2004/11/10",0,0.5,0,1.2,0.2,0.1,0,0,0,0,0,3.4,3.8
"2004/12/8",0,6.5,0,0,0.6,8,0,0,0,0,0,9.6,51.9
"2005/1/12",0,0,0,0,2.1,5.3,0,0,0,0,0,13.8,96.8
"2005/2/9",0,0,0,0,1.7,3.4,0,0,0,0,0,6.8,75.7
"2005/3/9",0,0,0,0,0.6,3,0,0,0,0,0,6.8,70.3
"2005/4/13",0,0,0,0,0,6.9,0,0,0,0,0,33.2,123.1
"2005/5/11",0,0,0,0,0,3.4,0,0,0,0,0,16.2,104.6
"2005/6/8",0,0,0,0,0,6.2,0,0,0,0,0,16.2,52.6
"2005/7/13",0,4.5,0,50,2.2,0,0,0,0,0,0,2.2,502.6
"2005/8/10",0,5.5,0,24.9,0,0,0,0,0,0,0,1.4,66.4
"2005/9/8",0,22.3,0,11.9,8.9,0,0,0,0,0,0,3,119.1
"2005/10/12",0,3.2,0,5.3,1.1,0,0,0,0,0,0,14.9,117
"2005/11/9",0,1.3,0,4.7,0,0,0,0,0,0,0,4.2,15
"2005/12/7",0,2.2,0,0,0.8,2.6,0,0,0,0,0,6.5,59
"2006/1/11",0,0,0,0,1.9,7.7,0,0,0,0,0,17.9,62
"2006/2/8",0,0,0,0,0,9.6,0,0,0,0,0,20.2,114.9
"2006/3/8",0,0,0,0,0,10.5,0,0,0,0,0,13.4,99.6
"2006/4/12",0,0,0,0,0,4.7,0,0,0,0,0,17.3,78.4
"2006/5/10",0,0,0,0,0,7.4,0,0,0,0,0,16,44.1
"2006/6/7",0,0,0,1.6,0,2.4,0,0,0,0,0,23.2,61.1
"2006/7/12",0,0,0,9.6,0,0,0,0,0,0,0,0,135.1
"2006/8/9",0,4.3,0,20.2,0,0,1.1,0,0,1.1,0,13.8,88.3
"2006/9/13",0,0,0,2.3,0,0,0,0,0,3.5,0,22.2,119.4
"2006/10/11",0,5.9,0,12.9,0,0,0,1.2,0,0,0,29.3,111.2
"2006/11/8",0,3.5,0,4.7,0,18.7,0,0,0,0,0,19.9,57.3
"2006/12/13",0,1.2,0,0,0,6.4,0,0,0,0.4,0,10,31.6
"2007/1/10",0,0,0,0,0,4.1,0,0,0,0,0,7.5,30.6
"2007/2/7",0,0,0,0,0,5.6,0,0,0,0,0,12.2,75.1
"2007/3/7",0,0,0,0,0,1,0,0,0,0,0,12.4,87.1
"2007/4/11",0,0,0,0,0,10.5,0,0,0,0,0,31.6,117
"2007/5/9",0,0,0,0,0,9.7,0,0,0,0,0,25.6,62.1
"2007/6/13",0,0,0,0,0,4,0,0,0,0,0,13.5,62.3
"2007/7/11",0,0,0,16.4,0,0,1.5,0,0,0,0,0,83.4
"2007/8/8",0,3.8,0,15.3,0,0,0,1.3,0,0,0,3.8,271.5
"2007/10/10",0,1.2,0,10.5,0,0,0,4.7,0,0,0,25.7,283.2
"2007/11/7",0,5.7,0,11.5,0,1,0,1,0,1,0,15.3,32.6
"2007/12/12",0,3.1,0,0.9,0,4.9,0,0,0,0,0,12.2,12.8
"2008/1/9",0,0,0,0,0,5.6,0,0,0,0,0,15.1,87.6
"2008/2/13",0,0,0,0,0,2.8,0,0,0,0,0,19.6,59.4
"2008/3/12",0,0,0,0,0,6.9,0,0,0,0,0,16.6,35.7
"2008/5/7",0,0,0,0,0,8,0,0,0,0,0,25.2,142.6
"2008/6/11",0,0,0,13.1,0,0,0,0,0,0,0,58.3,88.6
"2008/7/9",0,26.8,0,38,0,0,0,0,0,0,0,6.7,232.3
"2008/8/6",0,20.1,0,14.4,0,0,0,2.9,0,0,0,114.9,278.6
"2008/9/10",0,0,0,4.5,0,0,0,6.7,0,0,0,58.1,93.8
"2008/10/8",0,0,0,8.1,0,0,0,0,0,4,0,20.2,62.7
"2008/11/12",0,3.8,0,2.2,0,0.7,0,0,0,0.4,0,22.8,12.1
"2008/12/10",0,1.9,0,0,0,5.9,0,0,0,0,0,18.2,53.4
"2009/1/7",0,0,0,0,0,5.9,0,0,0,0,0,11.1,59.3
"2009/2/12",0,0,0,0,0,1.4,0,0,0,0,0,17.2,43.7
"2009/3/12",0,0,0,0,0,0.6,0,0,0,0,0,11.1,32.2
"2009/4/8",0,0,0,0,0,3.3,0,0,0,0,0,10.4,65.6
"2009/5/13",0,0,0,0,0,7.6,0,0,0,0,0,18.8,121
"2009/6/10",0,0,0,3.7,0,8.4,0,0,0,0,0,49.7,38.2
"2009/8/12",0,0,0,0,0,0,0,19.7,0,0,0,221.3,136.3
"2009/9/9",0,0,0,4.8,0,0,0,3.2,0,0,0,41.5,87.8
"2009/10/7",0,5.5,0,5.5,0,0,0,1.4,0,1.4,0,8.3,109.3
"2009/11/11",0,13,0,10.6,0,0,0,0,0,2.4,0,12.2,25.6
"2009/12/9",0,2.3,0,0.4,0,2.9,0,0,0,0,0,11.4,28.3
"2010/1/14",0,0,0,0,0,2.6,0,0,0,0,0,19.4,60.9
"2010/2/10",0,0,0,0,0,3.9,0,0,0,0,0,13.5,35.6
"2010/3/10",0,0.2,0,0,0,4.3,0,0,0,0,0,7.4,66.2
"2010/4/7",0,0,0,0,0,6.9,0,0,0,0,0,15.7,71.5
"2010/5/12",0,0,0,0,0,7,0,0,0,0,0,18.8,200.5
"2010/6/9",0,0.4,0,2.1,0,3.5,0,0,0,0,0,68.2,74.9
"2010/7/7",0,13.4,0,3.8,0,0,0,0,0,0,0,12.4,22
"2010/8/18",0,0,0,0,0,0,0,6.7,0,0,0,51.4,109.5
"2010/9/8",0,0,0,0,0,0,0,8,0,2.7,0,18.6,111.7
