"","K001","K002","K003","K178","K005","K215","K216","K006","K009","K010","K181","K182","K004","K011","K007","K012","K013","K183","K223","K031","K184","K188","K032","K033","K185","K186","K034","K035","K036","K187","K037","K038","K039","K023","K024","K017","K026","K027","K028","K029","K014","K019","K191","K016","K021","K018","K022","K015"
"1984/11/7",0,0,0,0,0,0,0,0,0,1241119,0,0,0,0,62434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984/12/5",0,0,0,0,0,0,0,0,0,2263175,0,0,0,38282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/1/9",0,0,0,0,0,0,0,0,0,27925,0,0,0,95662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/2/6",0,0,0,0,0,0,0,0,0,22669,0,0,0,44677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/3/6",0,0,0,0,0,0,0,0,0,0,0,0,0,19097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/5/8",0,0,0,0,0,0,0,0,0,56836,0,0,0,561181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/6/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/7/10",0,0,0,0,0,0,0,0,0,33181,0,0,0,0,6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/8/7",0,0,0,0,0,0,0,0,0,166893,0,0,0,12790,156086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/9/10",0,0,0,0,0,0,0,0,0,591353,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8050,0,0,0,0,0,0,0,0,0,0,0,0,0,212975,0,0,0
"1985/10/2",0,0,0,0,0,0,0,0,269158,788471,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,219552,0,0,0,0,0,0,0,0,0,425979,0,0,0,0,0,0,0,0,0,0,0
"1985/11/6",0,0,0,0,0,0,0,0,89716,1533116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439104,0,0,0,0,0,0,0,0,0,219552,0,0,0,0,0,0,0,0,0,0,0
"1985/12/12",0,0,0,0,0,0,0,0,0,39424,0,0,0,0,124869,0,0,0,0,0,0,0,0,0,0,0,658656,0,0,0,0,0,0,0,0,0,439104,0,0,0,0,0,0,0,0,0,0,0
"1986/1/8",0,0,0,0,0,0,0,0,0,6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/2/5",0,0,0,0,0,0,0,0,0,0,0,0,0,38282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/3/5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/4/9",0,0,0,0,0,0,0,0,0,0,0,0,0,101969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/5/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257597,0,0,0,0,0,0,0,0,0,0,0,0,0,851900,0,0,0
"1986/6/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,337145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283967,0,0,0
"1986/7/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165966,0,0,0,0
