"","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"1984/11/7",0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,425,0,0,22,0,0,0,0,0,0,0,0,33,0,221.5,0,16.5,0
"1984/12/5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1985/1/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/2/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/3/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1985/5/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/6/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/7/10",0,0,0.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0
"1985/8/7",0,0,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,8.5,8.5,0,0,2,0,0,0,0,0,0,0,0,32.5,0,5.5,0,0,0
"1985/9/10",0,0,0.5,0,0,5.5,0,0,1.5,0,0,0,0,0,0,0,0,0,4,1.5,0,0,0,4.5,0,0,0,0,0,0,0,0,6,0,0,0,17.5,0
"1985/10/2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,28.5,0,1.5,0,4,0
"1985/11/6",0,0,8.5,0.5,0,0,0,0,0,0,0,0,0,0,15.5,0,0.5,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,4,0
"1985/12/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,50,0,23,0,0,0
"1986/1/8",0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,129.5,0,8,0,0,0
"1986/2/5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/3/5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.3,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0.3,0
"1986/4/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,7.3,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0
