"","FJ2015045","FJ2015046","FJ2015047","FJ2015048","FJ2015061","FJ2015069","FJ2015070","FJ2015074","FJ2015075","FJ2015090","FJ2015094","FJ2015095","FJ2015096","FJ2015097","FJ2015098","FJ2015099","FJ2015100","FJ2016001","FJ2016016","FJ2016017","FJ2016018","FJ2016019","FJ2016020","FJ2016021","FJ2016022","FJ2016026","FJ2016041","FJ2016042","FJ2016043","FJ2016045","FJ2016046","FJ2016056","FJ2016060","FJ2016064","FJ2016066","FJ2016068","FJ2016069","FJ2016070","FJ2016071","FJ2016084","FJ2016088","FJ2016089","FJ2016090","FJ2016091","FJ2016093","FJ2016095","FJ2017001","FJ2017008","FJ2017017","FJ2017018","FJ2017019","FJ2017020","FJ2017022","FJ2017023","FJ2017024","FJ2017040","FJ2017041","FJ2017042","FJ2017043","FJ2017044","FJ2017045","FJ2017048","FJ2017049","FJ2017050","FJ2017062","FJ2017066","FJ2017067","FJ2017068","FJ2017069","FJ2018018","FJ2018064","FJ2018072","FJ2018091","FJ2018092","FJ2018094","FJ2019003","FJ2019017","FJ2019021","FJ2019022","FJ2019043","FJ2019045","FJ2019046","FJ2019049","FJ2019063","FJ2019064","FJ2019067","FJ2019068","FJ2019069","FJ2019086","FJ2019087","FJ2019088","FJ2019089","FJ2019090","FJ2019091","FJ2019092"
"Achnanthes_sp.",47157.83333,76350.77778,309473.2813,34887.17262,19066.50943,69141.18421,35665.58824,113684.0625,29363.82151,37894.6875,56842.03125,20210.5,16611.36986,0,24252.6,40421,28872.14286,16673.67895,56589.4,8982.444444,33684.16667,28501.98718,13346.5566,20622.95918,106996.7647,220478.1818,46315.72917,255999.6667,338525.875,323368,164210.3125,92188.24561,149557.7,340804.5098,56930.98592,78596.38889,21274.21053,45810.46667,16500.99101,33684.16667,13779.88636,11659.90385,1943.317308,10105.25,22708.42697,5052.625,12030.05952,4990.246914,11888.52941,13473.66667,28200.69767,23777.05882,0,5318.552632,12248.78788,0,14698.54545,9431.566667,0,10431.22581,31093.07692,50526.25,8193.445946,109714.1429,143429.3548,19118.04054,32900.81395,84602.09302,38133.01887,15955.65789,357052.1667,769923.8095,70430.5303,62186.15385,80323.78205,46265,54051.33721,25664.12698,11439.90566,1274816.154,1768418.75,1229472.083,485052,202105,57744.28571,110239.0909,252631.25,225882.0588,181894.5,15955.65789,31312.04225,51199.93333,44912.22222,21731.72043,39214.40299
"Amphora_ovalis",6736.833333,0,0,0,0,0,0,0,0,0,0,3368.416667,0,0,0,0,0,0,0,0,0,0,0,0,35665.58824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3062.19697,0,0,0,0,1303.903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cocconeis_placentula",20210.5,35929.77778,31578.90625,14436.07143,34319.71698,42548.42105,31702.7451,151578.75,24164.72826,16842.08333,50526.25,30315.75,22148.49315,9327.923077,48505.2,40421,57744.28571,8084.2,64673.6,22456.11111,33684.16667,28501.98718,28599.76415,4124.591837,95108.23529,73492.72727,71578.85417,107789.3333,171789.25,194020.8,176841.875,106371.0526,121263,43591.27451,42698.23944,67368.33333,40421,29642.06667,14070.60127,50526.25,55119.54545,62186.15385,29149.75962,30315.75,27250.11236,20210.5,16842.08333,12475.61728,31702.7451,13473.66667,4700.116279,47554.11765,23192.37705,15955.65789,27559.77273,6590.380435,29397.09091,8084.2,53011.14754,35205.3871,85505.96154,50526.25,95590.2027,606315,104312.2581,106514.7973,136303.3721,112802.7907,106772.4528,5318.552632,26947.33333,67368.33333,18373.18182,31093.07692,18137.62821,4870,9400.232558,19248.09524,0,46639.61538,50526.25,84210.41667,80842,0,269473.3333,55119.54545,315789.0625,261547.6471,141473.5,42548.42105,14232.74648,18863.13333,4990.246914,6519.516129,21115.44776
"Coscinodiscus_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4042.1,0,4491.222222,0,0,15253.20755,37121.32653,11888.52941,12248.78788,0,0,0,0,0,0,0,0,0,2807.013889,10637.10526,18863.13333,2558.291139,0,0,0,0,2526.3125,9083.370787,0,2406.011905,2495.123457,0,0,0,0,13252.78689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591.089744,7305,0,6416.031746,0,0,0,0,0,0,0,0,0,0,10105.25,0,0,0,2495.123457,4346.344086,0
"Cyclotella_sp.",26947.33333,13473.66667,18947.34375,26466.13095,236424.717,95733.94737,55479.80392,372631.0938,374260.595,214736.5625,151578.75,43789.41667,35991.30137,15546.53846,109136.7,156631.375,192480.9524,440210.1053,517388.8,40421,16842.08333,38866.34615,7626.603774,32996.73469,23777.05882,24497.57576,0,22456.11111,30315.75,56589.4,88420.9375,10637.10526,12126.3,11888.52941,28465.49296,22456.11111,29783.89474,21557.86667,139330.941,92631.45833,105645.7955,58299.51923,42752.98077,90947.25,90833.70787,111157.75,300751.4881,132241.5432,138699.5098,390736.3333,498212.3256,790587.2059,324693.2787,228697.7632,61243.93939,19771.1413,29397.09091,45810.46667,114305.2869,36509.29032,50526.25,44912.22222,68278.71622,98165.28571,117351.2903,46429.52703,56401.39535,28200.69767,19066.50943,98393.22368,20210.5,192480.9524,165358.6364,31093.07692,220242.6282,260545,253806.2791,346465.7143,446156.3208,15546.53846,16842.08333,0,40421,13473.66667,134736.6667,1580093.636,366315.3125,356655.8824,313262.75,117008.1579,233417.0423,223662.8667,371773.3951,195585.4839,283550.2985
"Cymbella_sp.",0,0,0,1203.005952,0,0,0,0,0,0,0,0,0,0,4042.1,5052.625,0,0,0,0,0,0,0,4124.591837,23777.05882,6124.393939,0,0,5052.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2526.3125,0,2526.3125,0,0,7925.686275,0,0,0,0,0,0,2196.793478,0,0,3313.196721,1303.903226,0,0,0,0,632393.0645,65547.56757,4700.116279,4700.116279,0,0,0,0,0,0,0,0,2350.05814,0,0,0,0,0,0,0,0,0,0,0,0,0,2846.549296,2694.733333,2495.123457,4346.344086,6032.985075
"Fragilaria_capucina",168420.8333,22456.11111,25263.125,0,0,0,0,0,0,4210.520833,3157.890625,0,0,0,0,15157.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3911.709677,0,0,0,0,0,5462.297297,0,0,0,0,0,0,0,0,0,0,2350.05814,0,41946.32075,0,0,0,16168.4,13473.66667,0,0,0,0,0,0,0,2694.733333,2495.123457,0,0
"Fragilaria_sp.",6736.833333,0,0,7218.035714,0,0,0,0,0,8421.041667,0,0,0,0,0,0,43308.21429,4042.1,0,0,16842.08333,0,0,4124.591837,95108.23529,6124.393939,0,0,0,0,0,0,0,0,0,0,0,0,1263.157895,0,0,0,0,0,0,0,0,0,0,0,0,0,3313.196721,0,0,0,0,2694.733333,0,0,0,0,0,0,0,0,0,0,0,7977.828947,0,0,0,0,2591.089744,0,0,0,0,62186.15385,33684.16667,0,0,0,0,0,0,0,0,0,0,0,0,4346.344086,0
"Frustulia_sp.",0,0,0,1203.005952,0,0,0,0,0,4210.520833,0,0,0,0,0,0,0,0,0,0,16842.08333,0,0,0,0,0,0,0,0,8084.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700.116279,0,0,0,0,0,0,0,0,0,3886.634615,0,2731.148649,0,0,0,0,0,0,0,0,0,3062.19697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694.733333,0,0,0
"Gomphonema_sp.",0,0,0,0,0,0,0,0,0,0,3157.890625,0,5537.123288,3109.307692,0,10105.25,0,3157.894737,0,0,0,2591.089744,0,0,0,6124.393939,0,0,0,0,0,0,0,0,0,0,2127.421053,0,1279.14557,0,0,0,0,0,0,2526.3125,0,2495.123457,0,0,0,0,0,0,0,0,0,0,4969.795082,1303.903226,3886.634615,0,0,0,0,0,0,4700.116279,0,0,0,0,0,0,10364.35897,0,0,0,0,0,0,0,0,0,0,0,0,23777.05882,0,0,0,0,2495.123457,0,0
