"","FJ2015045","FJ2015046","FJ2015047","FJ2015048","FJ2015061","FJ2015069","FJ2015070","FJ2015074","FJ2015075","FJ2015090","FJ2015094","FJ2015095","FJ2015096","FJ2015097","FJ2015098","FJ2015099","FJ2015100","FJ2016001","FJ2016016","FJ2016017","FJ2016018","FJ2016019","FJ2016020","FJ2016021","FJ2016022","FJ2016026","FJ2016041","FJ2016042","FJ2016043","FJ2016045","FJ2016046","FJ2016056","FJ2016060","FJ2016064","FJ2016066","FJ2016068","FJ2016069","FJ2016070","FJ2016071","FJ2016084","FJ2016088","FJ2016089","FJ2016090","FJ2016091","FJ2016093","FJ2016095","FJ2017001","FJ2017008","FJ2017017","FJ2017018","FJ2017019","FJ2017020","FJ2017022","FJ2017023","FJ2017024","FJ2017040","FJ2017041","FJ2017042","FJ2017043","FJ2017044","FJ2017045","FJ2017048","FJ2017049","FJ2017050","FJ2017062","FJ2017066","FJ2017067","FJ2017068","FJ2017069","FJ2018018","FJ2018064","FJ2018072","FJ2018091","FJ2018092","FJ2018094","FJ2019003","FJ2019017","FJ2019021","FJ2019022","FJ2019043","FJ2019045","FJ2019046","FJ2019049","FJ2019063","FJ2019064","FJ2019067","FJ2019068","FJ2019069","FJ2019086","FJ2019087","FJ2019088","FJ2019089","FJ2019090","FJ2019091","FJ2019092"
"Anabaenopsis_circularis",0,0,0,0,0,0,0,0,6590.380435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495.123457,3962.843137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13039.03226,2731.148649,0,0,0,0,6736.833333,0,0,0,0,0,0,0,0,0,0,16842.08333,0,0,9624.047619,0,0,0,0,5318.552632,2846.549296,0,0,2173.172043,0
"Aphanizomenon_sp.",0,0,0,0,0,0,0,0,2196.793478,0,6315.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127.421053,0,0,4210.520833,0,7773.269231,0,0,0,0,2406.011905,2495.123457,3962.843137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700.116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6736.833333,0,0,12631.5625,0,10105.25,0,0,0,2495.123457,4346.344086,0
"Aphanocapsa_sp.",134736.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134736.6667,0,0,0,0,0,0,0,76266.03774,0,0,0,161684,269473.3333,384961.9048,0,0,0,0,212742.1053,0,0,0,0,60329.85075
"Aphanothece_sp.",53894.66667,143719.1111,50526.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15546.53846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104312.2581,0,0,0,0,0,269473.3333,153984.7619,0,0,0,0,0,0,0,0,0,269473.3333,64673.6,161684,923908.5714,146985.4545,1010525,1046190.588,0,0,0,0,0,0,0
"Chroococcus_sp.",80842,8982.444444,50526.25,22857.1131,72452.73585,26592.76316,39628.43137,31578.90625,262297.4571,25263.125,31578.90625,20210.5,38759.86301,37311.69231,12126.3,75789.375,4812.02381,79831.57368,0,13473.66667,0,15546.53846,19066.50943,16498.36735,71331.17647,73492.72727,8421.041667,35929.77778,40421,307199.6,454736.25,138282.3684,181894.5,178327.9412,207798.0986,129122.6389,68077.47368,21557.86667,113812.1119,50526.25,50526.25,62186.15385,48582.93269,45473.625,49958.53933,50526.25,139548.6905,84834.19753,47554.11765,80842,65801.62791,77275.44118,23192.37705,53185.52632,15310.98485,17574.34783,44095.63636,9431.566667,11596.18852,23470.25806,171011.9231,53333.26389,54622.97297,121263,208624.5161,95590.2027,319607.907,437110.814,118212.3585,21274.21053,111157.75,86616.42857,58181.74242,0,20728.71795,21915,0,25664.12698,19066.50943,139918.8462,218947.0833,218947.0833,210189.2,229052.3333,356089.7619,330717.2727,290525.9375,392321.4706,171789.25,101052.5,88243.02817,8084.2,32436.60494,26078.06452,6032.985075
"Cylindrospermopsis_raciborskii",0,0,0,0,0,0,0,0,23578.94737,8421.041667,3157.890625,6736.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19248.09524,0,0,0,0,0,0,0,15546.53846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lyngbya_sp.",0,0,0,0,0,0,0,0,0,0,0,3368.416667,2768.561644,0,0,0,0,0,8084.2,0,174034.8611,5182.179487,3813.301887,0,11888.52941,97990.30303,0,0,0,0,6315.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694.733333,0,0,0
"Merismopedia_elegans",0,0,0,0,7626.603774,0,0,0,0,0,0,0,0,3109.307692,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208.015873,0,0,0,0,0,6736.833333,0,0,0,0,0,0,0,0,0,2173.172043,0
"Merismopedia_punctata",0,0,0,9624.047619,38133.01887,74459.73684,31702.7451,44210.46875,0,25263.125,6315.78125,23578.91667,24917.05479,21765.15385,20210.5,10105.25,19248.09524,0,0,17964.88889,0,31093.07692,13346.5566,45370.5102,23777.05882,24497.57576,0,0,10105.25,16168.4,12631.5625,0,0,11888.52941,22772.39437,14035.06944,59567.78947,16168.4,1263.157895,29473.64583,18373.18182,15546.53846,25263.125,7578.9375,31791.79775,15157.875,2406.011905,4990.246914,31702.7451,35929.77778,23500.5814,17832.79412,46384.7541,31911.31579,9186.590909,0,29397.09091,6736.833333,8282.991803,3911.709677,89392.59615,92631.45833,30042.63514,34646.57143,110831.7742,62816.41892,47001.16279,23500.5814,3813.301887,10637.10526,70736.75,67368.33333,39808.56061,5161450.769,80323.78205,2435,0,12832.06349,11439.90566,248744.6154,101052.5,185262.9167,32336.8,114526.1667,173232.8571,18373.18182,25263.125,35665.58824,50526.25,5318.552632,45544.78873,18863.13333,32436.60494,28251.23656,6032.985075
"Merismopedia_tenuissima",60631.5,8982.444444,6315.78125,0,0,0,0,0,24457.6516,0,0,0,0,0,0,0,0,3157.894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
