"","FJ2015045","FJ2015046","FJ2015047","FJ2015048","FJ2015061","FJ2015069","FJ2015070","FJ2015074","FJ2015075","FJ2015090","FJ2015094","FJ2015095","FJ2015096","FJ2015097","FJ2015098","FJ2015099","FJ2015100","FJ2016001","FJ2016016","FJ2016017","FJ2016018","FJ2016019","FJ2016020","FJ2016021","FJ2016022","FJ2016026","FJ2016041","FJ2016042","FJ2016043","FJ2016045","FJ2016046","FJ2016056","FJ2016060","FJ2016064","FJ2016066","FJ2016068","FJ2016069","FJ2016070","FJ2016071","FJ2016084","FJ2016088","FJ2016089","FJ2016090","FJ2016091","FJ2016093","FJ2016095","FJ2017001","FJ2017008","FJ2017017","FJ2017018","FJ2017019","FJ2017020","FJ2017022","FJ2017023","FJ2017024","FJ2017040","FJ2017041","FJ2017042","FJ2017043","FJ2017044","FJ2017045","FJ2017048","FJ2017049","FJ2017050","FJ2017062","FJ2017066","FJ2017067","FJ2017068","FJ2017069","FJ2018018","FJ2018064","FJ2018072","FJ2018091","FJ2018092","FJ2018094","FJ2019003","FJ2019017","FJ2019021","FJ2019022","FJ2019043","FJ2019045","FJ2019046","FJ2019049","FJ2019063","FJ2019064","FJ2019067","FJ2019068","FJ2019069","FJ2019086","FJ2019087","FJ2019088","FJ2019089","FJ2019090","FJ2019091","FJ2019092"
"Anuraeopsis_fissa",0,0,0,0,0,0,8.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,1,0,0,0,0,0,0,0,0,0,0,0.8,0.0667,0,6,1.8667,2.5,3.0667,10.3,2.6,0.7333,2.5333,0.6,1.5167,0,0.2667,0,0.1,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0.0595,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1111,0,0,0,0
"Asplanchna_priodonta",21.6,0.4,0,0,0.4,0,0,0,0.7,0,0.2,0.1,8,4,1.6,3,0,0.2,0.1333,0.0833,3.7333,6.6667,1.9333,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0,0,0.1333,0,0,0,0,0.0667,0,0,0,0,0.1,0.1333,0.3,0.4667,0,0.1,0.4667,4.9333,1.5,0.1167,0,0,0,0,0,0,0.05,0,0,0.1,0.1333,0,0,3.2,0,0.1333,0,0,0,0,0,0.4167,11.1667,0,0,0,0,0,0,0,0,0,0,0,0.1111,0,0,0,0
"Brachionus_angularis",2.2,7.4,0.2,0,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2667,0,0.0333,0,0,0,0.1667,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,3,1.6,0,0,0,0,0,0,0,0,0.2667,0,0,0,0,0,2.1667,0,0,0,0,0,0,0,0
"Brachionus_calyciflorus",0.2,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.4,0,0,0,0,0,0,0,2.5667,0.5333,3.125,0.1333,0,0,0,0,0,0,0,0,0,0,0,0
"Brachionus_diversicornis",1.4,1.2,1.4,0.9333,1.2,0,0,0,0.4,0.6,0,0.1,0.2,0,0,0,0,0,0,0.0833,0,0,0,0,0,0.75,53.4667,0.1,0,0,0,0,0,0,0,0,0,0.5,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0.1333,0,0,0,0,0,0,0,0,0,0.3333,0.1333,0,0,0,0,0,0,0,0.9333,2.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
"Brachionus_falcatus",0,4.2,37.4,8,90.8,6.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0.1333,0.2,0,0,0,0,0,0,0,0.0667,0.1,0,1.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.1333,0,0,1.4667,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,1.3333,0.0667,0,0,0,0,0,0,0
"Brachionus_forficula",0.6,18,2.2,0,1.6,0.2667,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0.1667,0.6667,0,0.4,0,0,0.5,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0.0833,0.1,0.1333,0,0,0,1.4,0,0,0,0.5333,0,1.3333,1.2,0,0,0,0,0,0,0,2.3333,4.1333,0,3.7333,0.1,0.6,1.1667,0.5,0.1333,0,0,0,0,0,0,0
"Brachionus_donneri_bifurcus_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,4,2.1333,0.8,0.1667,0,0.1333,0.0667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,83,0.1,0.4,0.1667,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6667,0.1333,0,0,0,0,0,0,0
"Conochilus_univornis",110.4,9.6,1,0.6667,1.2,0,0,0,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,0,0,0,0,0,0,0.8,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0.0694,0
"Fillnia_longiseta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2667,0,0.0444,0,0,0,0,0
