"","Achnanthes_sp.","Amphora_ovalis","Cocconeis_placentula","Coscinodiscus_sp.","Cyclotella_sp.","Cymbella_sp.","Fragilaria_capucina","Fragilaria_sp.","Frustulia_sp.","Gomphonema_sp.","Melosira_granulata","Navicula_sp.","Nitzschia_sp.","Pinnularia_nobilis","Stauroneis_acuta","Surirella_sp.","Synedra_acus","Synedra_sp.","Tabellaria_sp.","Ankistrodesmus_acicularis","Ankistrodesmus_convolutus","Ankistrodesmus_falcatus","Ankistrodesmus_falcatus_var._mirabilis","Botryococcus_braunii","Chlamydomonas_sp.","Chlorella_sp.","Chodatella_cilliata","Closteriopsis_sp.","Closterium_kutzingii","Coelastrum_microporum","Coelastrum_reticulatum","Coelastrum_sphaericum","Cosmarium_angulosum","Cosmarium_bioculatum","Cosmarium_circulare","Cosmarium_connatum","Cosmarium_depressum","Cosmarium_globosum","Cosmarium_quadrum","Cosmarium_sp.","Cosmarium_trilobulatum","Cosmarium_turgidum","Crucigenia_lauterbornei","Crucigenia_quadrata","Crucigenia_rectangularis","Crucigenia_tetrapedia","Dictyosphaeria_cavernosa","Elakatothrix_gelatinosa","Euastrum_elegans","Eudorina_elegans","Gloeocystis_sp.","Golenkinia_paucispina","Gonatozygon_kinahani","Kirchneriella_contorta","Kirchneriella_lunaris_","Mougeotia_sp.","Nephrocytium_agardhianum","Oedogonium_sp.","Oocystis_lacustris","Pediastrum_duplex","Pediastrum_tetras_var._tetraodon","Pleodorina_californica","Pteromonas_sp.","Radiococcus_sp.","Raphidonema_nivale","Scenedesmus_acuminatus","Scenedesmus_arcuatus","Scenedesmus_armatus","Scenedesmus_bicaudatus","Scenedesmus_bijuga","Scenedesmus_denticulatus","Scenedesmus_dimorphus","Scenedesmus_perforatas","Scenedesmus_quadricauda","Schroederia_robusta","Selenastrum_bibraianum","Sphaerocystis_schroeteri","Staurastrum_bifidum","Staurastrum_connatum","Staurastrum_crenulatum","Staurastrum_gracile","Staurodesmus_sp.","Tetraedron_bifurcatum","Tetraedron_caudatum","Tetraedron_hastatum_var._palatinum","Tetraedron_minimum","Tetraedron_trigonum","Tetraedron_trilobulatum","Tetraedron_tumidulum","Treubaria_triappendiculata","Westella_linearis","Mallomonas_acaroides","Mallomonas_oviformis","Synura_sp.","Chroomonas_caudata","Cryptomonas_erosa","Cryptomonas_marssonii","Cryptomonas_ovata","Glenodinium_pulvisculus","Peridinium_sp.","Euglena_interrupta","Euglena_oxyuris","Euglena_pisciformis","Lepocinclis_texta","Phacus_acuminatus","Phacus_longicauda","Phacus_pleuronectes","Strombomonas_ensifera","Trachelomonas_oblonga","Trachelomonas_reticulata"
"FJ2015045",47157.83333,6736.833333,20210.5,0,26947.33333,0,168420.8333,6736.833333,0,0,26947.33333,0,20210.5,0,0,0,208841.8333,80842,6736.833333,74105.16667,0,0,0,0,6736.833333,1165472.167,13473.66667,0,0,0,0,0,0,26947.33333,0,13473.66667,0,0,0,0,20210.5,0,0,13473.66667,20210.5,0,0,0,0,0,0,0,13473.66667,0,0,0,0,0,26947.33333,26947.33333,0,0,0,6736.833333,0,6736.833333,0,0,80842,0,0,0,0,6736.833333,47157.83333,13473.66667,0,0,0,0,0,0,6736.833333,0,0,0,13473.66667,0,0,6736.833333,0,0,0,0,154947.1667,0,0,0,6736.833333,0,0,0,0,6736.833333,0,0,0,0,0,0
"FJ2015046",76350.77778,0,35929.77778,0,13473.66667,0,22456.11111,0,0,0,0,0,4491.222222,0,0,0,17964.88889,0,0,4491.222222,0,0,0,0,0,1127296.778,0,0,0,0,0,0,0,53894.66667,0,4491.222222,0,0,8982.444444,0,197613.7778,0,0,0,22456.11111,0,0,0,0,0,0,0,4491.222222,0,0,0,0,13473.66667,8982.444444,0,0,0,0,0,0,0,0,4491.222222,0,0,0,0,0,0,4491.222222,13473.66667,0,0,0,8982.444444,0,0,0,0,4491.222222,4491.222222,40421,0,0,0,0,0,0,0,71859.55556,13473.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJ2015047",309473.2813,0,31578.90625,0,18947.34375,0,25263.125,0,0,0,12631.5625,0,0,0,0,0,63157.8125,0,0,18947.34375,0,0,0,0,6315.78125,1073682.813,0,0,0,6315.78125,0,0,0,18947.34375,0,6315.78125,0,0,0,0,6315.78125,0,0,0,6315.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,6315.78125,0,0,0,0,0,0,6315.78125,0,6315.78125,0,0,18947.34375,0,0,0,0,0,0,0,0,37894.6875,0,0,0,0,0,12631.5625,82105.15625,0,0,0,0,0,0,6315.78125,6315.78125,0,0,0,0,0,0,0,0,0,0,0,6315.78125,0,12631.5625,0
"FJ2015048",34887.17262,0,14436.07143,0,26466.13095,1203.005952,0,7218.035714,1203.005952,0,30075.14881,0,1203.005952,0,0,0,6015.029762,0,0,15639.07738,0,0,0,0,0,249022.2321,0,1203.005952,0,0,7218.035714,0,0,1203.005952,0,0,0,1203.005952,0,0,2406.011905,1203.005952,0,0,6015.029762,0,0,0,0,0,0,0,0,0,1203.005952,0,0,0,7218.035714,0,0,2406.011905,0,1203.005952,0,1203.005952,0,0,6015.029762,0,0,0,1203.005952,2406.011905,0,0,0,1203.005952,0,0,0,0,0,3609.017857,0,3609.017857,6015.029762,0,0,0,0,0,0,0,6015.029762,0,0,0,0,0,0,0,0,0,3609.017857,0,0,0,0,4812.02381
"FJ2015061",19066.50943,0,34319.71698,0,236424.717,0,0,0,0,0,205918.3019,0,0,0,3813.301887,3813.301887,0,0,0,72452.73585,38133.01887,0,0,7626.603774,472849.434,0,0,0,0,7626.603774,7626.603774,0,0,7626.603774,0,0,0,0,0,0,0,0,0,0,80079.33962,0,0,0,0,15253.20755,0,0,0,0,0,0,0,0,19066.50943,0,0,0,392770.0943,3813.301887,0,0,0,3813.301887,38133.01887,0,0,0,0,0,3813.301887,26693.11321,0,0,0,3813.301887,3813.301887,0,0,0,3813.301887,3813.301887,0,0,0,0,3813.301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3813.301887,0,0,0
"FJ2015069",69141.18421,0,42548.42105,0,95733.94737,0,0,0,0,0,351024.4737,0,0,0,0,0,0,0,0,37229.86842,0,0,0,5318.552632,0,452076.9737,0,10637.10526,53185.52632,5318.552632,31911.31579,0,0,15955.65789,0,0,0,0,0,0,0,10637.10526,31911.31579,0,0,0,0,0,0,10637.10526,0,0,0,0,0,0,0,0,15955.65789,0,0,0,1196674.342,5318.552632,0,0,10637.10526,0,10637.10526,0,0,0,0,0,5318.552632,5318.552632,0,0,0,0,0,0,0,47866.97368,0,26592.76316,0,0,0,21274.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJ2015070",35665.58824,0,31702.7451,0,55479.80392,0,0,0,0,0,51516.96078,3962.843137,0,0,0,0,0,0,0,67368.33333,0,15851.37255,0,0,0,455726.9608,0,0,0,7925.686275,11888.52941,0,0,7925.686275,3962.843137,55479.80392,0,0,3962.843137,3962.843137,0,0,31702.7451,0,11888.52941,0,0,0,3962.843137,3962.843137,3962.843137,0,0,0,0,0,0,0,11888.52941,0,0,0,919379.6078,0,0,0,3962.843137,0,0,0,0,0,0,0,0,11888.52941,0,0,0,0,0,0,0,19814.21569,11888.52941,11888.52941,0,3962.843137,0,11888.52941,0,0,0,0,39628.43137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7925.686275
"FJ2015074",113684.0625,0,151578.75,0,372631.0938,0,0,0,0,0,63157.8125,0,0,0,0,0,44210.46875,0,0,189473.4375,0,12631.5625,0,0,0,1206314.219,6315.78125,31578.90625,6315.78125,12631.5625,6315.78125,6315.78125,0,37894.6875,0,6315.78125,0,0,37894.6875,0,0,25263.125,0,0,44210.46875,0,0,12631.5625,25263.125,0,0,0,0,18947.34375,0,0,0,0,12631.5625,0,0,0,75789.375,31578.90625,0,6315.78125,6315.78125,0,50526.25,0,6315.78125,0,0,0,0,18947.34375,69473.59375,0,0,101052.5,0,0,0,6315.78125,0,0,37894.6875,0,0,0,0,0,0,0,31578.90625,0,0,0,0,0,0,0,0,44210.46875,0,0,0,0,0,12631.5625
"FJ2015075",29363.82151,0,24164.72826,0,374260.595,0,0,0,0,0,93437.01945,0,0,0,0,0,47084.63101,0,0,72494.18478,4393.586957,6590.380435,47157.89474,0,0,623669.8856,4393.586957,17720.8095,0,20210.52632,0,0,10983.96739,0,0,0,0,2196.793478,0,0,0,0,0,0,0,0,0,23578.94737,2196.793478,0,0,0,0,62315.78947,2196.793478,0,33684.21053,0,30169.3278,0,0,0,0,0,0,60631.57895,0,0,84942.76888,0,0,0,3368.421053,8787.173913,8787.173913,17354.68822,18526.31579,4393.586957,0,12668.17792,2196.793478,0,0,0,0,3368.421053,17208.22654,4393.586957,0,0,0,0,10105.26316,0,43789.47368,1684.210526,0,20210.52632,0,1684.210526,0,0,1684.210526,0,21967.93478,4393.586957,3368.421053,0,8421.052632,48475.91819
"FJ2015090",37894.6875,0,16842.08333,0,214736.5625,0,4210.520833,8421.041667,4210.520833,0,37894.6875,0,0,0,0,0,16842.08333,0,0,71578.85417,8421.041667,0,0,0,0,1170524.792,4210.520833,50526.25,0,8421.041667,4210.520833,4210.520833,0,4210.520833,0,0,0,0,0,0,0,0,0,0,12631.5625,0,0,0,16842.08333,0,0,4210.520833,0,0,4210.520833,0,0,0,16842.08333,0,0,0,0,0,0,12631.5625,0,0,21052.60417,4210.520833,0,0,0,0,0,8421.041667,16842.08333,0,4210.520833,4210.520833,0,0,0,0,0,8421.041667,0,0,0,0,0,0,0,0,168420.8333,0,0,21052.60417,4210.520833,0,0,0,0,8421.041667,0,0,4210.520833,0,0,25263.125
