"","Bosmina_longirostris","Bosminopsis_deitersi","Ceriodaphnia_cornuta","Diaphanosoma_dubia","Moina_macrocopa","Moina_micrura","Moina_rectirostris"
"FJ2015045",0,1.2,0,0,0,0,0
"FJ2015046",21.6,1.6,0,0.2,0,0,0.2
"FJ2015047",9.4,0.6,0,0.8,0,0,0.4
"FJ2015048",17.8667,0.5333,0,0.1333,0,0,0.1333
"FJ2015061",12.8,29.6,0,1.6,0,0,0.8
"FJ2015069",21.7333,9.4667,0.1333,0,0,0,0.4
"FJ2015070",30.4,1.7333,0,0,0,0,2.1333
"FJ2015074",52.6,1.2,0,0.8,0,0,0
"FJ2015075",5.8,5.6,0,0.3,0,0,0.5
"FJ2015090",0.8,2.4,0,0,0,0,0.4
"FJ2015094",2.5,6.8,0,0.1,0,0.5,0
"FJ2015095",1.4,4.6,0,0.1,0,0.2,0
"FJ2015096",5,3.8,0,0,0,0.2,0
"FJ2015097",3.6,1.2,0,0.2,0,0.4,0
"FJ2015098",0.9333,0.2667,0,0,0,0.4,0
"FJ2015099",4.4,2.8,0,0,0,0.6,0
"FJ2015100",11.5,1,0,0,0,0.5,0
"FJ2016001",13,17.4,0,0.2,0,0.6,0.8
"FJ2016016",1.8,1.0667,0.1333,0,0,0.0667,0
"FJ2016017",13.1667,5.9167,0,0,0,0,0
"FJ2016018",19.6667,6.7333,0.2,0.1333,0,0,0
"FJ2016019",167.5,49.1667,0,0.8333,0,0,0
"FJ2016020",9.2,2.8,0.0667,0.0667,0,0.0667,0
"FJ2016021",4.9,11.4333,0,0,0.4667,0.4667,0
"FJ2016022",0,6.6667,0,0,0.3333,0,0
"FJ2016026",36,129,1.5,1.5,0,0,0
"FJ2016041",24.8,10.4,0,0,0,0,0
"FJ2016042",18.2,19,0,0,0,0,0
"FJ2016043",7.5333,1.1667,0,0,0,0,0
"FJ2016045",16.95,3.2,0,0,0,0,0
"FJ2016046",6.2,0.2,0,0,0,0,0
"FJ2016056",27.3333,5.8333,0,1.1667,0,0,0.1667
"FJ2016060",15.5,4.3333,0,2,0,0.1667,0.5
"FJ2016064",3,0.3333,0,0,0,0,0
"FJ2016066",2.8,1.2,0,0.1333,0,0,0.6667
"FJ2016068",10.2,4,0,0,0,0,0.0667
"FJ2016069",9.7333,0.8667,0,0,0,0,0.0333
"FJ2016070",18.5,32,0,0,1.5,0,0
"FJ2016071",20,10.5333,0,0,0,0,0.1333
"FJ2016084",3.5,4,0,0,0,0,0
"FJ2016088",9.6667,19.5,0,0,0,0,0.8333
"FJ2016089",24,2.5333,0,0,0,0,0.1333
"FJ2016090",7.4667,6.2667,0,0.1333,0,0,0.6667
"FJ2016091",3.0667,2.2667,0,0,0,0,0.0667
"FJ2016093",1.4667,0.5333,0,0,0,0,0.2
"FJ2016095",3.3,0.9,0,0.2,0,0,0.1
"FJ2017001",1.3,1,0,0.1,0,0,0
"FJ2017008",3.2667,0.8,0,0.0667,0,0,0.0667
"FJ2017017",5.5,1,0,0,0,0,0.5
"FJ2017018",4.3333,0.8,0,0,0,0,0
"FJ2017019",4.4,3.1,0,0.3,0,0,0.1
"FJ2017020",9.5,3.7,0,0.1,0,0,0.1
"FJ2017022",0.6667,2.4667,0,0,0,0,0
"FJ2017023",4.4,20.5333,0,0.2667,0,0,0.1333
"FJ2017024",3.3,5.5,0,0,0,0,0.1
"FJ2017040",11.4333,38.15,0,0.7,0,0,0.7
"FJ2017041",5.4,6,0,0.1,0,0,0.1
"FJ2017042",19.2,6.6667,0,0.5333,0,0,0.5333
"FJ2017043",4.9167,1,0,2.25,0,0,0
"FJ2017044",22.2,0.1,0,0,0,0,0
"FJ2017045",6.8,0,0,0.1333,0,0,0
"FJ2017048",1.8667,0,0,0,0,0,0
"FJ2017049",1.55,0,0,0,0,0,0
"FJ2017050",11.7333,0,0,0.2667,0,0,0.1333
"FJ2017062",28.2,0.4,0,0.4,0,0,0.8
"FJ2017066",38.4,0,0,0.1,0,0,0
