,taxa,class
1,Achnanthes_sp.,Algae
2,Amphora_ovalis,Algae
3,Cocconeis_placentula,Algae
4,Coscinodiscus_sp.,Algae
5,Cyclotella_sp.,Algae
6,Cymbella_sp.,Algae
7,Fragilaria_capucina,Algae
8,Fragilaria_sp.,Algae
9,Frustulia_sp.,Algae
10,Gomphonema_sp.,Algae
11,Melosira_granulata,Algae
12,Navicula_sp.,Algae
13,Nitzschia_sp.,Algae
14,Pinnularia_nobilis,Algae
15,Stauroneis_acuta,Algae
16,Surirella_sp.,Algae
17,Synedra_acus,Algae
18,Synedra_sp.,Algae
19,Tabellaria_sp.,Algae
20,Ankistrodesmus_acicularis,Algae
21,Ankistrodesmus_convolutus,Algae
22,Ankistrodesmus_falcatus,Algae
23,Ankistrodesmus_falcatus_var._mirabilis,Algae
24,Botryococcus_braunii,Algae
25,Chlamydomonas_sp.,Algae
26,Chlorella_sp.,Algae
27,Chodatella_cilliata,Algae
28,Closteriopsis_sp.,Algae
29,Closterium_kutzingii,Algae
30,Coelastrum_microporum,Algae
31,Coelastrum_reticulatum,Algae
32,Coelastrum_sphaericum,Algae
33,Cosmarium_angulosum,Algae
34,Cosmarium_bioculatum,Algae
35,Cosmarium_circulare,Algae
36,Cosmarium_connatum,Algae
37,Cosmarium_depressum,Algae
38,Cosmarium_globosum,Algae
39,Cosmarium_quadrum,Algae
40,Cosmarium_sp.,Algae
41,Cosmarium_trilobulatum,Algae
42,Cosmarium_turgidum,Algae
43,Crucigenia_lauterbornei,Algae
44,Crucigenia_quadrata,Algae
45,Crucigenia_rectangularis,Algae
46,Crucigenia_tetrapedia,Algae
47,Dictyosphaeria_cavernosa,Algae
48,Elakatothrix_gelatinosa,Algae
49,Euastrum_elegans,Algae
50,Eudorina_elegans,Algae
51,Gloeocystis_sp.,Algae
52,Golenkinia_paucispina,Algae
53,Gonatozygon_kinahani,Algae
54,Kirchneriella_contorta,Algae
55,Kirchneriella_lunaris_,Algae
56,Mougeotia_sp.,Algae
57,Nephrocytium_agardhianum,Algae
58,Oedogonium_sp.,Algae
59,Oocystis_lacustris,Algae
60,Pediastrum_duplex,Algae
61,Pediastrum_tetras_var._tetraodon,Algae
62,Pleodorina_californica,Algae
63,Pteromonas_sp.,Algae
64,Radiococcus_sp.,Algae
65,Raphidonema_nivale,Algae
66,Scenedesmus_acuminatus,Algae
67,Scenedesmus_arcuatus,Algae
68,Scenedesmus_armatus,Algae
69,Scenedesmus_bicaudatus,Algae
70,Scenedesmus_bijuga,Algae
71,Scenedesmus_denticulatus,Algae
72,Scenedesmus_dimorphus,Algae
73,Scenedesmus_perforatas,Algae
74,Scenedesmus_quadricauda,Algae
75,Schroederia_robusta,Algae
76,Selenastrum_bibraianum,Algae
77,Sphaerocystis_schroeteri,Algae
78,Staurastrum_bifidum,Algae
79,Staurastrum_connatum,Algae
80,Staurastrum_crenulatum,Algae
81,Staurastrum_gracile,Algae
82,Staurodesmus_sp.,Algae
83,Tetraedron_bifurcatum,Algae
84,Tetraedron_caudatum,Algae
85,Tetraedron_hastatum_var._palatinum,Algae
86,Tetraedron_minimum,Algae
87,Tetraedron_trigonum,Algae
88,Tetraedron_trilobulatum,Algae
89,Tetraedron_tumidulum,Algae
90,Treubaria_triappendiculata,Algae
91,Westella_linearis,Algae
92,Mallomonas_acaroides,Algae
93,Mallomonas_oviformis,Algae
94,Synura_sp.,Algae
95,Chroomonas_caudata,Algae
96,Cryptomonas_erosa,Algae
97,Cryptomonas_marssonii,Algae
98,Cryptomonas_ovata,Algae
99,Glenodinium_pulvisculus,Algae
100,Peridinium_sp.,Algae
101,Euglena_interrupta,Algae
102,Euglena_oxyuris,Algae
103,Euglena_pisciformis,Algae
104,Lepocinclis_texta,Algae
105,Phacus_acuminatus,Algae
106,Phacus_longicauda,Algae
107,Phacus_pleuronectes,Algae
108,Strombomonas_ensifera,Algae
109,Trachelomonas_oblonga,Algae
110,Trachelomonas_reticulata,Algae
111,Anabaenopsis_circularis,Cyanobacteria
112,Aphanizomenon_sp.,Cyanobacteria
113,Aphanocapsa_sp.,Cyanobacteria
114,Aphanothece_sp.,Cyanobacteria
115,Chroococcus_sp.,Cyanobacteria
116,Cylindrospermopsis_raciborskii,Cyanobacteria
117,Lyngbya_sp.,Cyanobacteria
118,Merismopedia_elegans,Cyanobacteria
119,Merismopedia_punctata,Cyanobacteria
120,Merismopedia_tenuissima,Cyanobacteria
121,Microcystis_flosaquae,Cyanobacteria
122,Pseudanabaena_sp.,Cyanobacteria
123,Raphidiopsis_sp.,Cyanobacteria
124,Spirulina_major,Cyanobacteria
125,Bosmina_longirostris,Cladocera
126,Bosminopsis_deitersi,Cladocera
127,Ceriodaphnia_cornuta,Cladocera
128,Diaphanosoma_dubia,Cladocera
129,Moina_macrocopa,Cladocera
130,Moina_micrura,Cladocera
131,Moina_rectirostris,Cladocera
132,Nauplii,Copepod
133,Tropocyclops_parvus,Copepod
134,Tropocyclops_bopingi,Copepod
135,Mesocyclops_thermocyclopoides,Copepod
136,Thermocyclops_taihokuensis,Copepod
137,Phyllodiaptomus_tunguidus_,Copepod
138,Neodiaptomus_schmackeri,Copepod
139,Anuraeopsis_fissa,Rotifer
140,Asplanchna_priodonta,Rotifer
141,Brachionus_angularis,Rotifer
142,Brachionus_calyciflorus,Rotifer
143,Brachionus_diversicornis,Rotifer
144,Brachionus_falcatus,Rotifer
145,Brachionus_forficula,Rotifer
146,Brachionus_donneri_bifurcus_,Rotifer
147,Conochilus_univornis,Rotifer
148,Fillnia_longiseta,Rotifer
149,Hexarthra_mira,Rotifer
150,Keratella_cochlearis,Rotifer
151,Keratella_valga,Rotifer
152,Notholca_fujianensis,Rotifer
153,Ploesoma_hudsoni,Rotifer
154,Ploesoma_truncatum,Rotifer
155,Polyarthra_trigla,Rotifer
156,Polyarthra_euryptera,Rotifer
157,Synchaeta_stylata,Rotifer
158,Trichocerca_capucina,Rotifer
159,Trichocerca_longiseta,Rotifer
160,Trichocerca_similis,Rotifer
161,Trichocerca_cylindrica,Rotifer
162,Fillnia_opoliensis,Rotifer
