"","Nauplii","Tropocyclops_parvus","Tropocyclops_bopingi","Mesocyclops_thermocyclopoides","Thermocyclops_taihokuensis","Phyllodiaptomus_tunguidus_","Neodiaptomus_schmackeri"
"FJ2015045",22.8,2.4,0,1.4,0.2,0.8,0
"FJ2015046",41.4,7.8,0,1.2,0,5.2,0.6
"FJ2015047",36.2,0.4,0,0,0.6,2.8,0
"FJ2015048",15.7333,0,0,0.8,0.4,4.4,0.4
"FJ2015061",50.4,4,0,0,0,6,4.4
"FJ2015069",12.5333,7.6,0,0.8,0.4,5.2,0
"FJ2015070",3.0667,0.9333,0,0.4,0.8,0.4,0
"FJ2015074",8,2.6,0,1,1,1.4,0.4
"FJ2015075",15.2,6.4,2.1,2,2.5,2,1.1
"FJ2015090",11.8,21.2,1.2,5.4,7.8,0,0
"FJ2015094",11.3,14.3,2,1.1,0.8,0,0.4
"FJ2015095",15.1,6.8,0.5,2,0.4,0.4,0.2
"FJ2015096",32.6,10,0.8,1.2,0.4,0.4,0.2
"FJ2015097",29,18.8,8.2,0.8,0,0,0.6
"FJ2015098",19.2,7.6,11.6,0.6667,0,1.2,0.5333
"FJ2015099",17,21,11.4,0.8,0,0,0
"FJ2015100",7.8,2.9,7.5,0.4,0.9,0,2.8
"FJ2016001",13.4,0.4,1.6,1.6,0.8,0.4,1.2
"FJ2016016",9.5333,0.8,4.2,0.4,0,0.0667,0.0667
"FJ2016017",3.75,0.8333,3.4167,0.1667,0.25,0,0
"FJ2016018",6.7333,2,1.2,0.9333,0.1333,0.6667,0.2667
"FJ2016019",18.3333,3.3333,2.5,1.6667,0.8333,3.3333,0.8333
"FJ2016020",9.5333,2.2,0.8,0.1333,0.0667,0.2667,0.1333
"FJ2016021",20.7667,9.3333,0.4667,4.4333,1.8667,2.8,1.4
"FJ2016022",53.6667,5.6667,0,2.5,0.8333,1.1667,1
"FJ2016026",156,18,0,2.25,0,1.5,0.75
"FJ2016041",27.7333,6.5333,2.9333,0,4.9333,2.5333,0.4
"FJ2016042",1.2,0.2,0,0.9,0.2,0.5,0
"FJ2016043",0.9333,0.1333,0,0,0.1667,0.0667,0
"FJ2016045",1,1.75,0,0.05,0,0.1,0
"FJ2016046",11.2,6.8667,0.9333,1,3.4,1.8667,0.3333
"FJ2016056",35.6667,18.3333,0,5.5,5,5.3333,0.6667
"FJ2016060",25.3333,10.1667,1,2.3333,4.1667,5.3333,0.8333
"FJ2016064",30.1667,2.5833,0.0833,0.1667,0.3333,0.75,0.4167
"FJ2016066",38.4,1.4667,1.0667,0.5333,0.6667,1.0667,0.6667
"FJ2016068",6.7333,1.6,0.6,0.2,1.8,1,0.3333
"FJ2016069",2.3333,2.0333,0,0.1667,0,0.1333,0.0667
"FJ2016070",60,5.5,0.5,1.5,9.5,6.5,0.5
"FJ2016071",21.8667,0.2667,0.4,0,12.1333,0.8,0.6667
"FJ2016084",21.4,6.2,0.3,0.4,2.4,0.2,0.5
"FJ2016088",11.1667,10.3333,2.3333,4.1667,5.1667,2.3333,0.8333
"FJ2016089",9.2667,4.6,0,0.8,0.7333,0.9333,0.2667
"FJ2016090",13.4667,3.7333,11.4667,0.5333,4.9333,0.2667,0.6667
"FJ2016091",5.0667,0.8,3.8,2.8,1,0.2,0.3333
"FJ2016093",17.1333,3.2,0.4,0.4,0.2667,0.1333,0.0667
"FJ2016095",13.1,3.6,1.7,1.2,8.3,0.4,0.5
"FJ2017001",16,2.5,1.4,0.8,1.1,1,0.3
"FJ2017008",12.2667,1.3333,2.5333,2.2,0.8667,0.3333,0
"FJ2017017",8.9,1.4,11.3,0.6,1.5,0.6,0
"FJ2017018",17.4,13.6,5.9333,1.2,0.2667,0.7333,0
"FJ2017019",32,3.9,7.1,0.8,3.5,0.4,0.3
"FJ2017020",14.4,1.4,2.1,0.5,0.6,0.7,0.2
"FJ2017022",18.6667,0.5333,5.4,0.4,1,0.8,0.0667
"FJ2017023",31.8667,12.1333,5.7333,3.4667,2.5333,1.3333,0.2667
"FJ2017024",37.3,5.1,1.2,0.4,3.3,2.2,0.2
"FJ2017040",16.45,2.45,0.4667,1.6333,3.3833,3.2667,0.1167
"FJ2017041",35.5,5.1,0.6,1.3,1.8,1.5,0.2
"FJ2017042",23.0667,2.2667,1.7333,0.5333,2.9333,3.0667,0.2667
"FJ2017043",36.25,3.9167,0.1667,1.0833,0.6667,2.5833,0.0833
"FJ2017044",31.5,3.3,0.4,0.4,4,4.1,0.2
"FJ2017045",50,3.3333,0.5333,0.8,1.0667,4.6667,0
"FJ2017048",46.9333,3.9333,0.4,0.5333,0.1333,1.4,0
"FJ2017049",16.85,2.6,0,0,0.55,0.6,0
"FJ2017050",61.0667,3.2,0.5333,1.0667,5.7333,11.8667,0.4
"FJ2017062",24.8,5.8,0.4,0.4,0.6,3.6,1
"FJ2017066",15.1,3.1,0.4,0,1.7,2,0.3
"FJ2017067",11.6,2,0.2667,1.3333,2.5333,1.6,0.2667
"FJ2017068",13.5,4.5,0,0.3333,0.3333,0.1667,0.3333
"FJ2017069",16.2667,2.8,1.0667,1.2,3.0667,2.5333,0.6667
"FJ2018018",45,7.1,3.4,2.5,2.1,3.6,0.2
"FJ2018064",72.3333,1.3333,0.6667,0,0,11,2.3333
"FJ2018072",12.9333,3.0667,0.5333,0.5333,0.6667,4.1333,0.2667
"FJ2018091",62.1333,9.4667,0,3.0667,2.9333,5.4667,2.4
"FJ2018092",8.6667,0.9667,0,0.1333,0.2667,1.2333,0.2667
"FJ2018094",5.3667,2.5333,0.4667,2,0.8,0.4,0
"FJ2019003",9.5667,1.1667,0.4667,0.4667,0.7,0.9333,1.1667
"FJ2019017",28.4,2.1,0,0.8,1,3.7,0.6
"FJ2019021",9.1071,0.6548,0.3571,0.4762,0,1.25,0.4167
"FJ2019022",23.5,1.8333,0,0.3333,0.6667,0.6667,0.1667
"FJ2019043",41.5333,12.8333,0.9333,1.1667,16.5667,2.8,0.4667
"FJ2019045",41.8667,4.5333,0.6667,1.6,2.9333,3.2,0.5333
"FJ2019046",25.4167,8.9583,2.2917,0,5.2083,4.5833,0.2083
"FJ2019049",36.6667,2.1333,1.2,0.2667,4.9333,2.4,0.5333
"FJ2019063",23.9,6.7,0.6,0.4,1.8,2.7,0.4
"FJ2019064",12.6,2.6,0,1.2,0.4,7,0.6
"FJ2019067",23,4,2.1667,0,4.5,1,0.6667
"FJ2019068",8.5,5.1667,3,2.6667,9,0.3333,0
"FJ2019069",7.8667,0.6667,1,1.6667,6.4,0.3333,0.0667
"FJ2019086",9.2,5,1.85,1.4,1.4,0.05,0.1
"FJ2019087",4.2889,0.4,0.2667,0.6889,0.1333,0.0222,0.0222
"FJ2019088",9.3333,0.3333,0.4444,0.6667,0,0.4444,0.2222
"FJ2019089",20.2,2,1.8,0.6,1.3,0.7,0.3
"FJ2019090",25.2,5.7,9.3,2,2.3,0.8,0.2
"FJ2019091",12.5694,1.0417,0.4861,0.3472,0.3472,0.4861,0.2083
"FJ2019092",10.0667,0.3333,1.3333,0,0.3333,0.6667,0.1333
