"","Anabaenopsis_circularis","Aphanizomenon_sp.","Aphanocapsa_sp.","Aphanothece_sp.","Chroococcus_sp.","Cylindrospermopsis_raciborskii","Lyngbya_sp.","Merismopedia_elegans","Merismopedia_punctata","Merismopedia_tenuissima","Microcystis_flosaquae","Pseudanabaena_sp.","Raphidiopsis_sp.","Spirulina_major"
"FJ2015045",0,0,134736.6667,53894.66667,80842,0,0,0,0,60631.5,0,148210.3333,0,673683.3333
"FJ2015046",0,0,0,143719.1111,8982.444444,0,0,0,0,8982.444444,0,85333.22222,8982.444444,350315.3333
"FJ2015047",0,0,0,50526.25,50526.25,0,0,0,0,6315.78125,0,6315.78125,0,1301050.938
"FJ2015048",0,0,0,0,22857.1131,0,0,0,9624.047619,0,0,26466.13095,79398.39286,0
"FJ2015061",0,0,0,0,72452.73585,0,0,7626.603774,38133.01887,0,0,3813.301887,0,0
"FJ2015069",0,0,0,0,26592.76316,0,0,0,74459.73684,0,0,15955.65789,5318.552632,0
"FJ2015070",0,0,0,0,39628.43137,0,0,0,31702.7451,0,0,3962.843137,0,0
"FJ2015074",0,0,0,0,31578.90625,0,0,0,44210.46875,0,0,63157.8125,12631.5625,0
"FJ2015075",6590.380435,2196.793478,0,0,262297.4571,23578.94737,0,0,0,24457.6516,0,13839.80549,26654.44508,0
"FJ2015090",0,0,0,0,25263.125,8421.041667,0,0,25263.125,0,0,12631.5625,8421.041667,0
"FJ2015094",0,6315.78125,0,0,31578.90625,3157.890625,0,0,6315.78125,0,356841.6406,0,22105.23438,0
"FJ2015095",0,0,0,0,20210.5,6736.833333,3368.416667,0,23578.91667,0,47157.83333,0,33684.16667,0
"FJ2015096",0,0,0,0,38759.86301,0,2768.561644,0,24917.05479,0,0,0,69214.0411,0
"FJ2015097",0,0,0,0,37311.69231,0,0,3109.307692,21765.15385,0,0,0,18655.84615,0
"FJ2015098",0,0,0,0,12126.3,0,0,0,20210.5,0,0,0,20210.5,0
"FJ2015099",0,0,0,0,75789.375,0,0,0,10105.25,0,0,15157.875,5052.625,0
"FJ2015100",0,0,0,0,4812.02381,0,0,0,19248.09524,0,0,0,14436.07143,0
"FJ2016001",0,0,0,0,79831.57368,0,0,0,0,3157.894737,0,4042.1,20210.5,0
"FJ2016016",0,0,0,0,0,0,8084.2,0,0,0,0,0,16168.4,0
"FJ2016017",0,0,0,0,13473.66667,0,0,0,17964.88889,0,0,0,8982.444444,0
"FJ2016018",0,0,0,0,0,0,174034.8611,0,0,0,0,5614.027778,5614.027778,0
"FJ2016019",0,0,0,0,15546.53846,0,5182.179487,0,31093.07692,0,0,0,7773.269231,0
"FJ2016020",0,0,0,0,19066.50943,0,3813.301887,0,13346.5566,0,0,1906.650943,9533.254717,0
"FJ2016021",0,0,0,0,16498.36735,0,0,0,45370.5102,0,0,0,28872.14286,0
"FJ2016022",0,0,0,0,71331.17647,0,11888.52941,0,23777.05882,0,0,0,202105,0
"FJ2016026",0,0,0,0,73492.72727,0,97990.30303,0,24497.57576,0,0,18373.18182,171483.0303,6124.393939
"FJ2016041",0,0,0,0,8421.041667,0,0,0,0,0,0,0,4210.520833,0
"FJ2016042",0,0,0,0,35929.77778,0,0,22456.11111,0,0,0,0,0,0
"FJ2016043",0,0,0,0,40421,0,0,0,10105.25,0,0,0,0,0
"FJ2016045",0,0,0,0,307199.6,0,0,0,16168.4,0,0,0,0,0
"FJ2016046",0,0,0,0,454736.25,0,6315.78125,0,12631.5625,0,0,0,0,0
"FJ2016056",0,0,0,0,138282.3684,0,0,0,0,0,0,3545.701754,0,0
"FJ2016060",0,0,0,0,181894.5,0,0,0,0,0,0,8084.2,12126.3,0
"FJ2016064",0,0,0,0,178327.9412,0,0,0,11888.52941,0,0,0,11888.52941,0
"FJ2016066",0,0,0,0,207798.0986,0,0,0,22772.39437,0,0,0,2846.549296,0
"FJ2016068",0,0,0,0,129122.6389,0,0,0,14035.06944,0,0,0,0,0
"FJ2016069",0,2127.421053,0,0,68077.47368,0,0,0,59567.78947,0,0,0,4254.842105,0
"FJ2016070",0,0,0,0,21557.86667,0,0,0,16168.4,0,0,0,8084.2,0
"FJ2016071",0,0,0,0,113812.1119,0,0,0,1263.157895,1263.157895,0,0,0,0
"FJ2016084",0,4210.520833,0,0,50526.25,0,0,0,29473.64583,0,0,8421.041667,0,0
"FJ2016088",0,0,0,0,50526.25,0,0,0,18373.18182,0,0,0,0,0
"FJ2016089",0,7773.269231,0,0,62186.15385,0,0,0,15546.53846,0,0,0,0,0
"FJ2016090",0,0,0,15546.53846,48582.93269,0,0,0,25263.125,0,0,0,0,0
"FJ2016091",0,0,0,0,45473.625,0,0,0,7578.9375,0,0,0,2526.3125,0
"FJ2016093",0,0,0,0,49958.53933,0,0,0,31791.79775,0,0,2270.842697,0,0
"FJ2016095",0,0,0,0,50526.25,0,0,0,15157.875,0,0,0,7578.9375,0
"FJ2017001",0,2406.011905,0,0,139548.6905,0,0,0,2406.011905,0,0,0,2406.011905,0
"FJ2017008",2495.123457,2495.123457,0,0,84834.19753,0,0,0,4990.246914,0,0,2495.123457,2495.123457,0
"FJ2017017",3962.843137,3962.843137,0,0,47554.11765,0,0,0,31702.7451,0,0,0,11888.52941,0
"FJ2017018",0,0,0,0,80842,0,0,0,35929.77778,0,0,0,4491.222222,0
"FJ2017019",0,0,0,0,65801.62791,0,0,0,23500.5814,0,0,14100.34884,0,0
"FJ2017020",0,0,0,0,77275.44118,0,0,0,17832.79412,0,0,0,17832.79412,0
"FJ2017022",0,0,0,0,23192.37705,0,0,0,46384.7541,0,0,0,6626.393443,0
"FJ2017023",0,0,0,0,53185.52632,0,0,0,31911.31579,0,0,0,26592.76316,0
"FJ2017024",0,0,0,0,15310.98485,0,0,0,9186.590909,0,0,0,9186.590909,0
"FJ2017040",0,0,0,0,17574.34783,0,0,0,0,0,0,0,0,0
"FJ2017041",0,0,0,0,44095.63636,0,0,0,29397.09091,0,0,0,0,0
"FJ2017042",0,0,0,0,9431.566667,0,0,0,6736.833333,0,0,5389.466667,2694.733333,0
"FJ2017043",0,0,0,0,11596.18852,0,0,0,8282.991803,0,0,3313.196721,3313.196721,0
"FJ2017044",0,0,0,0,23470.25806,0,0,0,3911.709677,0,0,3911.709677,0,0
"FJ2017045",0,0,0,0,171011.9231,0,0,0,89392.59615,0,0,0,0,0
"FJ2017048",0,0,0,0,53333.26389,0,0,0,92631.45833,0,0,5614.027778,0,0
"FJ2017049",0,0,0,0,54622.97297,0,0,0,30042.63514,0,0,0,2731.148649,0
"FJ2017050",0,0,0,0,121263,0,0,0,34646.57143,0,0,5774.428571,0,0
"FJ2017062",13039.03226,0,0,104312.2581,208624.5161,0,0,0,110831.7742,0,0,0,0,0
"FJ2017066",2731.148649,0,0,0,95590.2027,0,0,0,62816.41892,0,0,2731.148649,0,0
"FJ2017067",0,0,0,0,319607.907,0,0,0,47001.16279,0,0,4700.116279,14100.34884,0
"FJ2017068",0,4700.116279,0,0,437110.814,0,0,0,23500.5814,0,1692041.86,0,23500.5814,0
