,Depth,Transparency,WT,pH,DO,Chla,Turbidity,EC,ORP,TC,TOC,TN,NH4N,NO3N,NO2N,TP,PO4P,TSIc,group
FJ2015045,21,159,29.33,7.94,9.04,4.5,5.3,28.1,393,10.72,4.9885,1.61092,0.06395,1.25619,0.01053,0.03386,2.00E-04,49.28234568,low
FJ2015046,21,168,30.58,7.76,8.91,4.65,4.3,32.3,410,11.495,4.335,1.38504,0.07493,1.07511,0.01053,0.02994,0.00317,48.93120507,low
FJ2015047,22,182,31.34,7.93,8.84,3.77,4.7,31.9,325,5.871,2.211,1.30291,0.07218,1.01044,0.01151,0.03386,0.00416,47.76648563,low
FJ2015048,22,243,30.73,7.68,8.64,2.57,4.1,31.2,373,6.4825,2.5365,1.22591,0.06395,0.94145,0.00816,0.02994,0.00416,44.21039951,low
FJ2015061,31.5,173,30.23,7.5,8.91,3.04,5.6,24.4,404,5.192,2.309,1.33884,0.07493,0.91128,0.00606,0.03386,0.00317,46.84344145,low
FJ2015069,32.5,175,28.93,7.64,8.46,4.88,5.6,21,418,4.941,1.932,1.0257,0.09688,0.8811,0.00662,0.02799,0.00218,48.85394524,low
FJ2015070,32.5,178,30.16,7.82,9.55,5.76,5.2,22.4,358,5.2645,2.2555,0.90763,0.07767,0.76684,0.00821,0.02603,0.00713,49.48882969,low
FJ2015075,27.9,209,28.19,8.45,8.99,4.71,4.5,19.1,338,5.785,1.5355,0.91276,0.02004,0.74529,0.00914,0.02994,0.00317,48.06454684,low
FJ2015090,33.5,205,26.98,7.33,7.48,4.46,4.6,17.5,479,5.4315,1.2455,0.98976,0.03925,0.74744,0.00718,0.02407,0.00515,47.3453958,low
FJ2015094,33,279,25.1,8.42,7.12,2.56,3.6,17.2,412,4.831,0.6959,1.04623,0.00358,0.76684,0.00369,0.01232,0.00218,41.51135388,low
FJ2015095,33.1,279,24.77,7.33,7.48,2.91,4.4,17,476,4.4175,1.0014,1.06163,0.02828,0.82289,0.00257,0.02211,0.00218,43.56475675,low
FJ2015096,33.1,258,24.55,7.45,8.03,3.64,4.1,17.3,448,5.9635,2.4235,1.05137,0.01455,1.02337,0.00341,0.01428,2.00E-04,44.05782769,low
FJ2015097,32.8,248,24.85,8.09,9.2,4.14,2.9,17.9,406,4.528,1.332,1.03083,0.0173,0.72157,0.00313,0.02015,2.00E-04,45.71821768,low
FJ2015098,32.3,178,23.12,7.28,6.18,2.57,5.2,18.7,506,5.046,0.9579,0.93843,0.05297,0.77762,0.00243,0.02015,0.00317,44.61183608,low
FJ2015099,32.6,258,21.29,7.32,7.11,2.53,5.7,18.2,520,7.5585,2.7335,1.12324,0.01455,0.82289,0.00523,0.02994,0.00713,43.87095107,low
FJ20150100,32.6,248,19.92,7.63,8.2,3.81,4.5,17.4,483,8.188,3.228,1.18997,0.00907,0.91559,0.00732,0.02407,0.00713,45.69600306,low
FJ2016001,32.5,213,19.29,7.48,8.07,2.83,5.8,17.6,492,6.926,3.605,1.15917,0.000833,0.9005,0.00104,0.02407,0.00515,44.77191762,low
FJ2016016,31.9,242,19.09,7.43,9.6,4.39,4.8,16.6,506,4.422,1.626,1.07703,0.03376,0.86385,0.00215,0.02407,0.00218,46.55146078,low
FJ2016017,30.5,178,18.19,7.21,8.57,3.81,6.8,17.2,463,4.331,1.269,1.13864,0.03651,0.85307,0.00816,0.0319,0.00614,47.77735121,low
FJ2016018,31.5,136,16.4,7.22,9.27,1.07,10.6,16,457,5.424,0.7898,1.0411,0.02828,0.86385,0.00802,0.04365,0.00416,42.9387159,low
FJ2016019,32.5,161,15.7,7.38,10.52,5.14,7.3,13.2,533,6.196,1.314,0.9487,0.02279,0.75606,0.00383,0.03386,0.00317,49.93327324,low
FJ2016020,31.5,181,15.77,7.03,9.74,1.52,6.7,17.5,479,5.578,0.6669,1.0873,0.03925,1.01259,0.00159,0.03386,0.00515,42.97809471,low
FJ2016021,31.3,188,16.07,7.41,9.78,5.03,5.1,18,452,4.66,0.9143,0.92816,0.06395,0.83798,0.00355,0.02994,0.00416,48.86595058,low
FJ2016022,32.4,182,16.4,7.26,10.17,5.21,4.8,16.3,505,5.917,1.271,0.95896,0.00632,0.78193,0.00271,0.02211,0.00119,48.4784439,low
FJ2016023,31.7,142,17.36,7.9,11.59,4.1,7.4,16.9,413,6.01,1.533,1.01543,0.03376,0.78193,0.00648,0.0319,0.00119,49.13299856,low
FJ2016039,30.5,146,21.05,8.18,9.67,3.42,5.2,19.8,418,5.065,1.118,1.09654,0.12432,0.74097,0.00732,0.0319,2.00E-04,48.05344387,low
FJ2016042,30.6,145,25.45,8.85,9.12,4.03,6,23.3,454,6.735,2.211,0.84603,0.0173,0.48445,0.01207,0.02603,0.00515,48.47431753,low
FJ2016043,30,184,27.49,9,8.32,4.3,2.4,22.7,359,7.863,3.842,0.72796,0.042,0.48014,0.01486,0.02799,0.00515,47.96903463,low
FJ2016045,31,200,28.2,8.71,9.09,7.06,1.4,44.2,337,4.888,2.106,0.78956,0.00358,0.5254,0.00704,0.01428,0.00515,48.65696068,low
FJ2016046,31.9,206,29,8.85,9.27,3.84,3.4,44,292,4.92,2.153,0.65609,0.00358,0.51247,0.00606,0.01819,0.00218,45.87332351,low
FJ2016047,31.8,191,30.86,8.71,9.03,5.65,2.1,42,295,4.938,2.091,0.9333,0.02553,0.89187,0.000338,0.02799,0.00218,49.25564286,low
FJ2016060,30.9,254,30.01,8.83,8.48,3.79,0,19.8,397,4.018,1.633,0.78956,0.10786,0.50816,0.00313,0.01623,2.00E-04,44.63948408,low
FJ2016064,29.7,241,31.37,9.34,9.16,2.84,0.3,20.7,258,4.3,1.456,0.75876,0.00907,0.54265,0.00732,0.02015,2.00E-04,43.84420897,low
FJ2016065,31.2,251,31.67,8.52,8.56,2.3,0,21,379,3.998,1.471,0.70742,0.00358,0.46505,0.00928,0.02407,0.00812,42.97083821,low
FJ2016068,32.1,253,31.27,8.72,9.14,4.09,1.6,18.8,371,3.29,0.8957,0.75876,0.02553,0.50816,0.00592,0.02799,0.00218,46.34088481,low
FJ2016069,30.1,190,29.56,8.97,8.81,5.27,1.7,18.4,155,3.744,1.338,0.91276,0.02004,0.53834,0.00816,0.02799,0.00218,48.90927645,low
FJ2016070,31.2,329,29.33,8.19,8.09,2.27,1.4,18.6,193,2.832,1.052,0.9641,0.05846,0.68062,0.00341,0.02015,0.00218,41.32533836,low
FJ2016071,31.4,150,28.28,8.24,8.74,2.36,8,16.3,319,2.974,0.7645,0.81009,0.05297,0.73235,0.00453,0.02015,2.00E-04,44.89273821,low
FJ2016080,32.1,182,27.77,7.1,8.52,2.89,3.6,9.9,321,3.319,1.062,0.87169,0.00358,0.7108,0.00425,0.02015,0.00218,45.13837925,low
FJ2016088,32.4,192,26.11,6.63,8.78,3.75,3.8,9.2,395,2.967,0.9986,0.91276,0.00907,0.81427,0.00369,0.05932,0.00218,48.8273201,low
FJ2016089,32.5,224,24.82,7.05,8.14,3.29,1.9,15.2,337,4.211,1.029,0.85116,0.03102,0.76684,0.00369,0.0319,0.00416,46.01624349,low
FJ2016090,32.5,205,23.71,6.66,7.71,2.71,0,16.9,634,4.653,1.716,1.0257,0.01455,0.80996,0.00313,0.01623,0.00218,43.77990269,low
