,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,0.22588,0.00392,0.571428571,0.285714286,0.588235294,0.75,0.333333333
2,0.30801,0,0.604651163,0.166666667,0.384615385,0.75,0.2
3,0.38501,0.00392,0.612244898,0.75,0.75,0.75,0.333333333
4,0.27208,0,0.74,0.75,0.571428571,0.75,0.5
5,0.58522,0.00587,0.723404255,0.75,0.769230769,0.75,0
6,0.70329,0.00783,0.754716981,0.714285714,0.866666667,0.666666667,0
7,0.69816,0.00392,0.641509434,0.75,0.923076923,0.666666667,0.166666667
8,0.62116,0.00979,0.75,0.7,0.733333333,0.75,0.285714286
9,0.56469,0.02154,0.634615385,0.777777778,0.692307692,0.666666667,0.333333333
10,0.54929,0.01175,0.595744681,0.909090909,0.764705882,0.75,0.428571429
11,0.55955,0.01958,0.595744681,0.909090909,0.8,0.75,0.285714286
12,0.58009,0.01371,0.551020408,0.888888889,0.666666667,0.666666667,0.285714286
13,0.67249,0.01371,0.68,0.888888889,0.75,0.75,0.571428571
14,0.48768,0.00392,0.68,0.875,0.818181818,0.666666667,0.428571429
15,0.42095,0.00979,0.727272727,0.75,0.727272727,0.666666667,0.5
16,0.45175,0.00979,0.607843137,0.875,0.818181818,0.666666667,0.428571429
17,0.53389,0.00979,0.672413793,0.571428571,0.666666667,0.8,0.285714286
18,0.47228,0.00196,0.755555556,1,0.8,0.75,0.428571429
19,0.56982,0.00979,0.72,0.875,0.75,0.5,0.333333333
20,0.66222,0,0.66,0.875,0.8,0.75,0.285714286
21,0.52362,0,0.647058824,0.888888889,0.909090909,0.666666667,0.285714286
22,0.68276,0.00392,0.62,0.777777778,0.583333333,0.8,0.285714286
23,0.65196,0.01175,0.672727273,0.875,0.727272727,0.75,0.285714286
24,0.59549,0.00196,0.645833333,0.888888889,0.785714286,0.5,0.166666667
25,0.51438,0.00196,0.684210526,0.666666667,0.75,0.75,0.333333333
26,0.76489,0.00783,0.804347826,0.857142857,0.916666667,0.5,0.428571429
27,0.88296,0.00587,0.638297872,0.857142857,0.714285714,0.5,0
28,0.82136,0.01958,0.716981132,0.857142857,1,0.5,0.2
29,0.95483,0.01567,0.693877551,0.857142857,1,0.5,0.2
30,0.67762,0.00587,0.64,0.875,0.9,0.5,0.285714286
31,0.82136,0.01763,0.659574468,0.666666667,0.8,0.75,0.166666667
32,0.85216,0.01371,0.666666667,0.714285714,0.785714286,0.8,0.285714286
33,0.9035,0.00979,0.62745098,0.875,1,0.5,0.285714286
34,0.85216,0.00587,0.632653061,0.875,0.785714286,0.75,0.285714286
35,0.69816,0.00587,0.666666667,0.857142857,0.923076923,0.666666667,0.285714286
36,0.64682,0.01371,0.660714286,0.888888889,0.8125,0.666666667,0.333333333
37,0.80083,0.01371,0.666666667,0.875,0.714285714,0.666666667,0.285714286
38,0.73923,0.01371,0.704918033,0.714285714,0.916666667,0.666666667,0.428571429
39,0.69816,0.02546,0.705882353,0.75,0.764705882,0.5,0.285714286
40,0.75976,0.00196,0.634615385,0.857142857,0.8125,0.666666667,0.285714286
41,0.58522,0.01763,0.6,0.875,0.666666667,0.666666667,0.166666667
42,0.63656,0.00587,0.66,0.714285714,0.75,0.75,0.285714286
43,0.49282,0.02154,0.6,0.875,0.785714286,0.666666667,0.285714286
44,0.31828,0.00587,0.653846154,0.714285714,0.769230769,0.666666667,0.285714286
45,0.60575,0.01763,0.692307692,0.875,0.833333333,0.75,0.285714286
46,0.61602,0.01371,0.711538462,0.888888889,0.769230769,0.666666667,0.285714286
47,0.70842,0.01371,0.685185185,0.8,0.75,0.75,0.166666667
48,0.59549,0.00979,0.617021277,0.9,0.75,0.666666667,0.166666667
49,0.64682,0.00587,0.693877551,0.875,0.833333333,0.5,0.166666667
50,0.64682,0.00587,0.722222222,0.714285714,0.857142857,0.75,0.285714286
51,0.62629,0.00979,0.666666667,0.875,0.8,0.75,0.285714286
52,0.47228,0.01371,0.745098039,0.875,0.714285714,0.5,0.285714286
53,0.50308,0.00587,0.666666667,0.875,0.785714286,0.75,0.285714286
54,0.51335,0.00979,0.673076923,0.875,0.8125,0.666666667,0.285714286
55,0.44148,0.00587,0.725490196,0.833333333,0.692307692,0.75,0.285714286
56,0.62629,0.01371,0.709090909,0.857142857,0.916666667,0.75,0.285714286
57,0.49282,0.00196,0.714285714,0.75,0.636363636,0.75,0.285714286
58,0.51335,0.00979,0.76,0.75,0.714285714,0.666666667,0.285714286
59,0.61602,0.00979,0.653846154,0.714285714,0.846153846,0.5,0.285714286
60,0.50308,0.01175,0.722222222,0.857142857,0.75,1,0.166666667
61,0.66222,0.01371,0.588235294,0.714285714,0.923076923,1,0.166666667
62,0.47742,0.00979,0.680851064,0.875,0.928571429,1,0.2
63,0.62629,0.01371,0.729166667,0.714285714,0.916666667,1,0.285714286
64,0.55955,0.01567,0.648148148,0.75,0.866666667,0.75,0.285714286
65,0.89323,0.02076,0.678571429,0.75,0.769230769,1,0.428571429
66,0.86243,0.01371,0.711538462,0.75,0.875,1,0.285714286
67,0.85216,0.00587,0.692307692,0.9,1,1,0.166666667
68,0.81109,0.00979,0.68,0.875,0.733333333,0.8,0.285714286
69,0.47228,0.00196,0.647058824,0.75,0.692307692,1,0.285714286
70,0.56469,0.00587,0.693877551,0.555555556,0.416666667,0.75,0.571428571
71,0.40041,0.00587,0.714285714,0.666666667,0.5625,0.75,0.285714286
72,0.28748,0.01371,0.6875,0.75,0.75,0.8,0.166666667
73,0.50308,0.01371,0.682926829,0.875,0.9,0.666666667,0.166666667
74,0.22588,0.00979,0.653846154,0.75,0.636363636,0.75,0.166666667
75,0.16427,0.00587,0.6875,0.777777778,0.909090909,0.8,0.285714286
76,0.34908,0.01371,0.688888889,0.857142857,0.8,0.666666667,0.166666667
77,0.29774,0.01371,0.744680851,0.777777778,0.857142857,0.666666667,0.428571429
78,0.31828,0.00196,0.739130435,0.625,0.818181818,0.666666667,0.166666667
79,0.37992,0.01414,0.734693878,0.777777778,0.666666667,0.75,0.285714286
80,0.28792,0.00186,0.627906977,0.875,0.692307692,0.75,0.285714286
81,0.47192,0.00986,0.70212766,0.777777778,0.928571429,0.75,0.428571429
82,0.58492,0.00586,0.673469388,0.5,0.769230769,0.75,0.285714286
83,0.61732,0.00986,0.704545455,0.6,0.846153846,0.75,0.285714286
84,0.67372,0.00986,0.681818182,0.666666667,0.785714286,0.75,0.166666667
85,0.84782,0.01468,0.708333333,0.714285714,0.857142857,0.666666667,0.428571429
86,0.91322,0.01881,0.622222222,0.777777778,0.8,0.75,0.166666667
87,0.90232,0.01881,0.62,0.777777778,0.764705882,0.833333333,0.285714286
88,0.83163,0.00587,0.638297872,0.888888889,0.846153846,0.833333333,0.285714286
89,0.73923,0.01371,0.722222222,0.777777778,0.857142857,0.666666667,0.285714286
90,0.83163,0.01371,0.660377358,0.888888889,0.785714286,0.75,0.428571429
91,0.62629,0.00979,0.62962963,0.888888889,0.909090909,0.8,0.285714286
92,0.67762,0.00979,0.690909091,0.777777778,0.909090909,0.833333333,0.285714286
93,0.66736,0.00979,0.705882353,0.818181818,0.727272727,1,0.285714286
94,0.68789,0.00587,0.716981132,0.75,0.909090909,0.666666667,0.428571429
95,0.08213,0.00392,0.484848485,0.166666667,0.4375,0,0.5
96,0.15913,0,0.681818182,0.571428571,0.733333333,0,0.333333333
97,0.0462,0.00392,0.675,0.75,0.4,0,0.2
98,0.35934,0.00195,0.75,0.571428571,0.666666667,0.4,0.333333333
99,0.47741,0.00391,0.666666667,0.714285714,0.6875,0.25,0.333333333
100,0.47228,0,0.680851064,0.571428571,0.8,0.25,0.166666667
101,0.39528,0.00587,0.75,0.555555556,0.466666667,0,0.285714286
102,0.33881,0.01762,0.70212766,0.625,0.6,0.25,0.571428571
103,0.32341,0.00783,0.666666667,0.8,0.684210526,0.4,0.428571429
104,0.33367,0.01566,0.634146341,0.8,0.705882353,0.4,0.285714286
105,0.35421,0.00979,0.644444444,0.75,0.666666667,0.6,0.285714286
106,0.44661,0.00979,0.782608696,0.75,0.8125,0.4,0.333333333
107,0.2618,0,0.697674419,0.714285714,0.9375,0.6,0.166666667
108,0.19507,0.00587,0.775510204,0.571428571,0.875,0.6,0.5
109,0.22587,0.00587,0.70212766,0.714285714,1,0.6,0.428571429
110,0.30801,0.00587,0.824561404,0.333333333,0.823529412,0.2,0.285714286
111,0.2464,0.00196,0.789473684,0.857142857,0.533333333,0.666666667,0.166666667
112,0.34394,0.01371,0.772727273,0.714285714,0.8125,0.5,0.571428571
113,0.43634,0.00392,0.787234043,0.714285714,0.625,0.4,0.285714286
114,0.29774,0.00392,0.744680851,0.75,0.933333333,0.25,0.285714286
115,0.45688,0,0.717391304,0.625,0.764705882,0.5,0.285714286
116,0.42608,0.00783,0.714285714,0.714285714,0.875,0.666666667,0.285714286
