,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,0.22588,0.00392,0.133928571,0,0.126696833,0.75,0
2,0.30801,0,0.119802678,0.166666667,0.051282051,0.75,0.2
3,0.38501,0.00392,0.016500217,0.083333333,0.178571429,0.75,0
4,0.27208,0,0.042325581,0.083333333,0,0.75,0.1
5,0.58522,0.00587,0.074755607,0.083333333,0.102564103,0.75,0
6,0.70329,0.00783,0.020023104,0.214285714,0.033333333,0.666666667,0
7,0.69816,0.00392,0.014058454,0.083333333,0.065934066,0.666666667,0.166666667
8,0.62116,0.00979,0.046296296,0.033333333,0.019047619,0.75,0.285714286
9,0.56469,0.02154,0.007164404,0.027777778,0.092307692,0.666666667,0
10,0.54929,0.01175,0.037605146,0,0.014705882,0.75,0.095238095
11,0.55955,0.01958,0.037605146,0,0.030769231,0.75,0.285714286
12,0.58009,0.01371,0.009353741,0.031746032,0,0.666666667,0.285714286
13,0.67249,0.01371,0.027826087,0.031746032,0.178571429,0.75,0
14,0.48768,0.00392,0.027826087,0.075,0.318181818,0.666666667,0.095238095
15,0.42095,0.00979,0,0.083333333,0.327272727,0.666666667,0.1
16,0.45175,0.00979,0.007843137,0.075,0.318181818,0.666666667,0.095238095
17,0.53389,0.00979,0.044962813,0.171428571,0.166666667,0.8,0.285714286
18,0.47228,0.00196,0.110394265,0,0.030769231,0.75,0.095238095
19,0.56982,0.00979,0.038181818,0.075,0.178571429,0.5,0
20,0.66222,0,0.021702128,0.075,0.030769231,0.75,0.285714286
21,0.52362,0,0.007058824,0.031746032,0.242424242,0.666666667,0.285714286
22,0.68276,0.00392,0.007755102,0.027777778,0.138888889,0.8,0.285714286
23,0.65196,0.01175,0.018881119,0.075,0.327272727,0.75,0.285714286
24,0.59549,0.00196,0.041182171,0.031746032,0.058441558,0.5,0.166666667
25,0.51438,0.00196,0.030364372,0,0.178571429,0.75,0
26,0.76489,0.00783,0.094670407,0.19047619,0.116666667,0.5,0.095238095
27,0.88296,0.00587,0.052932019,0.19047619,0.047619048,0.5,0
28,0.82136,0.01958,0.011098779,0.19047619,0,0.5,0.2
29,0.95483,0.01567,0.04271476,0.19047619,0,0.5,0.2
30,0.67762,0.00587,0.015,0.075,0.9,0.5,0.285714286
31,0.82136,0.01763,0.059574468,0.666666667,0.030769231,0.75,0.166666667
32,0.85216,0.01371,0.047619048,0.214285714,0.058441558,0.8,0.285714286
33,0.9035,0.00979,0,0.075,0,0.5,0.285714286
34,0.85216,0.00587,0.023957409,0.075,0.058441558,0.75,0.285714286
35,0.69816,0.00587,0.013605442,0.19047619,0.065934066,0.666666667,0.285714286
36,0.64682,0.01371,0.033263305,0.031746032,0.0125,0.666666667,0
37,0.80083,0.01371,0.047619048,0.075,0.047619048,0.666666667,0.285714286
38,0.73923,0.01371,0.051071879,0.214285714,0.116666667,0.666666667,0.095238095
39,0.69816,0.02546,0.025031289,0.083333333,0.014705882,0.5,0.285714286
40,0.75976,0.00196,0.007164404,0.19047619,0.0125,0.666666667,0.285714286
41,0.58522,0.01763,0,0.075,0.166666667,0.666666667,0.166666667
42,0.63656,0.00587,0.021702128,0.214285714,0,0.75,0.285714286
43,0.49282,0.02154,0.073684211,0.075,0.058441558,0.666666667,0.285714286
44,0.31828,0.00587,0,0.214285714,0.102564103,0.666666667,0.285714286
45,0.60575,0.01763,0.012307692,0.075,0.166666667,0.75,0.285714286
46,0.61602,0.01371,0.017660911,0.031746032,0.102564103,0.666666667,0.285714286
47,0.70842,0.01371,0.005939902,0,0.178571429,0.75,0.166666667
48,0.59549,0.00979,0.045592705,0.011111111,0.178571429,0.666666667,0.166666667
