"","Anuraeopsis_fissa","Asplanchna_priodonta","Brachionus_angularis","Brachionus_calyciflorus","Brachionus_diversicornis","Brachionus_falcatus","Brachionus_forficula","Brachionus_donneri_bifurcus_","Conochilus_univornis","Fillnia_longiseta","Hexarthra_mira","Keratella_cochlearis","Keratella_valga","Notholca_fujianensis","Ploesoma_hudsoni","Ploesoma_truncatum","Polyarthra_trigla","Polyarthra_euryptera","Synchaeta_stylata","Trichocerca_capucina","Trichocerca_longiseta","Trichocerca_similis","Trichocerca_cylindrica","Fillnia_opoliensis"
"FJ2015045",0,21.6,2.2,0.2,1.4,0,0.6,0,110.4,0,0,0.2,0,0.2,0,0,0.2,0,8,0,0,0,0,0
"FJ2015046",0,0.4,7.4,0,1.2,4.2,18,0,9.6,0,0,0.8,0.2,0,2.4,0,2.6,0,0,8.6,0.2,0.2,0.2,0
"FJ2015047",0,0,0.2,9.8,1.4,37.4,2.2,0,1,0,0,0.2,0.2,0,0,0,0.4,0,4.6,0,0.2,0,0,0
"FJ2015048",0,0,0,0,0.9333,8,0,0,0.6667,0,0,0.1333,0,0,0,0.6667,0,0,0,0,0,0,0,0
"FJ2015061",0,0.4,0.8,0,1.2,90.8,1.6,0,1.2,0,0,0,2,0,0,0,0,0,1.6,24.4,1.2,0,0,0
"FJ2015069",0,0,0.4,0,0,6.8,0.2667,0,0,0,0,0,1.3333,0.2667,0,0,0,0,0,0.5333,0,0,0,0
"FJ2015070",8.4,0,0,0,0,1.2,0.1333,0,0,0,0,0,0.6667,0.2667,0,0,0,0,0,0.2667,0,0.1333,0,0
"FJ2015074",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,1.2,0,0,0.6,0
"FJ2015075",0,0.7,0,0,0.4,0,0,0,0.8,0,0,0,0,0,1.8,0,0,0,0.2,0.5,0.2,0.2,0.1,0
"FJ2015090",0,0,0,0,0.6,0,0,0,0.4,0,0,0.2,0,0,1.4,0,0,0,6.4,0,0,0.4,0.2,0
"FJ2015094",0.1,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0.2,1.4,0.1,0.4,0,0.2,0.1
"FJ2015095",0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,1.7,0,0.1,2.2,0.7,0,0,0.2,0
"FJ2015096",0,8,0,0,0.2,0,0,0,0,0,0,0.6,1.6,0.4,0,0.4,0,11.8,1.2,0.4,0,0,0.2,0
"FJ2015097",0,4,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,3.2,0,0,0,0.2,0,0
"FJ2015098",0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0.4,0,0,0,0,0
"FJ2015099",0,3,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,13.2,4.2,0,0,0,0,0
"FJ2015100",0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0.1,2.1,0,0,0,0,0
"FJ2016001",0,0.2,0,0.4,0,0,0,0,0,0,0,2.2,0,0,0,0,0,1.4,11.2,0,0.2,0,0,0
"FJ2016016",0,0.1333,0,0,0,0,0,0,0,0,0,0.4,0.1333,0.0667,0.6667,0,0,0,0,0,0.3333,0.0667,0.0667,0
"FJ2016017",0,0.0833,0,0,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0.1667,0,0,0
"FJ2016018",0,3.7333,0,0,0,0,0,0,0,0,0,0.1333,0,0,1.8,0,0,2.6667,0.6667,0.0667,0,0.0667,0.1333,0
"FJ2016019",0,6.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"FJ2016020",0,1.9333,0,0,0,0,0,0,0,0,0,0.6,0,0.0667,0.2,0,1,3.1333,0.7333,0,0,0,0,0
"FJ2016021",0,0,0,0,0,0,0,0,0.2333,0,0,2.1,0,0,0,0,0,23.1,10.2667,0,0,0,0,0
