"","FJ2015024","FJ2015031","FJ2015041","FJ2015042","FJ2015043","FJ2015044","FJ2015051","FJ2015071","FJ2015072","FJ2015073","FJ2016023","FJ2016039","FJ2016040","FJ2016047","FJ2016065","FJ2016080","FJ2017071","FJ2017072","FJ2017073","FJ2017074","FJ2017075","FJ2017090","FJ2017091","FJ2017092","FJ2017093","FJ2017094","FJ2017096","FJ2017097","FJ2017098","FJ2018001","FJ2018002","FJ2018017","FJ2018019","FJ2018021","FJ2018022","FJ2018023","FJ2018024","FJ2018036","FJ2018040","FJ2018041","FJ2018042","FJ2018043","FJ2018045","FJ2018046","FJ2018047","FJ2018062","FJ2018063","FJ2018065","FJ2018066","FJ2018067","FJ2018068","FJ2018070","FJ2018071","FJ2018073","FJ2018088","FJ2018089","FJ2018090","FJ2018095","FJ2019010","FJ2019018","FJ2019019","FJ2019020","FJ2019023","FJ2019024","FJ2019039","FJ2019040","FJ2019041","FJ2019042","FJ2019044","FJ2019062","FJ2019065","FJ2019066","FJ2019070","FJ2019082","FJ2020009","FJ2020016"
"Anabaenopsis_circularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76992.38095,146351.8966,2861381.316,1869471.25,47554.11765,37426.85185,0,0,22456.11111,0,36746.36364,0,0,0,0,2083.556701,0,0,0,0,0,0,0,0,0,0,0,20210.5,25263.125,0,0,0,0,0,0
"Aphanizomenon_sp.",0,0,0,0,0,0,0,0,0,8982.444444,0,0,0,0,3016.492537,0,0,0,0,0,0,0,0,2807.013889,5614.027778,0,6382.263158,0,4812.02381,0,0,3484.568966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7773.269231,6250.670103,0,0,0,0,0,0,0,0,18373.18182,0,0,0,12631.5625,0,0,0,16842.08333,0,0
"Aphanocapsa_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912732.2581,0,0,0,0,0,0,0,0,0,1136840.625,299414.8148,0,0,0,0,0,0,77732.69231,125013.4021,0,0,0,0,0,0,0,0,0,0,0,0,0,425484.2105,0,0,0,0,0
"Aphanothece_sp.",192480.9524,101052.5,129347.2,388041.6,0,89824.44444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30221.30841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717892.5,1317425.185,0,0,0,0,0,153984.7619,0,0,16168.4,0,0,0,0,0,0,0,0,0,0,0,707367.5,425484.2105,173232.8571,1361549.474,673683.3333,0,0
"Chroococcus_sp.",155909.7556,25263.125,0,32336.8,25263.125,56140.27778,94670.35088,134736.6667,2258820.588,26947.33333,177782.1022,98587.80488,9533.254717,343741.8761,111610.2239,58385.88889,93511.26866,109136.7,195789.2188,117351.2903,50526.25,20414.64646,79330.93458,84210.41667,39298.19444,85096.84211,51058.10526,30699.49367,38496.19048,35319.32039,21654.10714,48783.96552,55119.54545,32219.63768,160765.3409,22456.11111,59442.64706,65195.16129,134736.6667,123020.4348,62722.24138,96240.47619,20907.41379,63822.63158,50526.25,130773.8235,74853.7037,429473.125,160935.463,0,67368.33333,128612.2727,40421,69959.42308,38496.19048,31093.07692,154183.1959,10105.25,4870,8305.684932,18713.42593,9624.047619,142662.3529,185262.9167,59882.96296,73492.72727,20907.41379,37894.6875,202105,454736.25,361661.5789,245413.2143,265927.6316,488420.4167,21967.93478,26361.52174
"Cylindrospermopsis_raciborskii",4812.02381,0,0,0,0,0,0,0,0,0,7578.947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19165.12931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36746.36364,6969.137931,25263.125,0,0,0,0,0,0,0,0
"Lyngbya_sp.",0,0,0,0,0,0,0,0,0,4491.222222,0,9858.780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6736.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merismopedia_elegans",0,0,0,0,0,0,0,0,0,0,0,0,1906.650943,0,0,0,12065.97015,8084.2,31578.90625,52156.12903,19248.09524,0,1888.831776,2807.013889,0,0,23401.63158,2558.291139,0,0,14436.07143,3484.568966,0,8787.173913,0,0,3962.843137,0,0,8787.173913,0,0,0,0,50526.25,11888.52941,29941.48148,0,0,0,0,27559.77273,13473.66667,0,0,0,0,0,0,0,0,0,23777.05882,0,0,0,0,0,0,0,0,43308.21429,0,33684.16667,0,0
"Merismopedia_punctata",19248.09524,25263.125,0,56589.4,0,0,0,0,0,35929.77778,5052.631579,0,0,0,0,17964.88889,0,0,0,0,9624.047619,14290.25253,3777.663551,9824.548611,8421.041667,10637.10526,2127.421053,5116.582278,7218.035714,3924.368932,7218.035714,0,0,8787.173913,45932.95455,0,3962.843137,39117.09677,26947.33333,0,111506.2069,38496.19048,6969.137931,0,429473.125,118885.2941,112280.5556,56842.03125,0,179648.8889,0,91865.90909,26947.33333,77732.69231,38496.19048,11659.90385,41671.13402,6063.15,4870,0,3742.685185,4812.02381,95108.23529,0,7485.37037,0,41814.82759,25263.125,0,63157.8125,53185.52632,7218.035714,0,0,8787.173913,0
"Merismopedia_tenuissima",0,0,0,24252.6,15157.875,33684.16667,50526.31579,0,0,0,2526.315789,0,0,5786.073854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117894.5833,14970.74074,18373.18182,0,50526.25,0,0,0,0,0,0,0,0
"Microcystis_flosaquae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511197.313,194020.8,151578.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43754.69072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudanabaena_sp.",2260691.391,574736.0938,1810860.8,590146.6,111157.75,842104.1667,32620.48246,15546.53846,0,26947.33333,62335.31518,49293.90244,0,3259.758065,0,0,0,0,18947.34375,0,0,0,0,0,2807.013889,0,0,0,0,0,0,3484.568966,0,2929.057971,9186.590909,2041.464646,19814.21569,39117.09677,0,8787.173913,6969.137931,19248.09524,1742.284483,10637.10526,277894.375,606315,22456.11111,6315.78125,0,0,0,27559.77273,67368.33333,0,0,11659.90385,2083.556701,0,2435,0,0,0,47554.11765,50526.25,104795.1852,73492.72727,0,25263.125,20210.5,277894.375,0,0,10637.10526,0,0,8787.173913
"Raphidiopsis_sp.",347187.6692,0,32336.8,40421,0,0,64000,0,0,0,79901.97674,39435.12195,0,0,21115.44776,2245.611111,0,0,12631.5625,6519.516129,2406.011905,2041.464646,5666.495327,2807.013889,5614.027778,63822.63158,2127.421053,0,4812.02381,27470.58252,75789.375,80145.08621,69818.09091,96658.91304,312344.0909,0,249659.1176,234702.5806,229052.3333,316338.2609,355426.0345,567818.8095,114990.7759,478669.7368,4901046.25,3067240.588,733566.2963,448420.4688,224561.1111,4670871.111,2540748.571,1635213.182,437894.1667,31093.07692,134736.6667,7773.269231,4167.113402,38399.95,104705,33222.73973,14970.74074,14436.07143,404210,1818945,1354852.037,211291.5909,139382.7586,581051.875,1535998,568420.3125,53185.52632,21654.10714,361661.5789,2509470.417,193317.8261,114233.2609
"Spirulina_major",0,0,97010.4,97010.4,257683.875,830876.1111,44321.27193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21967.93478,0
