"","FJ2015024","FJ2015031","FJ2015041","FJ2015042","FJ2015043","FJ2015044","FJ2015051","FJ2015071","FJ2015072","FJ2015073","FJ2016023","FJ2016039","FJ2016040","FJ2016047","FJ2016065","FJ2016080","FJ2017071","FJ2017072","FJ2017073","FJ2017074","FJ2017075","FJ2017090","FJ2017091","FJ2017092","FJ2017093","FJ2017094","FJ2017096","FJ2017097","FJ2017098","FJ2018001","FJ2018002","FJ2018017","FJ2018019","FJ2018021","FJ2018022","FJ2018023","FJ2018024","FJ2018036","FJ2018040","FJ2018041","FJ2018042","FJ2018043","FJ2018045","FJ2018046","FJ2018047","FJ2018062","FJ2018063","FJ2018065","FJ2018066","FJ2018067","FJ2018068","FJ2018070","FJ2018071","FJ2018073","FJ2018088","FJ2018089","FJ2018090","FJ2018095","FJ2019010","FJ2019018","FJ2019019","FJ2019020","FJ2019023","FJ2019024","FJ2019039","FJ2019040","FJ2019041","FJ2019042","FJ2019044","FJ2019062","FJ2019065","FJ2019066","FJ2019070","FJ2019082","FJ2020009","FJ2020016"
"Anuraeopsis_fissa",0,0,0,0,0,0,0,0,1,0,0.2333,0,0,0,0.1389,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0.45,1.9,0,0.4,0.6667,1.8667,1.7,0,0.5,0.2667,0.8,1,0.0833,0.2667,0.4,0.2667,0,0,0,0.6667,4.1667,0,0.1667,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asplanchna_priodonta",10.1333,17.7333,17.4,9.2,0,10.2,0,0,0,0,0,0.2778,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0167,9.95,7.7,0.9778,0.6,0.25,1.1667,0.5,8,1.25,0.2667,3.0667,4.3,0.5833,0.2667,0,0,0,0,0.1481,0,0,0,0,0,0,0,0,0,0,0.1333,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333
"Brachionus_angularis",0,0,1,6.4,1,4,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.55,0.8167,0.2,0.1333,0.0667,0,0,0,0,0,0,0,0,0,0,0.5,1.8667,0.7,1.6667,0.5833,0.2667,3.1111,6.1,0.3333,0.2667,1.8,1.3333,10,12.6,1.7778,3.4667,29.1667,4.1067,1.1667,1,0.2,1.3333,0,0.1667,0.0667,0.0667,0,0,0.1,0.6667,9.8,0.1667,15.3333,7.95,0.5,0,0,0,0,0,0
"Brachionus_calyciflorus",0.1333,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0.3333,2.3333,0,0.1667,0,0.1333,0.0444,0.5,0,0.1333,1.2,0,3.6,0,0,2.6667,15,0,0,0.1,0,0,0,0,0,0,0,0,0,0,24.2667,1.6667,0,1.35,0,0,0,0,0,0,0
"Brachionus_diversicornis",2.9333,8.4,12,2.8,0.6,4,0.1333,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833,9.1,0.3,0.1667,0.4167,2.1333,0.6667,2.5,2.0833,2.1333,4,0.2667,1.0667,1.2833,1.037,0.6667,5,0,0,0.6,0.1333,0.3333,0.0667,0,0,0,0,0,0,0.6667,8.1667,1.3333,0.2667,5.25,0,0,0,0,0,0,0
"Brachionus_falcatus",0,0,0.4,0,0,0,15.7333,0.3333,2,0,0,0,0,0,0,0.2,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.1167,0.2963,0.1333,14.1667,0.3733,1,0.9,0.0667,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
"Brachionus_forficula",0,0,0,0,0.2,5.6,0.4,0,0.2,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0.0833,0,0.8,0.1333,1.8667,1.2833,0.7407,0.1333,45,1.3067,0.3333,0,0,0,0.0667,0.1667,0,0,0,0,0,0.1333,2.3333,1.8333,8.2667,0.6,4,0.8333,0.1333,0,0,0,0.1333
"Brachionus_donneri_bifurcus_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.3333,7.6,1.2,1.05,3.0333,3.6,1.9333,0.4,0.2,0,0.0833,0,0,0.0167,0,0,1.5111,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0.1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0
"Conochilus_univornis",0,0,0,0,0.4,0,0,1.2667,0.6,29.8,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,1.0833,0.1333,0,0.2,0,0.1333,0.2,0,0.1333,0,0.2963,0.1333,0,0.1867,1,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
"Fillnia_longiseta",5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1333,0,0.1,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hexarthra_mira",0,0,0,0,0,0,0,0,0,0,1.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333,1.12,0,0,0,1.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.4,0,0,0,0.0667
"Keratella_cochlearis",0,0.1333,0,0,0,0,0.2667,0.0667,0.4,7.6,9.1,2.2222,0.2667,0,0,4.5,0.1,0,0.1333,0,0.25,0,0.1,0.1333,0.1333,0.2,0,0.0833,0.2,0.1,0.0667,0.3,0.3,0,0,0.1667,0.2333,0.1,0.5,1,0,0,0,0,0,0,0.2667,0,0.35,0.2963,0.6667,58.3333,0.1867,0.5,0.1,0.3333,0.6667,0.2,0.1667,0.0667,0,0,0,0,0,0,0,0,0,0.3333,0.5,0.2667,0.0758,0.0833,0,0.0667
"Keratella_valga",0.1333,0.1333,0,0,0.8,0,0,0,3,0,0,0,0,0,0,0,0,0.4,1.0667,0.4,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0.1333,1.2,0,0,0,0,0.2667,0,0.56,0.1667,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,6.5,1.1667,1.0667,0.0758,0.1667,0,0
"Notholca_fujianensis",10.6667,0.4,0.2,0.2,0.4,0,0,0,0,0.2,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0.1333,0,0.2,0,0.0833,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Ploesoma_hudsoni",0,0,0,0,0,0,0.4,0,0.2,0,0.2333,1.3889,0.1333,0,0.1389,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167,0.1,0,0,0,0,0.2333,0,0,0,0.2667,0,0,0,0.2667,0,0,0.1333,0,0.2963,0.1333,0,0.3733,0.1667,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0.1667,0,0.1333,0,0,0,0
"Ploesoma_truncatum",0,0,0,0,0,0,0,0.0667,0.2,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.1778,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0.2333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0.1333,0,0,0,0,0,0,0,0,0,0,0
"Polyarthra_trigla",1.6,3.7333,0.2,1.6,0.2,0.6,0,0,0,0.2,2.3333,0.2778,0,0,0,0,0,0,0,0,0,0,0.1,0.5333,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7333,0,0,0,0,0,0.1333,0,0,0,0,0,0.1867,0.6667,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0.25,0,0
"Polyarthra_euryptera",0,0,0,0,0,0,0,0,0,1.6,20.7667,1.1111,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.1667,0.1,0.0667,0.1667,0,0,0,0,0,0,0,0.1333,0,0.1667,0,0,0,0,0,0,0.25,0.7,1.6667
"Synchaeta_stylata",154.2667,8.4,29.8,85.4,2,182,0,0,0,0,13.7667,0.8333,0.2667,0,0.0694,12.5,0,0,0,0,0,0,0.1,1.8667,2.4667,0.8,0.0889,0.1667,3.4,0.6,0,0.1,1.4,1.4222,0.6,1.75,0.9333,0.5,0.1667,0.5,0,0.3111,2.6,0.5,3.7333,0,28.2667,0,1.6333,4.1481,2.1333,15,1.12,4.8333,14.3,1.3333,88.3333,7.7333,3.3333,0.1333,0.4667,1.3333,0,0.5,0,2.8,0.1667,0,0.6,0,0,0,0.0758,0.0833,2.1,0.6667
"Trichocerca_capucina",0.9333,0.2667,0,0,0,0.2,0,0,3,7.4,0,0.5556,0.1333,0.3333,2.5,0.2,0,0.1333,6.1333,4.8,0.95,0.1167,0.1,0,0.2,0,0,0.0833,0,0,0,0.05,0.1,0,0,0,0.2333,0,0,0,0,0.0444,0,0.0833,0,0,0.8,0.1333,0.5833,2.2222,0,0,0.7467,0,0,0,0,0,0,0,0,0,0,0,0,0.2333,1.1667,0.2667,0.6,7.6667,11.3333,0.6667,0.9091,1.25,0,0
"Trichocerca_longiseta",0,0,0,0,0.2,0,0.1333,0,0,0,0,0,0.4,0,0.4167,0,4.4,2.8,1.6,0,0,0,0,0,0.0667,0.1,0,0,0.2,0,0.0167,0,0.1,0.0889,0,0,0.2333,0,0.1667,0,0.6667,0.0889,0.2,0,0.6667,0,0.5333,0.2667,0.2333,0.1481,0.2667,2.5,0.1867,0,0,0,0,0,0,0,0,0,0,0,0,0.2333,0,0,0,0.1667,0.5,0,0,0.25,0,0
"Trichocerca_similis",0.1333,0.2667,0,0,0.4,0.2,0,0,0.2,0,10.5,0,0.1333,0.0667,0.0694,0.2,0,0,0.1333,0.8,0.25,0,0.1,0.0667,0.0667,0,0,0,0,0,0.0167,0.05,0.1,0,0.2,0,0,0,0,0.0833,0.1333,0,0,0,0.1333,0.6,0.1333,0,0.5833,0,0,1.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2333,0,0,0,0,0,0,0,0,0,0
"Trichocerca_cylindrica",0.2667,0.1333,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2333,0,0,0,0,0,0,0,0,0,0
"Fillnia_opoliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0
