"","Bosmina_longirostris","Bosminopsis_deitersi","Ceriodaphnia_cornuta","Diaphanosoma_dubia","Moina_macrocopa","Moina_micrura","Moina_rectirostris"
"FJ2015024",0.1333,0.5333,0,0,0,0,0
"FJ2015031",0.1333,0.6667,0,0,0,0,0
"FJ2015041",0.4,0.8,0,0,0,0,0
"FJ2015042",0.2,0.2,0,0,0,0,0
"FJ2015043",1,9,0,3,0,0,3
"FJ2015044",0.2,2.2,0,0,0,0,0.2
"FJ2015051",7.0667,1.6,0.4,0,0,0,0
"FJ2015071",15.2667,1.4,0,0,0,0,0
"FJ2015072",16,1.2,0,0.6,0,0,0.8
"FJ2015073",44,5,0,0.6,0,0,0.8
"FJ2016023",1.4,9.1,0.4667,0.7,0,0,0.2333
"FJ2016039",11.9444,20,0,0,0,0,0.2778
"FJ2016040",3.8667,8.2667,0.6667,0,0,0.1333,0.1333
"FJ2016047",14.9333,5.2667,0,0,0,0,0.1333
"FJ2016065",0.0694,1.0417,0,0.0694,0,0,0.0694
"FJ2016080",2.1,1.8,0,0,0,0,0
"FJ2017071",9.3,0,0,0,1.1,0,0.2
"FJ2017072",14.2667,0,0,0,0,0,0
"FJ2017073",46.2667,0.1333,0,0.6667,0,0,0
"FJ2017074",6.5333,0,0,0.4,0,0,0
"FJ2017075",7.15,0,0,0,0,0.35,0.25
"FJ2017090",10.7333,0.2333,0,0,0,0.1167,0
"FJ2017091",7,0,0.2,0,0,2.5,0.6
"FJ2017092",0.4667,0,4.2667,0.2667,0,0,0.2667
"FJ2017093",1,0,8.4,0.2,0,0,0.4667
"FJ2017094",3.9,0.3,1.1,0,0,0.1,0
"FJ2017096",0.8,0.0889,4.4444,0,0,1.9556,0
"FJ2017097",5.4167,0.0833,0,0.0833,0,0,0.25
"FJ2017098",2,0,0,0,0,0,0
"FJ2018001",5.9,0,0.3,0,0,0.1,0.1
"FJ2018002",0.8,0.5,0,0.0167,0,0,0.0167
"FJ2018017",2.05,0,0,0,0,0,0.05
"FJ2018019",2.5,0,0,0,0,0,0
"FJ2018021",12.5333,0.7111,0,0,0,0,0
"FJ2018022",14.2,3,0,0,0,0,0
"FJ2018023",4.5,1,0,0,0,0,0
"FJ2018024",9.5667,2.3333,0,1.4,0,0,0
"FJ2018036",19.7,7.4,0.1,0.3,0,0,1
"FJ2018040",17.8333,6.1667,0,0,0,0,0.5
"FJ2018041",3,0.6667,0,0,0,0,0.0833
"FJ2018042",2.9333,1.4667,0,0.9333,0,0,0
"FJ2018043",0.1333,0.4,0,0,0,0,0
"FJ2018045",0.2,1.9,0,0.2,0,0.3,0.1
"FJ2018046",0.25,1.0833,0,0,0,0,0
"FJ2018047",2.9333,1.4667,0,0.9333,0,0,0
"FJ2018062",32.2,20.2,0,0,1.6,0,4.2
"FJ2018063",12.2667,2,0,1.3333,0,0,0
"FJ2018065",11.7333,5.2,0,0.2667,0,0,0
"FJ2018066",7,8.9833,0,0.8167,0,0,0
"FJ2018067",4.7407,17.3333,0,0.4444,0,0.2963,0
"FJ2018068",2.1333,4.8,0,0.1333,0,0,0.1333
"FJ2018070",19.1667,20,0,2.5,0,0,0.8333
"FJ2018071",22.4,23.8933,0.3733,0,0.3733,0,0.3733
"FJ2018073",11,12,0.1667,0.5,0,0,0.5
"FJ2018088",20.8,3.7,0,0.2,0,0,0
"FJ2018089",0.4667,1.8667,0.0667,0.0667,0,0,0.0667
"FJ2018090",1,7.5,0,0.1667,0,0,0.3333
"FJ2018095",8.8667,3.6667,0,0.0667,0,0,0.0667
"FJ2019010",3.1667,2.8333,0,0.1667,0,0,0.1667
"FJ2019018",0.5333,1.5333,0,0,0,0,0.0667
"FJ2019019",6.5333,3.7333,0,0,0,0,0
"FJ2019020",0.6667,7.2667,0,0.2,0,0,0
"FJ2019023",11,30.5,0,0.1667,0,0,0
"FJ2019024",9,5.6,0,0.2,0,0,0
"FJ2019039",24.1333,8.6667,0,0,0,0,0.1333
"FJ2019040",105.2333,13.7667,0,0.4667,0,0,0.2333
"FJ2019041",10.8333,8.3333,0,0,0,0,0
"FJ2019042",0.6667,0.2667,0,0.8,0,0,0
"FJ2019044",3.3,2.55,0,6.45,0,0,0.9
"FJ2019062",39.6667,3.1667,0,2.8333,0,0,1.6667
"FJ2019065",38.3333,12.6667,0,0.3333,0,0,0
"FJ2019066",10.5333,3.4667,0,0.4,0,0,0.1333
"FJ2019070",0.2273,6.9697,0,0.303,0,0,0.1515
"FJ2019082",1.75,6.25,0,0.4167,0,0,1.3333
"FJ2020009",11.7,0,0,0,0,0,0
"FJ2020016",8.2667,0.0667,0,0.1333,0,0,0.4
