"","Nauplii","Tropocyclops_parvus","Tropocyclops_bopingi","Mesocyclops_thermocyclopoides","Thermocyclops_taihokuensis","Phyllodiaptomus_tunguidus_","Neodiaptomus_schmackeri"
"FJ2015024",6.9333,4.8,0,0.9333,0.8,0.8,0.1333
"FJ2015031",6,4.9333,0,0.6667,0.8,0.8,0.1333
"FJ2015041",4.2,5,0,1,0.8,0.6,0
"FJ2015042",7.2,4.8,0,0.8,0.8,0.8,0
"FJ2015043",87.8,5.8,0.4,2.6,0.2,0,0.8
"FJ2015044",16.4,4.8,0,0.8,0.8,0.8,0.2
"FJ2015051",17.8667,0.4,0,0.4,0,0.8,0.4
"FJ2015071",3.2,0.4,0,0,0.4,0,0
"FJ2015072",31.8,12.4,0,2.4,0.4,2,0
"FJ2015073",24.8,4.6,0,0,2.2,1.2,0.8
"FJ2016023",39.9,4.9,0,2.3333,0,1.1667,0.9333
"FJ2016039",51.1111,1.3889,0,0,6.1111,0.5556,0.8333
"FJ2016040",16,1.6,16.1333,1.0667,0.6667,1.3333,0
"FJ2016047",2.7333,2.2667,0.6,0.4,1.7333,1.4,0.0667
"FJ2016065",11.25,9.5139,0,0.8333,0.9722,0.3472,0
"FJ2016080",13.6,4.3,0,2.2,2.1,0.5,0.2
"FJ2017071",10.3,0.4,1.8,0.2,0.6,0.8,0
"FJ2017072",43.4667,4.2667,4,0.5333,5.3333,0.8,0
"FJ2017073",26.1333,11.2,0.9333,1.0667,1.4667,1.3333,0
"FJ2017074",18.2667,5.6,4,0.8,4.8,1.6,0
"FJ2017075",6.1,4.8,4,2.2,6,2.2,0
"FJ2017090",35.1167,3.7333,0,2.8,0.7,4.9,0.1167
"FJ2017091",11.1,1.8,1.2,1.8,4.2,4.6,0.6
"FJ2017092",11.5333,2.2667,0,0.1333,0.5333,0.1333,0
"FJ2017093",19.0667,5.6,1.6,2.9333,1.3333,0.1333,0.1333
"FJ2017094",19.7,5,5.2,5.8,8.6,0.4,0
"FJ2017096",11.2,8.2667,8,5.8667,3.7333,0,0
"FJ2017097",9.9167,6.5,3.5,3,1.8333,1.5,0.0833
"FJ2017098",18.7,4.6,1.6,1.4,1.8,1.2,0.3
"FJ2018001",17.6,1.4,8,1.2,2,1.2,0
"FJ2018002",5.5333,0.0833,0.5333,0.3833,0.1,0.25,0
"FJ2018017",10.05,1,4.25,0,2.85,0.4,0.15
"FJ2018019",13,4.2,2.7,2.2,2.4,3,0.5
"FJ2018021",8.9778,1.6,2.1333,0.8,1.6,2.4,0.8
"FJ2018022",12.6,2.6,0,4.1,1.4,9.5,0.1
"FJ2018023",15.0833,0.5,0.25,0,0.1667,0.1667,0.1667
"FJ2018024",59.2667,8.1667,0,3.5,0.4667,0.4667,2.3333
"FJ2018036",27.9,12.1,0,4.1,0.6,1.2,0
"FJ2018040",22.6667,16,0,3.8333,3.6667,0,0
"FJ2018041",17.6667,9.8333,0.3333,4.25,0.5,0.4167,0.0833
"FJ2018042",23.8667,1.8667,0,0.2667,0.3333,0.2667,0
"FJ2018043",5.2,0.2667,0.2667,0,0,0.4889,0.0444
"FJ2018045",24.7,7,0,2.9,1.2,0.3,0.1
"FJ2018046",24.25,4,2.5833,0.1667,0,0.9167,0.25
"FJ2018047",23.8667,4.1333,0,0.4,1.3333,0.4,0.1333
"FJ2018062",36,12.4,0.8,0.8,0.8,0.4,0.2
"FJ2018063",37.0667,10.5333,0,16.1333,4,20.1333,0.5333
"FJ2018065",39.3333,0.5333,0,0,0,7.0667,0.5333
"FJ2018066",36.9833,5.6,0,1.05,1.6333,5.3667,0.4667
"FJ2018067",80.8889,8.1481,0,7.5556,0.2963,0.5926,0.5926
"FJ2018068",49.8667,4.2667,0,1.4667,0.2667,0.8,0.1333
"FJ2018070",93.3333,37.5,0,3.3333,0,4.1667,1.6667
"FJ2018071",31.1733,10.2667,1.4933,0.3733,2.9867,7.6533,1.12
"FJ2018073",9.8333,6.8333,0.6667,6.1667,2.3333,7,1.1667
"FJ2018088",9.5,11.2,0.8,1.3,1.2,0.4,0.2
"FJ2018089",7.8667,8.3333,0.5333,6.0667,0.9333,0.1333,0.1333
"FJ2018090",26.3333,5.8333,0,1.8333,0.3333,1,0.6667
"FJ2018095",2.8667,0.7333,0.9333,0.1333,0.9333,0.6,0.2
"FJ2019010",65.5,6.6667,0,0,0,1.8333,0.6667
"FJ2019018",20.8,0.7333,0,0,0,0.8,0.2
"FJ2019019",7.5333,0.9333,0,0.4667,0.2667,0.8667,0.2667
"FJ2019020",14.2,1.6667,0.2667,0.5333,1,0.4,0.1333
"FJ2019023",20.3333,3.6667,0,1.1667,3.3333,1,0
"FJ2019024",22.6,5.2,0,1.1,3,0.1,0
"FJ2019039",15.3333,2,0.8,1.3333,1.2,1.8667,0.5333
"FJ2019040",31.7333,12.3667,0.9333,0,7.7,1.4,0.4667
"FJ2019041",17.5,3.6667,1.1667,0.3333,6.1667,0.6667,0
"FJ2019042",28.5333,6.6667,3.8667,2.4,1.4667,0.8,0
"FJ2019044",49.5,7.65,1.5,1.95,4.5,3.15,0.6
"FJ2019062",11.3333,3.5,0.6667,0.5,1,2.1667,0.8333
"FJ2019065",40,4.3333,2.5,0.3333,1.8333,4.3333,0.3333
"FJ2019066",25.4667,3.0667,0.2667,0,2.5333,1.6,0.1333
"FJ2019070",8.3333,3.4848,3.1818,0.6818,2.3485,0.3788,0
"FJ2019082",5.9167,4.1667,0.5,1.8333,4,0.9167,0.1667
"FJ2020009",28.4,0.8,0.3,0.4,2.2,1.1,0.4
"FJ2020016",15.6667,2.3333,2.3333,0,0.7333,1.2,0.0667
